"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10018","0.0-0.0","35gzbh","Tue Nov 15 2022 12:54:16 GMT+0100 (CET)","2022","11","15","12","54","16"," Woo55","Working, Studying","Unsymbolized thinking","72","23","female","right","50","70","100","5","0","","","",""
"1383798.0000000002","","","survey-text","1","1393913","0.0-1.0","35gzbh","Tue Nov 15 2022 12:54:16 GMT+0100 (CET)","2022","11","15","12","54","16"," Woo55","Working, Studying","Unsymbolized thinking","72","23","female","right","50","70","100","5","0","{""Q0"":"" Woo55""}","","",""
"14313.000000000233","","","survey-multi-choice","2","1408254","0.0-2.0","35gzbh","Tue Nov 15 2022 12:54:16 GMT+0100 (CET)","2022","11","15","12","54","16"," Woo55","Working, Studying","Unsymbolized thinking","72","23","female","right","50","70","100","5","0","{""Activity"":""Working, Studying""}","[0]","",""
"8967","","","survey-multi-choice","3","1417229","0.0-3.0","35gzbh","Tue Nov 15 2022 12:54:16 GMT+0100 (CET)","2022","11","15","12","54","16"," Woo55","Working, Studying","Unsymbolized thinking","72","23","female","right","50","70","100","5","0","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"57608.00000000023","","","survey-multi-choice","4","1474854","0.0-4.0","35gzbh","Tue Nov 15 2022 12:54:16 GMT+0100 (CET)","2022","11","15","12","54","16"," Woo55","Working, Studying","Unsymbolized thinking","72","23","female","right","50","70","100","5","0","{""HeartRate"":""72""}","[0]","",""
"3760","","","survey-text","5","1478644","0.0-5.0","35gzbh","Tue Nov 15 2022 12:54:16 GMT+0100 (CET)","2022","11","15","12","54","16"," Woo55","Working, Studying","Unsymbolized thinking","72","23","female","right","50","70","100","5","0","{""Q0"":""23""}","","",""
"7347","","","survey-multi-choice","6","1485998","0.0-6.0","35gzbh","Tue Nov 15 2022 12:54:16 GMT+0100 (CET)","2022","11","15","12","54","16"," Woo55","Working, Studying","Unsymbolized thinking","72","23","female","right","50","70","100","5","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"2169","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","1488178","0.0-7.0","35gzbh","Tue Nov 15 2022 12:54:16 GMT+0100 (CET)","2022","11","15","12","54","16"," Woo55","Working, Studying","Unsymbolized thinking","72","23","female","right","50","70","100","5","0","","","50","50"
"14968","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","1503150","0.0-8.0","35gzbh","Tue Nov 15 2022 12:54:16 GMT+0100 (CET)","2022","11","15","12","54","16"," Woo55","Working, Studying","Unsymbolized thinking","72","23","female","right","50","70","100","5","0","","","50","70"
"5964.000000000233","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","1509119","0.0-9.0","35gzbh","Tue Nov 15 2022 12:54:16 GMT+0100 (CET)","2022","11","15","12","54","16"," Woo55","Working, Studying","Unsymbolized thinking","72","23","female","right","50","70","100","5","0","","","50","100"
"19544","","","survey-multi-choice","10","1528673","0.0-10.0","35gzbh","Tue Nov 15 2022 12:54:16 GMT+0100 (CET)","2022","11","15","12","54","16"," Woo55","Working, Studying","Unsymbolized thinking","72","23","female","right","50","70","100","5","0","{""Sleep"":""5"",""Eat"":""0""}","[0,1]","",""
