"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10024","0.0-0.0","29f8q7","Fri Sep 23 2022 08:44:33 GMT+0200 (Centraleuropæisk sommertid)","2022","9","23","8","44","33","Cic22","Showering, Getting Ready","Inner voice","63","22","female","right","83","39","81","0","0","","","",""
"12521.200000047684","","","survey-text","1","22576","0.0-1.0","29f8q7","Fri Sep 23 2022 08:44:33 GMT+0200 (Centraleuropæisk sommertid)","2022","9","23","8","44","33","Cic22","Showering, Getting Ready","Inner voice","63","22","female","right","83","39","81","0","0","{""Q0"":""Cic22""}","","",""
"6423.5","","","survey-multi-choice","2","29016","0.0-2.0","29f8q7","Fri Sep 23 2022 08:44:33 GMT+0200 (Centraleuropæisk sommertid)","2022","9","23","8","44","33","Cic22","Showering, Getting Ready","Inner voice","63","22","female","right","83","39","81","0","0","{""Activity"":""Showering, Getting Ready""}","[0]","",""
"2445.100000023842","","","survey-multi-choice","3","31471","0.0-3.0","29f8q7","Fri Sep 23 2022 08:44:33 GMT+0200 (Centraleuropæisk sommertid)","2022","9","23","8","44","33","Cic22","Showering, Getting Ready","Inner voice","63","22","female","right","83","39","81","0","0","{""MentalActivity"":""Inner voice""}","[0]","",""
"45691.89999997616","","","survey-multi-choice","4","77199","0.0-4.0","29f8q7","Fri Sep 23 2022 08:44:33 GMT+0200 (Centraleuropæisk sommertid)","2022","9","23","8","44","33","Cic22","Showering, Getting Ready","Inner voice","63","22","female","right","83","39","81","0","0","{""HeartRate"":""63""}","[0]","",""
"4149","","","survey-text","5","81361","0.0-5.0","29f8q7","Fri Sep 23 2022 08:44:33 GMT+0200 (Centraleuropæisk sommertid)","2022","9","23","8","44","33","Cic22","Showering, Getting Ready","Inner voice","63","22","female","right","83","39","81","0","0","{""Q0"":""22""}","","",""
"3236","","","survey-multi-choice","6","84607","0.0-6.0","29f8q7","Fri Sep 23 2022 08:44:33 GMT+0200 (Centraleuropæisk sommertid)","2022","9","23","8","44","33","Cic22","Showering, Getting Ready","Inner voice","63","22","female","right","83","39","81","0","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"31592.80000001192","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","116212","0.0-7.0","29f8q7","Fri Sep 23 2022 08:44:33 GMT+0200 (Centraleuropæisk sommertid)","2022","9","23","8","44","33","Cic22","Showering, Getting Ready","Inner voice","63","22","female","right","83","39","81","0","0","","","50","83"
"4057.899999976158","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","120277","0.0-8.0","29f8q7","Fri Sep 23 2022 08:44:33 GMT+0200 (Centraleuropæisk sommertid)","2022","9","23","8","44","33","Cic22","Showering, Getting Ready","Inner voice","63","22","female","right","83","39","81","0","0","","","50","39"
"4960.200000047684","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","125244","0.0-9.0","29f8q7","Fri Sep 23 2022 08:44:33 GMT+0200 (Centraleuropæisk sommertid)","2022","9","23","8","44","33","Cic22","Showering, Getting Ready","Inner voice","63","22","female","right","83","39","81","0","0","","","50","81"
"4855.300000011921","","","survey-multi-choice","10","130117","0.0-10.0","29f8q7","Fri Sep 23 2022 08:44:33 GMT+0200 (Centraleuropæisk sommertid)","2022","9","23","8","44","33","Cic22","Showering, Getting Ready","Inner voice","63","22","female","right","83","39","81","0","0","{""Sleep"":""0"",""Eat"":""0""}","[0,1]","",""
