"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10126","0.0-0.0","3kzt48","Thu Oct 13 2022 14:07:14 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","14","7","14","Cic22","Chatting","Inner voice","73","22","female","right","70","37","74","5","1","","","",""
"40994.80000001192","","","survey-text","1","51141","0.0-1.0","3kzt48","Thu Oct 13 2022 14:07:14 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","14","7","14","Cic22","Chatting","Inner voice","73","22","female","right","70","37","74","5","1","{""Q0"":""Cic22""}","","",""
"12205","","","survey-multi-choice","2","63360","0.0-2.0","3kzt48","Thu Oct 13 2022 14:07:14 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","14","7","14","Cic22","Chatting","Inner voice","73","22","female","right","70","37","74","5","1","{""Activity"":""Chatting""}","[0]","",""
"2805.0999999940395","","","survey-multi-choice","3","66176","0.0-3.0","3kzt48","Thu Oct 13 2022 14:07:14 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","14","7","14","Cic22","Chatting","Inner voice","73","22","female","right","70","37","74","5","1","{""MentalActivity"":""Inner voice""}","[0]","",""
"6979.4000000059605","","","survey-multi-choice","4","73188","0.0-4.0","3kzt48","Thu Oct 13 2022 14:07:14 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","14","7","14","Cic22","Chatting","Inner voice","73","22","female","right","70","37","74","5","1","{""HeartRate"":""73""}","[0]","",""
"3025.5999999940395","","","survey-text","5","76227","0.0-5.0","3kzt48","Thu Oct 13 2022 14:07:14 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","14","7","14","Cic22","Chatting","Inner voice","73","22","female","right","70","37","74","5","1","{""Q0"":""22""}","","",""
"3265.4000000059605","","","survey-multi-choice","6","79502","0.0-6.0","3kzt48","Thu Oct 13 2022 14:07:14 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","14","7","14","Cic22","Chatting","Inner voice","73","22","female","right","70","37","74","5","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"25120.70000001788","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","104634","0.0-7.0","3kzt48","Thu Oct 13 2022 14:07:14 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","14","7","14","Cic22","Chatting","Inner voice","73","22","female","right","70","37","74","5","1","","","50","70"
"14788.90000000596","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","119430","0.0-8.0","3kzt48","Thu Oct 13 2022 14:07:14 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","14","7","14","Cic22","Chatting","Inner voice","73","22","female","right","70","37","74","5","1","","","50","37"
"4977.5","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","124415","0.0-9.0","3kzt48","Thu Oct 13 2022 14:07:14 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","14","7","14","Cic22","Chatting","Inner voice","73","22","female","right","70","37","74","5","1","","","50","74"
"23949.69999998808","","","survey-multi-choice","10","148385","0.0-10.0","3kzt48","Thu Oct 13 2022 14:07:14 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","14","7","14","Cic22","Chatting","Inner voice","73","22","female","right","70","37","74","5","1","{""Sleep"":""5"",""Eat"":""1""}","[0,1]","",""
