"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10021","0.0-0.0","8uzmxy","Wed Nov 16 2022 18:40:26 GMT+0100 (Centraleuropæisk normaltid)","2022","11","16","18","40","26","Cic22","Sleeping, Resting","Inner voice","64","22","female","right","64","50","35","11","1","","","",""
"7520.300000011921","","","survey-text","1","17568","0.0-1.0","8uzmxy","Wed Nov 16 2022 18:40:26 GMT+0100 (Centraleuropæisk normaltid)","2022","11","16","18","40","26","Cic22","Sleeping, Resting","Inner voice","64","22","female","right","64","50","35","11","1","{""Q0"":""Cic22""}","","",""
"7939","","","survey-multi-choice","2","25516","0.0-2.0","8uzmxy","Wed Nov 16 2022 18:40:26 GMT+0100 (Centraleuropæisk normaltid)","2022","11","16","18","40","26","Cic22","Sleeping, Resting","Inner voice","64","22","female","right","64","50","35","11","1","{""Activity"":""Sleeping, Resting""}","[0]","",""
"2777.300000011921","","","survey-multi-choice","3","28302","0.0-3.0","8uzmxy","Wed Nov 16 2022 18:40:26 GMT+0100 (Centraleuropæisk normaltid)","2022","11","16","18","40","26","Cic22","Sleeping, Resting","Inner voice","64","22","female","right","64","50","35","11","1","{""MentalActivity"":""Inner voice""}","[0]","",""
"50495.39999997616","","","survey-multi-choice","4","78819","0.0-4.0","8uzmxy","Wed Nov 16 2022 18:40:26 GMT+0100 (Centraleuropæisk normaltid)","2022","11","16","18","40","26","Cic22","Sleeping, Resting","Inner voice","64","22","female","right","64","50","35","11","1","{""HeartRate"":""64""}","[0]","",""
"7233.100000023842","","","survey-text","5","86065","0.0-5.0","8uzmxy","Wed Nov 16 2022 18:40:26 GMT+0100 (Centraleuropæisk normaltid)","2022","11","16","18","40","26","Cic22","Sleeping, Resting","Inner voice","64","22","female","right","64","50","35","11","1","{""Q0"":""22""}","","",""
"15085.699999988079","","","survey-multi-choice","6","101160","0.0-6.0","8uzmxy","Wed Nov 16 2022 18:40:26 GMT+0100 (Centraleuropæisk normaltid)","2022","11","16","18","40","26","Cic22","Sleeping, Resting","Inner voice","64","22","female","right","64","50","35","11","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4562.899999976158","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","105735","0.0-7.0","8uzmxy","Wed Nov 16 2022 18:40:26 GMT+0100 (Centraleuropæisk normaltid)","2022","11","16","18","40","26","Cic22","Sleeping, Resting","Inner voice","64","22","female","right","64","50","35","11","1","","","50","64"
"4766.400000035763","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","110509","0.0-8.0","8uzmxy","Wed Nov 16 2022 18:40:26 GMT+0100 (Centraleuropæisk normaltid)","2022","11","16","18","40","26","Cic22","Sleeping, Resting","Inner voice","64","22","female","right","64","50","35","11","1","","","50","50"
"4738.5","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","115254","0.0-9.0","8uzmxy","Wed Nov 16 2022 18:40:26 GMT+0100 (Centraleuropæisk normaltid)","2022","11","16","18","40","26","Cic22","Sleeping, Resting","Inner voice","64","22","female","right","64","50","35","11","1","","","50","35"
"33156.09999996424","","","survey-multi-choice","10","148433","0.0-10.0","8uzmxy","Wed Nov 16 2022 18:40:26 GMT+0100 (Centraleuropæisk normaltid)","2022","11","16","18","40","26","Cic22","Sleeping, Resting","Inner voice","64","22","female","right","64","50","35","11","1","{""Sleep"":""11"",""Eat"":""1""}","[0,1]","",""
