"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","Activity","MentalActivity","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10032","0.0-0.0","nxxllv","Thu Sep 08 2022 16:35:20 GMT+0200 (Centraleuropæisk sommertid)","2022","9","8","16","35","20","Cic22","78","22","female","right","87","43","86","8","0","Working, Studying","Inner voice","","","",""
"51237.800000000745","","","survey-text","1","61302","0.0-1.0","nxxllv","Thu Sep 08 2022 16:35:20 GMT+0200 (Centraleuropæisk sommertid)","2022","9","8","16","35","20","Cic22","78","22","female","right","87","43","86","8","0","Working, Studying","Inner voice","{""Q0"":""Cic22""}","","",""
"28019.400000002235","","","survey-multi-choice","2","89340","0.0-2.0","nxxllv","Thu Sep 08 2022 16:35:20 GMT+0200 (Centraleuropæisk sommertid)","2022","9","8","16","35","20","Cic22","78","22","female","right","87","43","86","8","0","Working, Studying","Inner voice","{""HeartRate"":""78""}","[0]","",""
"6747","","","survey-text","3","96099","0.0-3.0","nxxllv","Thu Sep 08 2022 16:35:20 GMT+0200 (Centraleuropæisk sommertid)","2022","9","8","16","35","20","Cic22","78","22","female","right","87","43","86","8","0","Working, Studying","Inner voice","{""Q0"":""22""}","","",""
"5668.400000002235","","","survey-multi-choice","4","101774","0.0-4.0","nxxllv","Thu Sep 08 2022 16:35:20 GMT+0200 (Centraleuropæisk sommertid)","2022","9","8","16","35","20","Cic22","78","22","female","right","87","43","86","8","0","Working, Studying","Inner voice","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"8994.400000002235","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","5","110781","0.0-5.0","nxxllv","Thu Sep 08 2022 16:35:20 GMT+0200 (Centraleuropæisk sommertid)","2022","9","8","16","35","20","Cic22","78","22","female","right","87","43","86","8","0","Working, Studying","Inner voice","","","50","87"
"16698.199999999255","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","6","127492","0.0-6.0","nxxllv","Thu Sep 08 2022 16:35:20 GMT+0200 (Centraleuropæisk sommertid)","2022","9","8","16","35","20","Cic22","78","22","female","right","87","43","86","8","0","Working, Studying","Inner voice","","","50","43"
"5827.099999997765","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","7","133324","0.0-7.0","nxxllv","Thu Sep 08 2022 16:35:20 GMT+0200 (Centraleuropæisk sommertid)","2022","9","8","16","35","20","Cic22","78","22","female","right","87","43","86","8","0","Working, Studying","Inner voice","","","50","86"
"46310.800000000745","","","survey-multi-choice","8","179644","0.0-8.0","nxxllv","Thu Sep 08 2022 16:35:20 GMT+0200 (Centraleuropæisk sommertid)","2022","9","8","16","35","20","Cic22","78","22","female","right","87","43","86","8","0","Working, Studying","Inner voice","{""Sleep"":""8"",""Eat"":""0""}","[0,1]","",""
"25828.39999999851","","","survey-multi-choice","9","205481","0.0-9.0","nxxllv","Thu Sep 08 2022 16:35:20 GMT+0200 (Centraleuropæisk sommertid)","2022","9","8","16","35","20","Cic22","78","22","female","right","87","43","86","8","0","Working, Studying","Inner voice","{""Activity"":""Working, Studying""}","[0]","",""
"14699.300000000745","","","survey-multi-choice","10","220205","0.0-10.0","nxxllv","Thu Sep 08 2022 16:35:20 GMT+0200 (Centraleuropæisk sommertid)","2022","9","8","16","35","20","Cic22","78","22","female","right","87","43","86","8","0","Working, Studying","Inner voice","{""MentalActivity"":""Inner voice""}","[0]","",""
