"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10049","0.0-0.0","o2u7ah","Fri Sep 09 2022 10:18:32 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","18","32","Cic22","Watching TV","Inner voice","72","22","female","right","63","68","22","1","13","","","",""
"5556.39999999851","","","survey-text","1","15690","0.0-1.0","o2u7ah","Fri Sep 09 2022 10:18:32 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","18","32","Cic22","Watching TV","Inner voice","72","22","female","right","63","68","22","1","13","{""Q0"":""Cic22""}","","",""
"24862.5","","","survey-multi-choice","2","40588","0.0-2.0","o2u7ah","Fri Sep 09 2022 10:18:32 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","18","32","Cic22","Watching TV","Inner voice","72","22","female","right","63","68","22","1","13","{""Activity"":""Watching TV""}","[0]","",""
"2998.5","","","survey-multi-choice","3","43600","0.0-3.0","o2u7ah","Fri Sep 09 2022 10:18:32 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","18","32","Cic22","Watching TV","Inner voice","72","22","female","right","63","68","22","1","13","{""MentalActivity"":""Inner voice""}","[0]","",""
"8182.10000000149","","","survey-multi-choice","4","51812","0.0-4.0","o2u7ah","Fri Sep 09 2022 10:18:32 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","18","32","Cic22","Watching TV","Inner voice","72","22","female","right","63","68","22","1","13","{""HeartRate"":""72""}","[0]","",""
"3765.9000000059605","","","survey-text","5","55621","0.0-5.0","o2u7ah","Fri Sep 09 2022 10:18:32 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","18","32","Cic22","Watching TV","Inner voice","72","22","female","right","63","68","22","1","13","{""Q0"":""22""}","","",""
"3227.89999999851","","","survey-multi-choice","6","58865","0.0-6.0","o2u7ah","Fri Sep 09 2022 10:18:32 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","18","32","Cic22","Watching TV","Inner voice","72","22","female","right","63","68","22","1","13","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"6544.20000000298","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","65433","0.0-7.0","o2u7ah","Fri Sep 09 2022 10:18:32 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","18","32","Cic22","Watching TV","Inner voice","72","22","female","right","63","68","22","1","13","","","50","63"
"11370.79999999702","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","76809","0.0-8.0","o2u7ah","Fri Sep 09 2022 10:18:32 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","18","32","Cic22","Watching TV","Inner voice","72","22","female","right","63","68","22","1","13","","","50","68"
"7913.4000000059605","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","84746","0.0-9.0","o2u7ah","Fri Sep 09 2022 10:18:32 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","18","32","Cic22","Watching TV","Inner voice","72","22","female","right","63","68","22","1","13","","","50","22"
"35500.39999999851","","","survey-multi-choice","10","120309","0.0-10.0","o2u7ah","Fri Sep 09 2022 10:18:32 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","10","18","32","Cic22","Watching TV","Inner voice","72","22","female","right","63","68","22","1","13","{""Sleep"":""1"",""Eat"":""13""}","[0,1]","",""
