"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10030","0.0-0.0","rodjss","Tue Nov 08 2022 15:03:24 GMT+0100 (Centraleuropæisk normaltid)","2022","11","8","15","3","24","Cic22","Leisure","Inner voice","72","22","female","right","65","39","89","6","0","","","",""
"7236.200000017881","","","survey-text","1","17295","0.0-1.0","rodjss","Tue Nov 08 2022 15:03:24 GMT+0100 (Centraleuropæisk normaltid)","2022","11","8","15","3","24","Cic22","Leisure","Inner voice","72","22","female","right","65","39","89","6","0","{""Q0"":""Cic22""}","","",""
"13630.799999982119","","","survey-multi-choice","2","30939","0.0-2.0","rodjss","Tue Nov 08 2022 15:03:24 GMT+0100 (Centraleuropæisk normaltid)","2022","11","8","15","3","24","Cic22","Leisure","Inner voice","72","22","female","right","65","39","89","6","0","{""Activity"":""Leisure""}","[0]","",""
"2989.2000000178814","","","survey-multi-choice","3","33935","0.0-3.0","rodjss","Tue Nov 08 2022 15:03:24 GMT+0100 (Centraleuropæisk normaltid)","2022","11","8","15","3","24","Cic22","Leisure","Inner voice","72","22","female","right","65","39","89","6","0","{""MentalActivity"":""Inner voice""}","[0]","",""
"4066.399999976158","","","survey-multi-choice","4","38035","0.0-4.0","rodjss","Tue Nov 08 2022 15:03:24 GMT+0100 (Centraleuropæisk normaltid)","2022","11","8","15","3","24","Cic22","Leisure","Inner voice","72","22","female","right","65","39","89","6","0","{""HeartRate"":""72""}","[0]","",""
"7912.699999988079","","","survey-text","5","45961","0.0-5.0","rodjss","Tue Nov 08 2022 15:03:24 GMT+0100 (Centraleuropæisk normaltid)","2022","11","8","15","3","24","Cic22","Leisure","Inner voice","72","22","female","right","65","39","89","6","0","{""Q0"":""22""}","","",""
"3101.2000000178814","","","survey-multi-choice","6","49071","0.0-6.0","rodjss","Tue Nov 08 2022 15:03:24 GMT+0100 (Centraleuropæisk normaltid)","2022","11","8","15","3","24","Cic22","Leisure","Inner voice","72","22","female","right","65","39","89","6","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3940.4000000059605","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","53023","0.0-7.0","rodjss","Tue Nov 08 2022 15:03:24 GMT+0100 (Centraleuropæisk normaltid)","2022","11","8","15","3","24","Cic22","Leisure","Inner voice","72","22","female","right","65","39","89","6","0","","","50","65"
"10382.700000017881","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","63412","0.0-8.0","rodjss","Tue Nov 08 2022 15:03:24 GMT+0100 (Centraleuropæisk normaltid)","2022","11","8","15","3","24","Cic22","Leisure","Inner voice","72","22","female","right","65","39","89","6","0","","","50","39"
"4537.199999988079","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","67957","0.0-9.0","rodjss","Tue Nov 08 2022 15:03:24 GMT+0100 (Centraleuropæisk normaltid)","2022","11","8","15","3","24","Cic22","Leisure","Inner voice","72","22","female","right","65","39","89","6","0","","","50","89"
"24383.100000023842","","","survey-multi-choice","10","92359","0.0-10.0","rodjss","Tue Nov 08 2022 15:03:24 GMT+0100 (Centraleuropæisk normaltid)","2022","11","8","15","3","24","Cic22","Leisure","Inner voice","72","22","female","right","65","39","89","6","0","{""Sleep"":""6"",""Eat"":""0""}","[0,1]","",""
