"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10023","0.0-0.0","uqnznb","Tue Sep 13 2022 15:48:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","15","48","7","Cic22","Leisure","Inner voice","72","22","female","right","100","82","84","8","3","","","",""
"6432.5","","","survey-text","1","16497","0.0-1.0","uqnznb","Tue Sep 13 2022 15:48:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","15","48","7","Cic22","Leisure","Inner voice","72","22","female","right","100","82","84","8","3","{""Q0"":""Cic22""}","","",""
"52914.29999998212","","","survey-multi-choice","2","69426","0.0-2.0","uqnznb","Tue Sep 13 2022 15:48:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","15","48","7","Cic22","Leisure","Inner voice","72","22","female","right","100","82","84","8","3","{""Activity"":""Leisure""}","[0]","",""
"13329.59999999404","","","survey-multi-choice","3","82766","0.0-3.0","uqnznb","Tue Sep 13 2022 15:48:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","15","48","7","Cic22","Leisure","Inner voice","72","22","female","right","100","82","84","8","3","{""MentalActivity"":""Inner voice""}","[0]","",""
"14981.699999988079","","","survey-multi-choice","4","97784","0.0-4.0","uqnznb","Tue Sep 13 2022 15:48:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","15","48","7","Cic22","Leisure","Inner voice","72","22","female","right","100","82","84","8","3","{""HeartRate"":""72""}","[0]","",""
"2957.800000011921","","","survey-text","5","100755","0.0-5.0","uqnznb","Tue Sep 13 2022 15:48:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","15","48","7","Cic22","Leisure","Inner voice","72","22","female","right","100","82","84","8","3","{""Q0"":""22""}","","",""
"3926.5999999940395","","","survey-multi-choice","6","104692","0.0-6.0","uqnznb","Tue Sep 13 2022 15:48:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","15","48","7","Cic22","Leisure","Inner voice","72","22","female","right","100","82","84","8","3","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4366.4000000059605","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","109073","0.0-7.0","uqnznb","Tue Sep 13 2022 15:48:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","15","48","7","Cic22","Leisure","Inner voice","72","22","female","right","100","82","84","8","3","","","50","100"
"4109.700000017881","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","113190","0.0-8.0","uqnznb","Tue Sep 13 2022 15:48:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","15","48","7","Cic22","Leisure","Inner voice","72","22","female","right","100","82","84","8","3","","","50","82"
"13948","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","127145","0.0-9.0","uqnznb","Tue Sep 13 2022 15:48:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","15","48","7","Cic22","Leisure","Inner voice","72","22","female","right","100","82","84","8","3","","","50","84"
"45986.59999999404","","","survey-multi-choice","10","173152","0.0-10.0","uqnznb","Tue Sep 13 2022 15:48:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","15","48","7","Cic22","Leisure","Inner voice","72","22","female","right","100","82","84","8","3","{""Sleep"":""8"",""Eat"":""3""}","[0,1]","",""
