"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10012","0.0-0.0","xvot3t","Thu Sep 22 2022 21:52:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","52","7","Cic22","Leisure","Inner voice","66","22","female","right","91","13","100","14","1","","","",""
"11515.799999952316","","","survey-text","1","21553","0.0-1.0","xvot3t","Thu Sep 22 2022 21:52:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","52","7","Cic22","Leisure","Inner voice","66","22","female","right","91","13","100","14","1","{""Q0"":""Cic22""}","","",""
"20531.69999998808","","","survey-multi-choice","2","42100","0.0-2.0","xvot3t","Thu Sep 22 2022 21:52:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","52","7","Cic22","Leisure","Inner voice","66","22","female","right","91","13","100","14","1","{""Activity"":""Leisure""}","[0]","",""
"3146.300000011921","","","survey-multi-choice","3","45257","0.0-3.0","xvot3t","Thu Sep 22 2022 21:52:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","52","7","Cic22","Leisure","Inner voice","66","22","female","right","91","13","100","14","1","{""MentalActivity"":""Inner voice""}","[0]","",""
"4949.100000023842","","","survey-multi-choice","4","50245","0.0-4.0","xvot3t","Thu Sep 22 2022 21:52:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","52","7","Cic22","Leisure","Inner voice","66","22","female","right","91","13","100","14","1","{""HeartRate"":""66""}","[0]","",""
"3008.399999976158","","","survey-text","5","53267","0.0-5.0","xvot3t","Thu Sep 22 2022 21:52:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","52","7","Cic22","Leisure","Inner voice","66","22","female","right","91","13","100","14","1","{""Q0"":""22""}","","",""
"2601","","","survey-multi-choice","6","55876","0.0-6.0","xvot3t","Thu Sep 22 2022 21:52:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","52","7","Cic22","Leisure","Inner voice","66","22","female","right","91","13","100","14","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4381.200000047684","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","60266","0.0-7.0","xvot3t","Thu Sep 22 2022 21:52:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","52","7","Cic22","Leisure","Inner voice","66","22","female","right","91","13","100","14","1","","","50","91"
"4193.899999976158","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","64466","0.0-8.0","xvot3t","Thu Sep 22 2022 21:52:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","52","7","Cic22","Leisure","Inner voice","66","22","female","right","91","13","100","14","1","","","50","13"
"4052.5","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","68525","0.0-9.0","xvot3t","Thu Sep 22 2022 21:52:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","52","7","Cic22","Leisure","Inner voice","66","22","female","right","91","13","100","14","1","","","50","100"
"27722.80000001192","","","survey-multi-choice","10","96269","0.0-10.0","xvot3t","Thu Sep 22 2022 21:52:07 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","52","7","Cic22","Leisure","Inner voice","66","22","female","right","91","13","100","14","1","{""Sleep"":""14"",""Eat"":""1""}","[0,1]","",""
