"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10014","0.0-0.0","o40uwv","Thu Oct 27 2022 07:25:45 GMT+0200 (Central European Summer Time)","2022","10","27","7","25","45","ESG44 ","Showering, Getting Ready","Inner voice","72","25","female","right","50","40","23","0","9","","","",""
"11678.699999988079","","","survey-text","1","21782","0.0-1.0","o40uwv","Thu Oct 27 2022 07:25:45 GMT+0200 (Central European Summer Time)","2022","10","27","7","25","45","ESG44 ","Showering, Getting Ready","Inner voice","72","25","female","right","50","40","23","0","9","{""Q0"":""ESG44 ""}","","",""
"11808.699999988079","","","survey-multi-choice","2","33611","0.0-2.0","o40uwv","Thu Oct 27 2022 07:25:45 GMT+0200 (Central European Summer Time)","2022","10","27","7","25","45","ESG44 ","Showering, Getting Ready","Inner voice","72","25","female","right","50","40","23","0","9","{""Activity"":""Showering, Getting Ready""}","[0]","",""
"9290.899999976158","","","survey-multi-choice","3","42913","0.0-3.0","o40uwv","Thu Oct 27 2022 07:25:45 GMT+0200 (Central European Summer Time)","2022","10","27","7","25","45","ESG44 ","Showering, Getting Ready","Inner voice","72","25","female","right","50","40","23","0","9","{""MentalActivity"":""Inner voice""}","[0]","",""
"4195.799999952316","","","survey-multi-choice","4","47131","0.0-4.0","o40uwv","Thu Oct 27 2022 07:25:45 GMT+0200 (Central European Summer Time)","2022","10","27","7","25","45","ESG44 ","Showering, Getting Ready","Inner voice","72","25","female","right","50","40","23","0","9","{""HeartRate"":""72""}","[0]","",""
"3070.100000023842","","","survey-text","5","50220","0.0-5.0","o40uwv","Thu Oct 27 2022 07:25:45 GMT+0200 (Central European Summer Time)","2022","10","27","7","25","45","ESG44 ","Showering, Getting Ready","Inner voice","72","25","female","right","50","40","23","0","9","{""Q0"":""25""}","","",""
"3220.899999976158","","","survey-multi-choice","6","53451","0.0-6.0","o40uwv","Thu Oct 27 2022 07:25:45 GMT+0200 (Central European Summer Time)","2022","10","27","7","25","45","ESG44 ","Showering, Getting Ready","Inner voice","72","25","female","right","50","40","23","0","9","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"5667.899999976158","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","59139","0.0-7.0","o40uwv","Thu Oct 27 2022 07:25:45 GMT+0200 (Central European Summer Time)","2022","10","27","7","25","45","ESG44 ","Showering, Getting Ready","Inner voice","72","25","female","right","50","40","23","0","9","","","50","50"
"4496.399999976158","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","63642","0.0-8.0","o40uwv","Thu Oct 27 2022 07:25:45 GMT+0200 (Central European Summer Time)","2022","10","27","7","25","45","ESG44 ","Showering, Getting Ready","Inner voice","72","25","female","right","50","40","23","0","9","","","50","40"
"3265.399999976158","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","66913","0.0-9.0","o40uwv","Thu Oct 27 2022 07:25:45 GMT+0200 (Central European Summer Time)","2022","10","27","7","25","45","ESG44 ","Showering, Getting Ready","Inner voice","72","25","female","right","50","40","23","0","9","","","50","23"
"10187.600000023842","","","survey-multi-choice","10","77111","0.0-10.0","o40uwv","Thu Oct 27 2022 07:25:45 GMT+0200 (Central European Summer Time)","2022","10","27","7","25","45","ESG44 ","Showering, Getting Ready","Inner voice","72","25","female","right","50","40","23","0","9","{""Sleep"":""0"",""Eat"":""9""}","[0,1]","",""
