"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10014","0.0-0.0","434qb0","Wed Oct 19 2022 08:45:06 GMT+0200 (Central European Summer Time)","2022","10","19","8","45","6","ESG44","Sleeping, Resting","Inner voice","61","25","female","right","62","82","22","0","10","","","",""
"6756.60000000149","","","survey-text","1","16803","0.0-1.0","434qb0","Wed Oct 19 2022 08:45:06 GMT+0200 (Central European Summer Time)","2022","10","19","8","45","6","ESG44","Sleeping, Resting","Inner voice","61","25","female","right","62","82","22","0","10","{""Q0"":""ESG44""}","","",""
"17829.40000000596","","","survey-multi-choice","2","34643","0.0-2.0","434qb0","Wed Oct 19 2022 08:45:06 GMT+0200 (Central European Summer Time)","2022","10","19","8","45","6","ESG44","Sleeping, Resting","Inner voice","61","25","female","right","62","82","22","0","10","{""Activity"":""Sleeping, Resting""}","[0]","",""
"12470.70000000298","","","survey-multi-choice","3","47157","0.0-3.0","434qb0","Wed Oct 19 2022 08:45:06 GMT+0200 (Central European Summer Time)","2022","10","19","8","45","6","ESG44","Sleeping, Resting","Inner voice","61","25","female","right","62","82","22","0","10","{""MentalActivity"":""Inner voice""}","[0]","",""
"3545","","","survey-multi-choice","4","50760","0.0-4.0","434qb0","Wed Oct 19 2022 08:45:06 GMT+0200 (Central European Summer Time)","2022","10","19","8","45","6","ESG44","Sleeping, Resting","Inner voice","61","25","female","right","62","82","22","0","10","{""HeartRate"":""61""}","[0]","",""
"3058.4000000059605","","","survey-text","5","53837","0.0-5.0","434qb0","Wed Oct 19 2022 08:45:06 GMT+0200 (Central European Summer Time)","2022","10","19","8","45","6","ESG44","Sleeping, Resting","Inner voice","61","25","female","right","62","82","22","0","10","{""Q0"":""25""}","","",""
"3720","","","survey-multi-choice","6","57565","0.0-6.0","434qb0","Wed Oct 19 2022 08:45:06 GMT+0200 (Central European Summer Time)","2022","10","19","8","45","6","ESG44","Sleeping, Resting","Inner voice","61","25","female","right","62","82","22","0","10","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4701","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","62289","0.0-7.0","434qb0","Wed Oct 19 2022 08:45:06 GMT+0200 (Central European Summer Time)","2022","10","19","8","45","6","ESG44","Sleeping, Resting","Inner voice","61","25","female","right","62","82","22","0","10","","","50","62"
"3546.0999999940395","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","65838","0.0-8.0","434qb0","Wed Oct 19 2022 08:45:06 GMT+0200 (Central European Summer Time)","2022","10","19","8","45","6","ESG44","Sleeping, Resting","Inner voice","61","25","female","right","62","82","22","0","10","","","50","82"
"2950","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","68792","0.0-9.0","434qb0","Wed Oct 19 2022 08:45:06 GMT+0200 (Central European Summer Time)","2022","10","19","8","45","6","ESG44","Sleeping, Resting","Inner voice","61","25","female","right","62","82","22","0","10","","","50","22"
"15593.29999999702","","","survey-multi-choice","10","84396","0.0-10.0","434qb0","Wed Oct 19 2022 08:45:06 GMT+0200 (Central European Summer Time)","2022","10","19","8","45","6","ESG44","Sleeping, Resting","Inner voice","61","25","female","right","62","82","22","0","10","{""Sleep"":""0"",""Eat"":""10""}","[0,1]","",""
