"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10026","0.0-0.0","4v8ebu","Sun Oct 30 2022 17:11:22 GMT+0100 (Central European Standard Time)","2022","10","30","17","11","22","ESG44","Being on the Internet","Inner voice","70","25","female","right","37","75","37","9","4","","","",""
"4558.100000023842","","","survey-text","1","14644","0.0-1.0","4v8ebu","Sun Oct 30 2022 17:11:22 GMT+0100 (Central European Standard Time)","2022","10","30","17","11","22","ESG44","Being on the Internet","Inner voice","70","25","female","right","37","75","37","9","4","{""Q0"":""ESG44""}","","",""
"3737.7000000476837","","","survey-multi-choice","2","18392","0.0-2.0","4v8ebu","Sun Oct 30 2022 17:11:22 GMT+0100 (Central European Standard Time)","2022","10","30","17","11","22","ESG44","Being on the Internet","Inner voice","70","25","female","right","37","75","37","9","4","{""Activity"":""Being on the Internet""}","[0]","",""
"2453.5","","","survey-multi-choice","3","20851","0.0-3.0","4v8ebu","Sun Oct 30 2022 17:11:22 GMT+0100 (Central European Standard Time)","2022","10","30","17","11","22","ESG44","Being on the Internet","Inner voice","70","25","female","right","37","75","37","9","4","{""MentalActivity"":""Inner voice""}","[0]","",""
"3789.100000023842","","","survey-multi-choice","4","24653","0.0-4.0","4v8ebu","Sun Oct 30 2022 17:11:22 GMT+0100 (Central European Standard Time)","2022","10","30","17","11","22","ESG44","Being on the Internet","Inner voice","70","25","female","right","37","75","37","9","4","{""HeartRate"":""70""}","[0]","",""
"3045.600000023842","","","survey-text","5","27708","0.0-5.0","4v8ebu","Sun Oct 30 2022 17:11:22 GMT+0100 (Central European Standard Time)","2022","10","30","17","11","22","ESG44","Being on the Internet","Inner voice","70","25","female","right","37","75","37","9","4","{""Q0"":""25""}","","",""
"2919.699999988079","","","survey-multi-choice","6","30634","0.0-6.0","4v8ebu","Sun Oct 30 2022 17:11:22 GMT+0100 (Central European Standard Time)","2022","10","30","17","11","22","ESG44","Being on the Internet","Inner voice","70","25","female","right","37","75","37","9","4","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"2930.5","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","33580","0.0-7.0","4v8ebu","Sun Oct 30 2022 17:11:22 GMT+0100 (Central European Standard Time)","2022","10","30","17","11","22","ESG44","Being on the Internet","Inner voice","70","25","female","right","37","75","37","9","4","","","50","37"
"2561.900000035763","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","36147","0.0-8.0","4v8ebu","Sun Oct 30 2022 17:11:22 GMT+0100 (Central European Standard Time)","2022","10","30","17","11","22","ESG44","Being on the Internet","Inner voice","70","25","female","right","37","75","37","9","4","","","50","75"
"2883.699999988079","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","39036","0.0-9.0","4v8ebu","Sun Oct 30 2022 17:11:22 GMT+0100 (Central European Standard Time)","2022","10","30","17","11","22","ESG44","Being on the Internet","Inner voice","70","25","female","right","37","75","37","9","4","","","50","37"
"18754.69999998808","","","survey-multi-choice","10","57802","0.0-10.0","4v8ebu","Sun Oct 30 2022 17:11:22 GMT+0100 (Central European Standard Time)","2022","10","30","17","11","22","ESG44","Being on the Internet","Inner voice","70","25","female","right","37","75","37","9","4","{""Sleep"":""9"",""Eat"":""4""}","[0,1]","",""
