"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10018","0.0-0.0","7mwjmh","Thu Oct 20 2022 08:48:12 GMT+0200 (Central European Summer Time)","2022","10","20","8","48","12","ESG44","Sleeping, Resting","Unsymbolized thinking","56","25","female","right","50","58","27","0","10","","","",""
"6966.899999991059","","","survey-text","1","17022","0.0-1.0","7mwjmh","Thu Oct 20 2022 08:48:12 GMT+0200 (Central European Summer Time)","2022","10","20","8","48","12","ESG44","Sleeping, Resting","Unsymbolized thinking","56","25","female","right","50","58","27","0","10","{""Q0"":""ESG44""}","","",""
"12903.60000000894","","","survey-multi-choice","2","29939","0.0-2.0","7mwjmh","Thu Oct 20 2022 08:48:12 GMT+0200 (Central European Summer Time)","2022","10","20","8","48","12","ESG44","Sleeping, Resting","Unsymbolized thinking","56","25","female","right","50","58","27","0","10","{""Activity"":""Sleeping, Resting""}","[0]","",""
"4997","","","survey-multi-choice","3","34949","0.0-3.0","7mwjmh","Thu Oct 20 2022 08:48:12 GMT+0200 (Central European Summer Time)","2022","10","20","8","48","12","ESG44","Sleeping, Resting","Unsymbolized thinking","56","25","female","right","50","58","27","0","10","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"5610.29999999702","","","survey-multi-choice","4","40572","0.0-4.0","7mwjmh","Thu Oct 20 2022 08:48:12 GMT+0200 (Central European Summer Time)","2022","10","20","8","48","12","ESG44","Sleeping, Resting","Unsymbolized thinking","56","25","female","right","50","58","27","0","10","{""HeartRate"":""56""}","[0]","",""
"3174.7000000029802","","","survey-text","5","43760","0.0-5.0","7mwjmh","Thu Oct 20 2022 08:48:12 GMT+0200 (Central European Summer Time)","2022","10","20","8","48","12","ESG44","Sleeping, Resting","Unsymbolized thinking","56","25","female","right","50","58","27","0","10","{""Q0"":""25""}","","",""
"3794","","","survey-multi-choice","6","47558","0.0-6.0","7mwjmh","Thu Oct 20 2022 08:48:12 GMT+0200 (Central European Summer Time)","2022","10","20","8","48","12","ESG44","Sleeping, Resting","Unsymbolized thinking","56","25","female","right","50","58","27","0","10","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3100.7999999970198","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","50706","0.0-7.0","7mwjmh","Thu Oct 20 2022 08:48:12 GMT+0200 (Central European Summer Time)","2022","10","20","8","48","12","ESG44","Sleeping, Resting","Unsymbolized thinking","56","25","female","right","50","58","27","0","10","","","50","50"
"4840.0999999940395","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","55550","0.0-8.0","7mwjmh","Thu Oct 20 2022 08:48:12 GMT+0200 (Central European Summer Time)","2022","10","20","8","48","12","ESG44","Sleeping, Resting","Unsymbolized thinking","56","25","female","right","50","58","27","0","10","","","50","58"
"3407.7999999970198","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","58964","0.0-9.0","7mwjmh","Thu Oct 20 2022 08:48:12 GMT+0200 (Central European Summer Time)","2022","10","20","8","48","12","ESG44","Sleeping, Resting","Unsymbolized thinking","56","25","female","right","50","58","27","0","10","","","50","27"
"25795.59999999404","","","survey-multi-choice","10","84776","0.0-10.0","7mwjmh","Thu Oct 20 2022 08:48:12 GMT+0200 (Central European Summer Time)","2022","10","20","8","48","12","ESG44","Sleeping, Resting","Unsymbolized thinking","56","25","female","right","50","58","27","0","10","{""Sleep"":""0"",""Eat"":""10""}","[0,1]","",""
