"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10181","0.0-0.0","8n4rlz","Fri Oct 07 2022 12:45:45 GMT+0200 (Central European Summer Time)","2022","10","7","12","45","45","ESG44","Doing sport","Inner voice","93","25","female","right","70","80","21","6","5","","","",""
"26258","","","survey-text","1","36521","0.0-1.0","8n4rlz","Fri Oct 07 2022 12:45:45 GMT+0200 (Central European Summer Time)","2022","10","7","12","45","45","ESG44","Doing sport","Inner voice","93","25","female","right","70","80","21","6","5","{""Q0"":""ESG44""}","","",""
"20354.600000023842","","","survey-multi-choice","2","56889","0.0-2.0","8n4rlz","Fri Oct 07 2022 12:45:45 GMT+0200 (Central European Summer Time)","2022","10","7","12","45","45","ESG44","Doing sport","Inner voice","93","25","female","right","70","80","21","6","5","{""Activity"":""Doing sport""}","[0]","",""
"6508.199999988079","","","survey-multi-choice","3","63408","0.0-3.0","8n4rlz","Fri Oct 07 2022 12:45:45 GMT+0200 (Central European Summer Time)","2022","10","7","12","45","45","ESG44","Doing sport","Inner voice","93","25","female","right","70","80","21","6","5","{""MentalActivity"":""Inner voice""}","[0]","",""
"5810.199999988079","","","survey-multi-choice","4","69241","0.0-4.0","8n4rlz","Fri Oct 07 2022 12:45:45 GMT+0200 (Central European Summer Time)","2022","10","7","12","45","45","ESG44","Doing sport","Inner voice","93","25","female","right","70","80","21","6","5","{""HeartRate"":""93""}","[0]","",""
"2697.5","","","survey-text","5","71954","0.0-5.0","8n4rlz","Fri Oct 07 2022 12:45:45 GMT+0200 (Central European Summer Time)","2022","10","7","12","45","45","ESG44","Doing sport","Inner voice","93","25","female","right","70","80","21","6","5","{""Q0"":""25""}","","",""
"2893.400000035763","","","survey-multi-choice","6","74855","0.0-6.0","8n4rlz","Fri Oct 07 2022 12:45:45 GMT+0200 (Central European Summer Time)","2022","10","7","12","45","45","ESG44","Doing sport","Inner voice","93","25","female","right","70","80","21","6","5","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4197","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","79082","0.0-7.0","8n4rlz","Fri Oct 07 2022 12:45:45 GMT+0200 (Central European Summer Time)","2022","10","7","12","45","45","ESG44","Doing sport","Inner voice","93","25","female","right","70","80","21","6","5","","","50","70"
"3577.5","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","82665","0.0-8.0","8n4rlz","Fri Oct 07 2022 12:45:45 GMT+0200 (Central European Summer Time)","2022","10","7","12","45","45","ESG44","Doing sport","Inner voice","93","25","female","right","70","80","21","6","5","","","50","80"
"3310.800000011921","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","85982","0.0-9.0","8n4rlz","Fri Oct 07 2022 12:45:45 GMT+0200 (Central European Summer Time)","2022","10","7","12","45","45","ESG44","Doing sport","Inner voice","93","25","female","right","70","80","21","6","5","","","50","21"
"25497.30000001192","","","survey-multi-choice","10","111491","0.0-10.0","8n4rlz","Fri Oct 07 2022 12:45:45 GMT+0200 (Central European Summer Time)","2022","10","7","12","45","45","ESG44","Doing sport","Inner voice","93","25","female","right","70","80","21","6","5","{""Sleep"":""6"",""Eat"":""5""}","[0,1]","",""
