"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10024","0.0-0.0","9p5ajg","Tue Sep 27 2022 11:30:42 GMT+0200 (Central European Summer Time)","2022","9","27","11","30","42","ESG44","Working, Studying","Inner voice","56","25","female","right","56","61","73","5","4","","","",""
"7854.89999999851","","","survey-text","1","17920","0.0-1.0","9p5ajg","Tue Sep 27 2022 11:30:42 GMT+0200 (Central European Summer Time)","2022","9","27","11","30","42","ESG44","Working, Studying","Inner voice","56","25","female","right","56","61","73","5","4","{""Q0"":""ESG44""}","","",""
"6605.20000000298","","","survey-multi-choice","2","24544","0.0-2.0","9p5ajg","Tue Sep 27 2022 11:30:42 GMT+0200 (Central European Summer Time)","2022","9","27","11","30","42","ESG44","Working, Studying","Inner voice","56","25","female","right","56","61","73","5","4","{""Activity"":""Working, Studying""}","[0]","",""
"7538.5","","","survey-multi-choice","3","32087","0.0-3.0","9p5ajg","Tue Sep 27 2022 11:30:42 GMT+0200 (Central European Summer Time)","2022","9","27","11","30","42","ESG44","Working, Studying","Inner voice","56","25","female","right","56","61","73","5","4","{""MentalActivity"":""Inner voice""}","[0]","",""
"6996.79999999702","","","survey-multi-choice","4","39106","0.0-4.0","9p5ajg","Tue Sep 27 2022 11:30:42 GMT+0200 (Central European Summer Time)","2022","9","27","11","30","42","ESG44","Working, Studying","Inner voice","56","25","female","right","56","61","73","5","4","{""HeartRate"":""56""}","[0]","",""
"2961.5","","","survey-text","5","42083","0.0-5.0","9p5ajg","Tue Sep 27 2022 11:30:42 GMT+0200 (Central European Summer Time)","2022","9","27","11","30","42","ESG44","Working, Studying","Inner voice","56","25","female","right","56","61","73","5","4","{""Q0"":""25""}","","",""
"3878.89999999851","","","survey-multi-choice","6","45981","0.0-6.0","9p5ajg","Tue Sep 27 2022 11:30:42 GMT+0200 (Central European Summer Time)","2022","9","27","11","30","42","ESG44","Working, Studying","Inner voice","56","25","female","right","56","61","73","5","4","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4903.69999999553","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","50895","0.0-7.0","9p5ajg","Tue Sep 27 2022 11:30:42 GMT+0200 (Central European Summer Time)","2022","9","27","11","30","42","ESG44","Working, Studying","Inner voice","56","25","female","right","56","61","73","5","4","","","50","56"
"3722.7999999970198","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","54623","0.0-8.0","9p5ajg","Tue Sep 27 2022 11:30:42 GMT+0200 (Central European Summer Time)","2022","9","27","11","30","42","ESG44","Working, Studying","Inner voice","56","25","female","right","56","61","73","5","4","","","50","61"
"3785.60000000149","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","58415","0.0-9.0","9p5ajg","Tue Sep 27 2022 11:30:42 GMT+0200 (Central European Summer Time)","2022","9","27","11","30","42","ESG44","Working, Studying","Inner voice","56","25","female","right","56","61","73","5","4","","","50","73"
"34948.5","","","survey-multi-choice","10","93375","0.0-10.0","9p5ajg","Tue Sep 27 2022 11:30:42 GMT+0200 (Central European Summer Time)","2022","9","27","11","30","42","ESG44","Working, Studying","Inner voice","56","25","female","right","56","61","73","5","4","{""Sleep"":""5"",""Eat"":""4""}","[0,1]","",""
