"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10218","0.0-0.0","9qc592","Sun Sep 25 2022 19:58:51 GMT+0200 (Central European Summer Time)","2022","9","25","19","58","51","ESG44","Cooking","Sensory awareness","63","25","female","right","64","25","22","12","2","","","",""
"31593.199999999255","","","survey-text","1","41844","0.0-1.0","9qc592","Sun Sep 25 2022 19:58:51 GMT+0200 (Central European Summer Time)","2022","9","25","19","58","51","ESG44","Cooking","Sensory awareness","63","25","female","right","64","25","22","12","2","{""Q0"":""ESG44""}","","",""
"19466.300000000745","","","survey-multi-choice","2","61338","0.0-2.0","9qc592","Sun Sep 25 2022 19:58:51 GMT+0200 (Central European Summer Time)","2022","9","25","19","58","51","ESG44","Cooking","Sensory awareness","63","25","female","right","64","25","22","12","2","{""Activity"":""Cooking""}","[0]","",""
"9881.39999999851","","","survey-multi-choice","3","71228","0.0-3.0","9qc592","Sun Sep 25 2022 19:58:51 GMT+0200 (Central European Summer Time)","2022","9","25","19","58","51","ESG44","Cooking","Sensory awareness","63","25","female","right","64","25","22","12","2","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"3946.699999999255","","","survey-multi-choice","4","75195","0.0-4.0","9qc592","Sun Sep 25 2022 19:58:51 GMT+0200 (Central European Summer Time)","2022","9","25","19","58","51","ESG44","Cooking","Sensory awareness","63","25","female","right","64","25","22","12","2","{""HeartRate"":""63""}","[0]","",""
"2821.800000000745","","","survey-text","5","78038","0.0-5.0","9qc592","Sun Sep 25 2022 19:58:51 GMT+0200 (Central European Summer Time)","2022","9","25","19","58","51","ESG44","Cooking","Sensory awareness","63","25","female","right","64","25","22","12","2","{""Q0"":""25""}","","",""
"3968.800000000745","","","survey-multi-choice","6","82021","0.0-6.0","9qc592","Sun Sep 25 2022 19:58:51 GMT+0200 (Central European Summer Time)","2022","9","25","19","58","51","ESG44","Cooking","Sensory awareness","63","25","female","right","64","25","22","12","2","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"5435.599999997765","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","87466","0.0-7.0","9qc592","Sun Sep 25 2022 19:58:51 GMT+0200 (Central European Summer Time)","2022","9","25","19","58","51","ESG44","Cooking","Sensory awareness","63","25","female","right","64","25","22","12","2","","","50","64"
"6411","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","93883","0.0-8.0","9qc592","Sun Sep 25 2022 19:58:51 GMT+0200 (Central European Summer Time)","2022","9","25","19","58","51","ESG44","Cooking","Sensory awareness","63","25","female","right","64","25","22","12","2","","","50","25"
"4911.699999999255","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","98801","0.0-9.0","9qc592","Sun Sep 25 2022 19:58:51 GMT+0200 (Central European Summer Time)","2022","9","25","19","58","51","ESG44","Cooking","Sensory awareness","63","25","female","right","64","25","22","12","2","","","50","22"
"21094.699999999255","","","survey-multi-choice","10","119907","0.0-10.0","9qc592","Sun Sep 25 2022 19:58:51 GMT+0200 (Central European Summer Time)","2022","9","25","19","58","51","ESG44","Cooking","Sensory awareness","63","25","female","right","64","25","22","12","2","{""Sleep"":""12"",""Eat"":""2""}","[0,1]","",""
