"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10819","0.0-0.0","9utdl0","Fri Oct 21 2022 11:39:56 GMT+0200 (Central European Summer Time)","2022","10","21","11","39","56","ESG44","Working, Studying","Inner voice","53","25","female","right","67","75","30","4","3","","","",""
"90370.30000001192","","","survey-text","1","101250","0.0-1.0","9utdl0","Fri Oct 21 2022 11:39:56 GMT+0200 (Central European Summer Time)","2022","10","21","11","39","56","ESG44","Working, Studying","Inner voice","53","25","female","right","67","75","30","4","3","{""Q0"":""ESG44""}","","",""
"3933","","","survey-multi-choice","2","105215","0.0-2.0","9utdl0","Fri Oct 21 2022 11:39:56 GMT+0200 (Central European Summer Time)","2022","10","21","11","39","56","ESG44","Working, Studying","Inner voice","53","25","female","right","67","75","30","4","3","{""Activity"":""Working, Studying""}","[0]","",""
"4079.7999999821186","","","survey-multi-choice","3","109304","0.0-3.0","9utdl0","Fri Oct 21 2022 11:39:56 GMT+0200 (Central European Summer Time)","2022","10","21","11","39","56","ESG44","Working, Studying","Inner voice","53","25","female","right","67","75","30","4","3","{""MentalActivity"":""Inner voice""}","[0]","",""
"3463.699999988079","","","survey-multi-choice","4","112786","0.0-4.0","9utdl0","Fri Oct 21 2022 11:39:56 GMT+0200 (Central European Summer Time)","2022","10","21","11","39","56","ESG44","Working, Studying","Inner voice","53","25","female","right","67","75","30","4","3","{""HeartRate"":""53""}","[0]","",""
"5889.699999988079","","","survey-text","5","118683","0.0-5.0","9utdl0","Fri Oct 21 2022 11:39:56 GMT+0200 (Central European Summer Time)","2022","10","21","11","39","56","ESG44","Working, Studying","Inner voice","53","25","female","right","67","75","30","4","3","{""Q0"":""25""}","","",""
"3071.2000000178814","","","survey-multi-choice","6","121759","0.0-6.0","9utdl0","Fri Oct 21 2022 11:39:56 GMT+0200 (Central European Summer Time)","2022","10","21","11","39","56","ESG44","Working, Studying","Inner voice","53","25","female","right","67","75","30","4","3","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"6274.5999999940395","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","128051","0.0-7.0","9utdl0","Fri Oct 21 2022 11:39:56 GMT+0200 (Central European Summer Time)","2022","10","21","11","39","56","ESG44","Working, Studying","Inner voice","53","25","female","right","67","75","30","4","3","","","50","67"
"3691.199999988079","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","131748","0.0-8.0","9utdl0","Fri Oct 21 2022 11:39:56 GMT+0200 (Central European Summer Time)","2022","10","21","11","39","56","ESG44","Working, Studying","Inner voice","53","25","female","right","67","75","30","4","3","","","50","75"
"2565.800000011921","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","134319","0.0-9.0","9utdl0","Fri Oct 21 2022 11:39:56 GMT+0200 (Central European Summer Time)","2022","10","21","11","39","56","ESG44","Working, Studying","Inner voice","53","25","female","right","67","75","30","4","3","","","50","30"
"20560.90000000596","","","survey-multi-choice","10","154892","0.0-10.0","9utdl0","Fri Oct 21 2022 11:39:56 GMT+0200 (Central European Summer Time)","2022","10","21","11","39","56","ESG44","Working, Studying","Inner voice","53","25","female","right","67","75","30","4","3","{""Sleep"":""4"",""Eat"":""3""}","[0,1]","",""
