"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10029","0.0-0.0","j7x0cs","Sat Oct 08 2022 19:37:15 GMT+0200 (Central European Summer Time)","2022","10","8","19","37","15","ESG44","Watching TV","Unsymbolized thinking","63","25","female","right","83","29","91","11","1","","","",""
"7462","","","survey-text","1","17585","0.0-1.0","j7x0cs","Sat Oct 08 2022 19:37:15 GMT+0200 (Central European Summer Time)","2022","10","8","19","37","15","ESG44","Watching TV","Unsymbolized thinking","63","25","female","right","83","29","91","11","1","{""Q0"":""ESG44""}","","",""
"6405.100000023842","","","survey-multi-choice","2","24006","0.0-2.0","j7x0cs","Sat Oct 08 2022 19:37:15 GMT+0200 (Central European Summer Time)","2022","10","8","19","37","15","ESG44","Watching TV","Unsymbolized thinking","63","25","female","right","83","29","91","11","1","{""Activity"":""Watching TV""}","[0]","",""
"4366.199999988079","","","survey-multi-choice","3","28387","0.0-3.0","j7x0cs","Sat Oct 08 2022 19:37:15 GMT+0200 (Central European Summer Time)","2022","10","8","19","37","15","ESG44","Watching TV","Unsymbolized thinking","63","25","female","right","83","29","91","11","1","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"3327.099999964237","","","survey-multi-choice","4","31730","0.0-4.0","j7x0cs","Sat Oct 08 2022 19:37:15 GMT+0200 (Central European Summer Time)","2022","10","8","19","37","15","ESG44","Watching TV","Unsymbolized thinking","63","25","female","right","83","29","91","11","1","{""HeartRate"":""63""}","[0]","",""
"3226.899999976158","","","survey-text","5","34980","0.0-5.0","j7x0cs","Sat Oct 08 2022 19:37:15 GMT+0200 (Central European Summer Time)","2022","10","8","19","37","15","ESG44","Watching TV","Unsymbolized thinking","63","25","female","right","83","29","91","11","1","{""Q0"":""25""}","","",""
"3050.199999988079","","","survey-multi-choice","6","38048","0.0-6.0","j7x0cs","Sat Oct 08 2022 19:37:15 GMT+0200 (Central European Summer Time)","2022","10","8","19","37","15","ESG44","Watching TV","Unsymbolized thinking","63","25","female","right","83","29","91","11","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3669.600000023842","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","41739","0.0-7.0","j7x0cs","Sat Oct 08 2022 19:37:15 GMT+0200 (Central European Summer Time)","2022","10","8","19","37","15","ESG44","Watching TV","Unsymbolized thinking","63","25","female","right","83","29","91","11","1","","","50","83"
"4258.100000023842","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","46003","0.0-8.0","j7x0cs","Sat Oct 08 2022 19:37:15 GMT+0200 (Central European Summer Time)","2022","10","8","19","37","15","ESG44","Watching TV","Unsymbolized thinking","63","25","female","right","83","29","91","11","1","","","50","29"
"4481.300000011921","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","50489","0.0-9.0","j7x0cs","Sat Oct 08 2022 19:37:15 GMT+0200 (Central European Summer Time)","2022","10","8","19","37","15","ESG44","Watching TV","Unsymbolized thinking","63","25","female","right","83","29","91","11","1","","","50","91"
"12321.100000023842","","","survey-multi-choice","10","62818","0.0-10.0","j7x0cs","Sat Oct 08 2022 19:37:15 GMT+0200 (Central European Summer Time)","2022","10","8","19","37","15","ESG44","Watching TV","Unsymbolized thinking","63","25","female","right","83","29","91","11","1","{""Sleep"":""11"",""Eat"":""1""}","[0,1]","",""
