"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10028","0.0-0.0","nclbkh","Sat Oct 29 2022 09:27:08 GMT+0200 (Central European Summer Time)","2022","10","29","9","27","8","ESG44","Sleeping, Resting","Inner voice","68","25","female","right","57","42","42","0","8","","","",""
"8903.399999976158","","","survey-text","1","18977","0.0-1.0","nclbkh","Sat Oct 29 2022 09:27:08 GMT+0200 (Central European Summer Time)","2022","10","29","9","27","8","ESG44","Sleeping, Resting","Inner voice","68","25","female","right","57","42","42","0","8","{""Q0"":""ESG44""}","","",""
"10834.900000035763","","","survey-multi-choice","2","29841","0.0-2.0","nclbkh","Sat Oct 29 2022 09:27:08 GMT+0200 (Central European Summer Time)","2022","10","29","9","27","8","ESG44","Sleeping, Resting","Inner voice","68","25","female","right","57","42","42","0","8","{""Activity"":""Sleeping, Resting""}","[0]","",""
"3508","","","survey-multi-choice","3","33357","0.0-3.0","nclbkh","Sat Oct 29 2022 09:27:08 GMT+0200 (Central European Summer Time)","2022","10","29","9","27","8","ESG44","Sleeping, Resting","Inner voice","68","25","female","right","57","42","42","0","8","{""MentalActivity"":""Inner voice""}","[0]","",""
"3203.900000035763","","","survey-multi-choice","4","36581","0.0-4.0","nclbkh","Sat Oct 29 2022 09:27:08 GMT+0200 (Central European Summer Time)","2022","10","29","9","27","8","ESG44","Sleeping, Resting","Inner voice","68","25","female","right","57","42","42","0","8","{""HeartRate"":""68""}","[0]","",""
"2551.800000011921","","","survey-text","5","39148","0.0-5.0","nclbkh","Sat Oct 29 2022 09:27:08 GMT+0200 (Central European Summer Time)","2022","10","29","9","27","8","ESG44","Sleeping, Resting","Inner voice","68","25","female","right","57","42","42","0","8","{""Q0"":""25""}","","",""
"3950.699999988079","","","survey-multi-choice","6","43120","0.0-6.0","nclbkh","Sat Oct 29 2022 09:27:08 GMT+0200 (Central European Summer Time)","2022","10","29","9","27","8","ESG44","Sleeping, Resting","Inner voice","68","25","female","right","57","42","42","0","8","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"7673.900000035763","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","50803","0.0-7.0","nclbkh","Sat Oct 29 2022 09:27:08 GMT+0200 (Central European Summer Time)","2022","10","29","9","27","8","ESG44","Sleeping, Resting","Inner voice","68","25","female","right","57","42","42","0","8","","","50","57"
"4335.399999976158","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","55144","0.0-8.0","nclbkh","Sat Oct 29 2022 09:27:08 GMT+0200 (Central European Summer Time)","2022","10","29","9","27","8","ESG44","Sleeping, Resting","Inner voice","68","25","female","right","57","42","42","0","8","","","50","42"
"3477.800000011921","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","58627","0.0-9.0","nclbkh","Sat Oct 29 2022 09:27:08 GMT+0200 (Central European Summer Time)","2022","10","29","9","27","8","ESG44","Sleeping, Resting","Inner voice","68","25","female","right","57","42","42","0","8","","","50","42"
"11833.299999952316","","","survey-multi-choice","10","70472","0.0-10.0","nclbkh","Sat Oct 29 2022 09:27:08 GMT+0200 (Central European Summer Time)","2022","10","29","9","27","8","ESG44","Sleeping, Resting","Inner voice","68","25","female","right","57","42","42","0","8","{""Sleep"":""0"",""Eat"":""8""}","[0,1]","",""
