"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10009","0.0-0.0","rsn5hp","Wed Oct 05 2022 17:22:27 GMT+0200 (Central European Summer Time)","2022","10","5","17","22","27","ESG44","Listening to music","Feelings","73","25","female","right","43","77","80","9","1","","","",""
"8684.700000047684","","","survey-text","1","18721","0.0-1.0","rsn5hp","Wed Oct 05 2022 17:22:27 GMT+0200 (Central European Summer Time)","2022","10","5","17","22","27","ESG44","Listening to music","Feelings","73","25","female","right","43","77","80","9","1","{""Q0"":""ESG44""}","","",""
"18998.900000035763","","","survey-multi-choice","2","37731","0.0-2.0","rsn5hp","Wed Oct 05 2022 17:22:27 GMT+0200 (Central European Summer Time)","2022","10","5","17","22","27","ESG44","Listening to music","Feelings","73","25","female","right","43","77","80","9","1","{""Activity"":""Listening to music""}","[0]","",""
"8426.600000023842","","","survey-multi-choice","3","46165","0.0-3.0","rsn5hp","Wed Oct 05 2022 17:22:27 GMT+0200 (Central European Summer Time)","2022","10","5","17","22","27","ESG44","Listening to music","Feelings","73","25","female","right","43","77","80","9","1","{""MentalActivity"":""Feelings""}","[0]","",""
"4918.600000023842","","","survey-multi-choice","4","51098","0.0-4.0","rsn5hp","Wed Oct 05 2022 17:22:27 GMT+0200 (Central European Summer Time)","2022","10","5","17","22","27","ESG44","Listening to music","Feelings","73","25","female","right","43","77","80","9","1","{""HeartRate"":""73""}","[0]","",""
"2826.399999976158","","","survey-text","5","53938","0.0-5.0","rsn5hp","Wed Oct 05 2022 17:22:27 GMT+0200 (Central European Summer Time)","2022","10","5","17","22","27","ESG44","Listening to music","Feelings","73","25","female","right","43","77","80","9","1","{""Q0"":""25""}","","",""
"3171.099999964237","","","survey-multi-choice","6","57139","0.0-6.0","rsn5hp","Wed Oct 05 2022 17:22:27 GMT+0200 (Central European Summer Time)","2022","10","5","17","22","27","ESG44","Listening to music","Feelings","73","25","female","right","43","77","80","9","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4630.899999976158","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","61782","0.0-7.0","rsn5hp","Wed Oct 05 2022 17:22:27 GMT+0200 (Central European Summer Time)","2022","10","5","17","22","27","ESG44","Listening to music","Feelings","73","25","female","right","43","77","80","9","1","","","50","43"
"3720.800000011921","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","65507","0.0-8.0","rsn5hp","Wed Oct 05 2022 17:22:27 GMT+0200 (Central European Summer Time)","2022","10","5","17","22","27","ESG44","Listening to music","Feelings","73","25","female","right","43","77","80","9","1","","","50","77"
"2805.099999964237","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","68318","0.0-9.0","rsn5hp","Wed Oct 05 2022 17:22:27 GMT+0200 (Central European Summer Time)","2022","10","5","17","22","27","ESG44","Listening to music","Feelings","73","25","female","right","43","77","80","9","1","","","50","80"
"13704.899999976158","","","survey-multi-choice","10","82036","0.0-10.0","rsn5hp","Wed Oct 05 2022 17:22:27 GMT+0200 (Central European Summer Time)","2022","10","5","17","22","27","ESG44","Listening to music","Feelings","73","25","female","right","43","77","80","9","1","{""Sleep"":""9"",""Eat"":""1""}","[0,1]","",""
