"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10153","0.0-0.0","whbzo2","Wed Oct 26 2022 22:40:52 GMT+0200 (Central European Summer Time)","2022","10","26","22","40","52","ESG44","Watching TV","Inner voice","72","25","female","right","74","21","95","15","1","","","",""
"38692.19999998808","","","survey-text","1","48940","0.0-1.0","whbzo2","Wed Oct 26 2022 22:40:52 GMT+0200 (Central European Summer Time)","2022","10","26","22","40","52","ESG44","Watching TV","Inner voice","72","25","female","right","74","21","95","15","1","{""Q0"":""ESG44""}","","",""
"10221.300000011921","","","survey-multi-choice","2","59194","0.0-2.0","whbzo2","Wed Oct 26 2022 22:40:52 GMT+0200 (Central European Summer Time)","2022","10","26","22","40","52","ESG44","Watching TV","Inner voice","72","25","female","right","74","21","95","15","1","{""Activity"":""Watching TV""}","[0]","",""
"6051.700000047684","","","survey-multi-choice","3","65297","0.0-3.0","whbzo2","Wed Oct 26 2022 22:40:52 GMT+0200 (Central European Summer Time)","2022","10","26","22","40","52","ESG44","Watching TV","Inner voice","72","25","female","right","74","21","95","15","1","{""MentalActivity"":""Inner voice""}","[0]","",""
"3760.400000035763","","","survey-multi-choice","4","69075","0.0-4.0","whbzo2","Wed Oct 26 2022 22:40:52 GMT+0200 (Central European Summer Time)","2022","10","26","22","40","52","ESG44","Watching TV","Inner voice","72","25","female","right","74","21","95","15","1","{""HeartRate"":""72""}","[0]","",""
"2675.600000023842","","","survey-text","5","71790","0.0-5.0","whbzo2","Wed Oct 26 2022 22:40:52 GMT+0200 (Central European Summer Time)","2022","10","26","22","40","52","ESG44","Watching TV","Inner voice","72","25","female","right","74","21","95","15","1","{""Q0"":""25""}","","",""
"2608.399999976158","","","survey-multi-choice","6","74408","0.0-6.0","whbzo2","Wed Oct 26 2022 22:40:52 GMT+0200 (Central European Summer Time)","2022","10","26","22","40","52","ESG44","Watching TV","Inner voice","72","25","female","right","74","21","95","15","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4546.599999964237","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","78977","0.0-7.0","whbzo2","Wed Oct 26 2022 22:40:52 GMT+0200 (Central European Summer Time)","2022","10","26","22","40","52","ESG44","Watching TV","Inner voice","72","25","female","right","74","21","95","15","1","","","50","74"
"2991.099999964237","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","81972","0.0-8.0","whbzo2","Wed Oct 26 2022 22:40:52 GMT+0200 (Central European Summer Time)","2022","10","26","22","40","52","ESG44","Watching TV","Inner voice","72","25","female","right","74","21","95","15","1","","","50","21"
"3836.900000035763","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","85815","0.0-9.0","whbzo2","Wed Oct 26 2022 22:40:52 GMT+0200 (Central European Summer Time)","2022","10","26","22","40","52","ESG44","Watching TV","Inner voice","72","25","female","right","74","21","95","15","1","","","50","95"
"26608.299999952316","","","survey-multi-choice","10","112438","0.0-10.0","whbzo2","Wed Oct 26 2022 22:40:52 GMT+0200 (Central European Summer Time)","2022","10","26","22","40","52","ESG44","Watching TV","Inner voice","72","25","female","right","74","21","95","15","1","{""Sleep"":""15"",""Eat"":""1""}","[0,1]","",""
