"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10010","0.0-0.0","nb9nou","Tue Sep 13 2022 17:48:49 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","17","48","49","Mis27","Working, Studying","Inner voice","87","21","female","left","50","60","73","8","1","","","",""
"5174.5","","","survey-text","1","15205","0.0-1.0","nb9nou","Tue Sep 13 2022 17:48:49 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","17","48","49","Mis27","Working, Studying","Inner voice","87","21","female","left","50","60","73","8","1","{""Q0"":""Mis27""}","","",""
"4095","","","survey-multi-choice","2","19307","0.0-2.0","nb9nou","Tue Sep 13 2022 17:48:49 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","17","48","49","Mis27","Working, Studying","Inner voice","87","21","female","left","50","60","73","8","1","{""Activity"":""Working, Studying""}","[0]","",""
"6351.9000000059605","","","survey-multi-choice","3","25669","0.0-3.0","nb9nou","Tue Sep 13 2022 17:48:49 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","17","48","49","Mis27","Working, Studying","Inner voice","87","21","female","left","50","60","73","8","1","{""MentalActivity"":""Inner voice""}","[0]","",""
"5251.5","","","survey-multi-choice","4","30942","0.0-4.0","nb9nou","Tue Sep 13 2022 17:48:49 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","17","48","49","Mis27","Working, Studying","Inner voice","87","21","female","left","50","60","73","8","1","{""HeartRate"":""87""}","[0]","",""
"3724.0999999940395","","","survey-text","5","34676","0.0-5.0","nb9nou","Tue Sep 13 2022 17:48:49 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","17","48","49","Mis27","Working, Studying","Inner voice","87","21","female","left","50","60","73","8","1","{""Q0"":""21""}","","",""
"2799.100000023842","","","survey-multi-choice","6","37486","0.0-6.0","nb9nou","Tue Sep 13 2022 17:48:49 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","17","48","49","Mis27","Working, Studying","Inner voice","87","21","female","left","50","60","73","8","1","{""Gender"":""female"",""Hand"":""left""}","[0,1]","",""
"2281.800000011921","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","39780","0.0-7.0","nb9nou","Tue Sep 13 2022 17:48:49 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","17","48","49","Mis27","Working, Studying","Inner voice","87","21","female","left","50","60","73","8","1","","","50","50"
"3941.5999999940395","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","43731","0.0-8.0","nb9nou","Tue Sep 13 2022 17:48:49 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","17","48","49","Mis27","Working, Studying","Inner voice","87","21","female","left","50","60","73","8","1","","","50","60"
"5772.200000017881","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","49510","0.0-9.0","nb9nou","Tue Sep 13 2022 17:48:49 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","17","48","49","Mis27","Working, Studying","Inner voice","87","21","female","left","50","60","73","8","1","","","50","73"
"23798.80000001192","","","survey-multi-choice","10","73322","0.0-10.0","nb9nou","Tue Sep 13 2022 17:48:49 GMT+0200 (Centraleuropæisk sommertid)","2022","9","13","17","48","49","Mis27","Working, Studying","Inner voice","87","21","female","left","50","60","73","8","1","{""Sleep"":""8"",""Eat"":""1""}","[0,1]","",""
