"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10796","0.0-0.0","txw8bn","Fri Sep 09 2022 19:23:51 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","19","23","51","Mis27","Being on the Internet","Unsymbolized thinking","75","21","female","left","74","29","17","11","4","","","",""
"34102.19999998808","","","survey-text","1","44932","0.0-1.0","txw8bn","Fri Sep 09 2022 19:23:51 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","19","23","51","Mis27","Being on the Internet","Unsymbolized thinking","75","21","female","left","74","29","17","11","4","{""Q0"":""Mis27""}","","",""
"5227.300000011921","","","survey-multi-choice","2","50176","0.0-2.0","txw8bn","Fri Sep 09 2022 19:23:51 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","19","23","51","Mis27","Being on the Internet","Unsymbolized thinking","75","21","female","left","74","29","17","11","4","{""Activity"":""Being on the Internet""}","[0]","",""
"8284","","","survey-multi-choice","3","58471","0.0-3.0","txw8bn","Fri Sep 09 2022 19:23:51 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","19","23","51","Mis27","Being on the Internet","Unsymbolized thinking","75","21","female","left","74","29","17","11","4","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"6467.20000000298","","","survey-multi-choice","4","64955","0.0-4.0","txw8bn","Fri Sep 09 2022 19:23:51 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","19","23","51","Mis27","Being on the Internet","Unsymbolized thinking","75","21","female","left","74","29","17","11","4","{""HeartRate"":""75""}","[0]","",""
"4077.7999999970198","","","survey-text","5","69043","0.0-5.0","txw8bn","Fri Sep 09 2022 19:23:51 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","19","23","51","Mis27","Being on the Internet","Unsymbolized thinking","75","21","female","left","74","29","17","11","4","{""Q0"":""21""}","","",""
"3184.6000000089407","","","survey-multi-choice","6","72238","0.0-6.0","txw8bn","Fri Sep 09 2022 19:23:51 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","19","23","51","Mis27","Being on the Internet","Unsymbolized thinking","75","21","female","left","74","29","17","11","4","{""Gender"":""female"",""Hand"":""left""}","[0,1]","",""
"5735.70000000298","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","77983","0.0-7.0","txw8bn","Fri Sep 09 2022 19:23:51 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","19","23","51","Mis27","Being on the Internet","Unsymbolized thinking","75","21","female","left","74","29","17","11","4","","","50","74"
"5816.699999988079","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","83806","0.0-8.0","txw8bn","Fri Sep 09 2022 19:23:51 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","19","23","51","Mis27","Being on the Internet","Unsymbolized thinking","75","21","female","left","74","29","17","11","4","","","50","29"
"4872.5999999940395","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","88687","0.0-9.0","txw8bn","Fri Sep 09 2022 19:23:51 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","19","23","51","Mis27","Being on the Internet","Unsymbolized thinking","75","21","female","left","74","29","17","11","4","","","50","17"
"51343","","","survey-multi-choice","10","140044","0.0-10.0","txw8bn","Fri Sep 09 2022 19:23:51 GMT+0200 (Centraleuropæisk sommertid)","2022","9","9","19","23","51","Mis27","Being on the Internet","Unsymbolized thinking","75","21","female","left","74","29","17","11","4","{""Sleep"":""11"",""Eat"":""4""}","[0,1]","",""
