"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10034","0.0-0.0","c8gyob","Thu Sep 15 2022 20:00:34 GMT+0200 (Central European Summer Time)","2022","9","15","20","0","34","POP33","Watching TV","Unsymbolized thinking","60","25","female","right","75","49","86","13","1","","","",""
"6364.400000035763","","","survey-text","1","16437","0.0-1.0","c8gyob","Thu Sep 15 2022 20:00:34 GMT+0200 (Central European Summer Time)","2022","9","15","20","0","34","POP33","Watching TV","Unsymbolized thinking","60","25","female","right","75","49","86","13","1","{""Q0"":""POP33""}","","",""
"19184.5","","","survey-multi-choice","2","35637","0.0-2.0","c8gyob","Thu Sep 15 2022 20:00:34 GMT+0200 (Central European Summer Time)","2022","9","15","20","0","34","POP33","Watching TV","Unsymbolized thinking","60","25","female","right","75","49","86","13","1","{""Activity"":""Watching TV""}","[0]","",""
"6129.899999976158","","","survey-multi-choice","3","41775","0.0-3.0","c8gyob","Thu Sep 15 2022 20:00:34 GMT+0200 (Central European Summer Time)","2022","9","15","20","0","34","POP33","Watching TV","Unsymbolized thinking","60","25","female","right","75","49","86","13","1","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"6071.600000023842","","","survey-multi-choice","4","47865","0.0-4.0","c8gyob","Thu Sep 15 2022 20:00:34 GMT+0200 (Central European Summer Time)","2022","9","15","20","0","34","POP33","Watching TV","Unsymbolized thinking","60","25","female","right","75","49","86","13","1","{""HeartRate"":""60""}","[0]","",""
"4029.599999964237","","","survey-text","5","51908","0.0-5.0","c8gyob","Thu Sep 15 2022 20:00:34 GMT+0200 (Central European Summer Time)","2022","9","15","20","0","34","POP33","Watching TV","Unsymbolized thinking","60","25","female","right","75","49","86","13","1","{""Q0"":""25""}","","",""
"3040","","","survey-multi-choice","6","54957","0.0-6.0","c8gyob","Thu Sep 15 2022 20:00:34 GMT+0200 (Central European Summer Time)","2022","9","15","20","0","34","POP33","Watching TV","Unsymbolized thinking","60","25","female","right","75","49","86","13","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"6300.700000047684","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","61267","0.0-7.0","c8gyob","Thu Sep 15 2022 20:00:34 GMT+0200 (Central European Summer Time)","2022","9","15","20","0","34","POP33","Watching TV","Unsymbolized thinking","60","25","female","right","75","49","86","13","1","","","50","75"
"6766.399999976158","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","68039","0.0-8.0","c8gyob","Thu Sep 15 2022 20:00:34 GMT+0200 (Central European Summer Time)","2022","9","15","20","0","34","POP33","Watching TV","Unsymbolized thinking","60","25","female","right","75","49","86","13","1","","","50","49"
"6907.800000011921","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","74952","0.0-9.0","c8gyob","Thu Sep 15 2022 20:00:34 GMT+0200 (Central European Summer Time)","2022","9","15","20","0","34","POP33","Watching TV","Unsymbolized thinking","60","25","female","right","75","49","86","13","1","","","50","86"
"17139.5","","","survey-multi-choice","10","92102","0.0-10.0","c8gyob","Thu Sep 15 2022 20:00:34 GMT+0200 (Central European Summer Time)","2022","9","15","20","0","34","POP33","Watching TV","Unsymbolized thinking","60","25","female","right","75","49","86","13","1","{""Sleep"":""13"",""Eat"":""1""}","[0,1]","",""
