"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10020","0.0-0.0","hs3y9w","Sat Sep 24 2022 14:22:46 GMT+0200 (Central European Summer Time)","2022","9","24","14","22","46","POP33","Chatting","Inner voice","69","25","female","right","85","85","67","6","3","","","",""
"6158.0999999940395","","","survey-text","1","16205","0.0-1.0","hs3y9w","Sat Sep 24 2022 14:22:46 GMT+0200 (Central European Summer Time)","2022","9","24","14","22","46","POP33","Chatting","Inner voice","69","25","female","right","85","85","67","6","3","{""Q0"":""POP33""}","","",""
"34118.29999999702","","","survey-multi-choice","2","50341","0.0-2.0","hs3y9w","Sat Sep 24 2022 14:22:46 GMT+0200 (Central European Summer Time)","2022","9","24","14","22","46","POP33","Chatting","Inner voice","69","25","female","right","85","85","67","6","3","{""Activity"":""Chatting""}","[0]","",""
"3520.9000000059605","","","survey-multi-choice","3","53869","0.0-3.0","hs3y9w","Sat Sep 24 2022 14:22:46 GMT+0200 (Central European Summer Time)","2022","9","24","14","22","46","POP33","Chatting","Inner voice","69","25","female","right","85","85","67","6","3","{""MentalActivity"":""Inner voice""}","[0]","",""
"5338.29999999702","","","survey-multi-choice","4","59225","0.0-4.0","hs3y9w","Sat Sep 24 2022 14:22:46 GMT+0200 (Central European Summer Time)","2022","9","24","14","22","46","POP33","Chatting","Inner voice","69","25","female","right","85","85","67","6","3","{""HeartRate"":""69""}","[0]","",""
"2408.7999999970198","","","survey-text","5","61646","0.0-5.0","hs3y9w","Sat Sep 24 2022 14:22:46 GMT+0200 (Central European Summer Time)","2022","9","24","14","22","46","POP33","Chatting","Inner voice","69","25","female","right","85","85","67","6","3","{""Q0"":""25""}","","",""
"3775","","","survey-multi-choice","6","65431","0.0-6.0","hs3y9w","Sat Sep 24 2022 14:22:46 GMT+0200 (Central European Summer Time)","2022","9","24","14","22","46","POP33","Chatting","Inner voice","69","25","female","right","85","85","67","6","3","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4557.29999999702","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","69999","0.0-7.0","hs3y9w","Sat Sep 24 2022 14:22:46 GMT+0200 (Central European Summer Time)","2022","9","24","14","22","46","POP33","Chatting","Inner voice","69","25","female","right","85","85","67","6","3","","","50","85"
"4319.899999991059","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","74324","0.0-8.0","hs3y9w","Sat Sep 24 2022 14:22:46 GMT+0200 (Central European Summer Time)","2022","9","24","14","22","46","POP33","Chatting","Inner voice","69","25","female","right","85","85","67","6","3","","","50","85"
"4865.79999999702","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","79195","0.0-9.0","hs3y9w","Sat Sep 24 2022 14:22:46 GMT+0200 (Central European Summer Time)","2022","9","24","14","22","46","POP33","Chatting","Inner voice","69","25","female","right","85","85","67","6","3","","","50","67"
"14858.20000000298","","","survey-multi-choice","10","94063","0.0-10.0","hs3y9w","Sat Sep 24 2022 14:22:46 GMT+0200 (Central European Summer Time)","2022","9","24","14","22","46","POP33","Chatting","Inner voice","69","25","female","right","85","85","67","6","3","{""Sleep"":""6"",""Eat"":""3""}","[0,1]","",""
