"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10029","0.0-0.0","ppsnv7","Sat Sep 10 2022 13:54:11 GMT+0200 (Central European Summer Time)","2022","9","10","13","54","11","POP33","Watching TV","Sensory awareness","57","25","female","right","50","41","57","5","0","","","",""
"11847.199999988079","","","survey-text","1","21918","0.0-1.0","ppsnv7","Sat Sep 10 2022 13:54:11 GMT+0200 (Central European Summer Time)","2022","9","10","13","54","11","POP33","Watching TV","Sensory awareness","57","25","female","right","50","41","57","5","0","{""Q0"":""POP33""}","","",""
"5190.699999988079","","","survey-multi-choice","2","27123","0.0-2.0","ppsnv7","Sat Sep 10 2022 13:54:11 GMT+0200 (Central European Summer Time)","2022","9","10","13","54","11","POP33","Watching TV","Sensory awareness","57","25","female","right","50","41","57","5","0","{""Activity"":""Watching TV""}","[0]","",""
"15905.900000035763","","","survey-multi-choice","3","43036","0.0-3.0","ppsnv7","Sat Sep 10 2022 13:54:11 GMT+0200 (Central European Summer Time)","2022","9","10","13","54","11","POP33","Watching TV","Sensory awareness","57","25","female","right","50","41","57","5","0","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"16118","","","survey-multi-choice","4","59173","0.0-4.0","ppsnv7","Sat Sep 10 2022 13:54:11 GMT+0200 (Central European Summer Time)","2022","9","10","13","54","11","POP33","Watching TV","Sensory awareness","57","25","female","right","50","41","57","5","0","{""HeartRate"":""57""}","[0]","",""
"3218.800000011921","","","survey-text","5","62403","0.0-5.0","ppsnv7","Sat Sep 10 2022 13:54:11 GMT+0200 (Central European Summer Time)","2022","9","10","13","54","11","POP33","Watching TV","Sensory awareness","57","25","female","right","50","41","57","5","0","{""Q0"":""25""}","","",""
"2890.899999976158","","","survey-multi-choice","6","65305","0.0-6.0","ppsnv7","Sat Sep 10 2022 13:54:11 GMT+0200 (Central European Summer Time)","2022","9","10","13","54","11","POP33","Watching TV","Sensory awareness","57","25","female","right","50","41","57","5","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"6144.300000011921","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","71457","0.0-7.0","ppsnv7","Sat Sep 10 2022 13:54:11 GMT+0200 (Central European Summer Time)","2022","9","10","13","54","11","POP33","Watching TV","Sensory awareness","57","25","female","right","50","41","57","5","0","","","50","50"
"3803.699999988079","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","75266","0.0-8.0","ppsnv7","Sat Sep 10 2022 13:54:11 GMT+0200 (Central European Summer Time)","2022","9","10","13","54","11","POP33","Watching TV","Sensory awareness","57","25","female","right","50","41","57","5","0","","","50","41"
"4346.5","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","79618","0.0-9.0","ppsnv7","Sat Sep 10 2022 13:54:11 GMT+0200 (Central European Summer Time)","2022","9","10","13","54","11","POP33","Watching TV","Sensory awareness","57","25","female","right","50","41","57","5","0","","","50","57"
"21313.899999976158","","","survey-multi-choice","10","100944","0.0-10.0","ppsnv7","Sat Sep 10 2022 13:54:11 GMT+0200 (Central European Summer Time)","2022","9","10","13","54","11","POP33","Watching TV","Sensory awareness","57","25","female","right","50","41","57","5","0","{""Sleep"":""5"",""Eat"":""0""}","[0,1]","",""
