"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10131","0.0-0.0","r4vo8u","Sat Sep 10 2022 13:55:39 GMT+0200 (CEST)","2022","9","10","13","55","39","dan72","Waiting, Being in line","Sensory awareness","75","23","female","left","70","24","100","4","0","","","",""
"42333.00000000001","","","survey-text","1","52520","0.0-1.0","r4vo8u","Sat Sep 10 2022 13:55:39 GMT+0200 (CEST)","2022","9","10","13","55","39","dan72","Waiting, Being in line","Sensory awareness","75","23","female","left","70","24","100","4","0","{""Q0"":""dan72""}","","",""
"18088.999999999993","","","survey-multi-choice","2","70615","0.0-2.0","r4vo8u","Sat Sep 10 2022 13:55:39 GMT+0200 (CEST)","2022","9","10","13","55","39","dan72","Waiting, Being in line","Sensory awareness","75","23","female","left","70","24","100","4","0","{""Activity"":""Waiting, Being in line""}","[0]","",""
"5212","","","survey-multi-choice","3","75830","0.0-3.0","r4vo8u","Sat Sep 10 2022 13:55:39 GMT+0200 (CEST)","2022","9","10","13","55","39","dan72","Waiting, Being in line","Sensory awareness","75","23","female","left","70","24","100","4","0","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"5938","","","survey-multi-choice","4","81779","0.0-4.0","r4vo8u","Sat Sep 10 2022 13:55:39 GMT+0200 (CEST)","2022","9","10","13","55","39","dan72","Waiting, Being in line","Sensory awareness","75","23","female","left","70","24","100","4","0","{""HeartRate"":""75""}","[0]","",""
"3650","","","survey-text","5","85436","0.0-5.0","r4vo8u","Sat Sep 10 2022 13:55:39 GMT+0200 (CEST)","2022","9","10","13","55","39","dan72","Waiting, Being in line","Sensory awareness","75","23","female","left","70","24","100","4","0","{""Q0"":""23""}","","",""
"5732","","","survey-multi-choice","6","91173","0.0-6.0","r4vo8u","Sat Sep 10 2022 13:55:39 GMT+0200 (CEST)","2022","9","10","13","55","39","dan72","Waiting, Being in line","Sensory awareness","75","23","female","left","70","24","100","4","0","{""Gender"":""female"",""Hand"":""left""}","[0,1]","",""
"6387.999999999985","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","97568","0.0-7.0","r4vo8u","Sat Sep 10 2022 13:55:39 GMT+0200 (CEST)","2022","9","10","13","55","39","dan72","Waiting, Being in line","Sensory awareness","75","23","female","left","70","24","100","4","0","","","50","70"
"13000","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","110572","0.0-8.0","r4vo8u","Sat Sep 10 2022 13:55:39 GMT+0200 (CEST)","2022","9","10","13","55","39","dan72","Waiting, Being in line","Sensory awareness","75","23","female","left","70","24","100","4","0","","","50","24"
"4134","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","114710","0.0-9.0","r4vo8u","Sat Sep 10 2022 13:55:39 GMT+0200 (CEST)","2022","9","10","13","55","39","dan72","Waiting, Being in line","Sensory awareness","75","23","female","left","70","24","100","4","0","","","50","100"
"18306.999999999985","","","survey-multi-choice","10","133027","0.0-10.0","r4vo8u","Sat Sep 10 2022 13:55:39 GMT+0200 (CEST)","2022","9","10","13","55","39","dan72","Waiting, Being in line","Sensory awareness","75","23","female","left","70","24","100","4","0","{""Sleep"":""4"",""Eat"":""0""}","[0,1]","",""
