"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10020","0.0-0.0","0rjln1","Sat Oct 08 2022 20:13:22 GMT+0200 (CEST)","2022","10","8","20","13","22","dlg05","Cooking","Inner voice","75","25","female","right","76","38","65","11","1","","","",""
"7229.999999999998","","","survey-text","1","17279","0.0-1.0","0rjln1","Sat Oct 08 2022 20:13:22 GMT+0200 (CEST)","2022","10","8","20","13","22","dlg05","Cooking","Inner voice","75","25","female","right","76","38","65","11","1","{""Q0"":""dlg05""}","","",""
"11761","","","survey-multi-choice","2","29051","0.0-2.0","0rjln1","Sat Oct 08 2022 20:13:22 GMT+0200 (CEST)","2022","10","8","20","13","22","dlg05","Cooking","Inner voice","75","25","female","right","76","38","65","11","1","{""Activity"":""Cooking""}","[0]","",""
"3142","","","survey-multi-choice","3","32196","0.0-3.0","0rjln1","Sat Oct 08 2022 20:13:22 GMT+0200 (CEST)","2022","10","8","20","13","22","dlg05","Cooking","Inner voice","75","25","female","right","76","38","65","11","1","{""MentalActivity"":""Inner voice""}","[0]","",""
"3495.0000000000073","","","survey-multi-choice","4","35695","0.0-4.0","0rjln1","Sat Oct 08 2022 20:13:22 GMT+0200 (CEST)","2022","10","8","20","13","22","dlg05","Cooking","Inner voice","75","25","female","right","76","38","65","11","1","{""HeartRate"":""75""}","[0]","",""
"2560","","","survey-text","5","38268","0.0-5.0","0rjln1","Sat Oct 08 2022 20:13:22 GMT+0200 (CEST)","2022","10","8","20","13","22","dlg05","Cooking","Inner voice","75","25","female","right","76","38","65","11","1","{""Q0"":""25""}","","",""
"2674.0000000000073","","","survey-multi-choice","6","40944","0.0-6.0","0rjln1","Sat Oct 08 2022 20:13:22 GMT+0200 (CEST)","2022","10","8","20","13","22","dlg05","Cooking","Inner voice","75","25","female","right","76","38","65","11","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3551","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","44503","0.0-7.0","0rjln1","Sat Oct 08 2022 20:13:22 GMT+0200 (CEST)","2022","10","8","20","13","22","dlg05","Cooking","Inner voice","75","25","female","right","76","38","65","11","1","","","50","76"
"2993","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","47503","0.0-8.0","0rjln1","Sat Oct 08 2022 20:13:22 GMT+0200 (CEST)","2022","10","8","20","13","22","dlg05","Cooking","Inner voice","75","25","female","right","76","38","65","11","1","","","50","38"
"2543","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","50050","0.0-9.0","0rjln1","Sat Oct 08 2022 20:13:22 GMT+0200 (CEST)","2022","10","8","20","13","22","dlg05","Cooking","Inner voice","75","25","female","right","76","38","65","11","1","","","50","65"
"12134.000000000007","","","survey-multi-choice","10","62193","0.0-10.0","0rjln1","Sat Oct 08 2022 20:13:22 GMT+0200 (CEST)","2022","10","8","20","13","22","dlg05","Cooking","Inner voice","75","25","female","right","76","38","65","11","1","{""Sleep"":""11"",""Eat"":""1""}","[0,1]","",""
