"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10020","0.0-0.0","13kb03","Thu Oct 27 2022 07:35:33 GMT+0200 (CEST)","2022","10","27","7","35","33","dlg05","Sleeping, Resting","Inner voice","60","25","female","right","76","18","38","0","12","","","",""
"7611","","","survey-text","1","17668","0.0-1.0","13kb03","Thu Oct 27 2022 07:35:33 GMT+0200 (CEST)","2022","10","27","7","35","33","dlg05","Sleeping, Resting","Inner voice","60","25","female","right","76","18","38","0","12","{""Q0"":""dlg05""}","","",""
"6300","","","survey-multi-choice","2","23974","0.0-2.0","13kb03","Thu Oct 27 2022 07:35:33 GMT+0200 (CEST)","2022","10","27","7","35","33","dlg05","Sleeping, Resting","Inner voice","60","25","female","right","76","18","38","0","12","{""Activity"":""Sleeping, Resting""}","[0]","",""
"8717","","","survey-multi-choice","3","32695","0.0-3.0","13kb03","Thu Oct 27 2022 07:35:33 GMT+0200 (CEST)","2022","10","27","7","35","33","dlg05","Sleeping, Resting","Inner voice","60","25","female","right","76","18","38","0","12","{""MentalActivity"":""Inner voice""}","[0]","",""
"7999","","","survey-multi-choice","4","40697","0.0-4.0","13kb03","Thu Oct 27 2022 07:35:33 GMT+0200 (CEST)","2022","10","27","7","35","33","dlg05","Sleeping, Resting","Inner voice","60","25","female","right","76","18","38","0","12","{""HeartRate"":""60""}","[0]","",""
"3504","","","survey-text","5","44210","0.0-5.0","13kb03","Thu Oct 27 2022 07:35:33 GMT+0200 (CEST)","2022","10","27","7","35","33","dlg05","Sleeping, Resting","Inner voice","60","25","female","right","76","18","38","0","12","{""Q0"":""25""}","","",""
"3027.0000000000073","","","survey-multi-choice","6","47240","0.0-6.0","13kb03","Thu Oct 27 2022 07:35:33 GMT+0200 (CEST)","2022","10","27","7","35","33","dlg05","Sleeping, Resting","Inner voice","60","25","female","right","76","18","38","0","12","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4517.999999999993","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","51767","0.0-7.0","13kb03","Thu Oct 27 2022 07:35:33 GMT+0200 (CEST)","2022","10","27","7","35","33","dlg05","Sleeping, Resting","Inner voice","60","25","female","right","76","18","38","0","12","","","50","76"
"8791","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","60563","0.0-8.0","13kb03","Thu Oct 27 2022 07:35:33 GMT+0200 (CEST)","2022","10","27","7","35","33","dlg05","Sleeping, Resting","Inner voice","60","25","female","right","76","18","38","0","12","","","50","18"
"3667","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","64234","0.0-9.0","13kb03","Thu Oct 27 2022 07:35:33 GMT+0200 (CEST)","2022","10","27","7","35","33","dlg05","Sleeping, Resting","Inner voice","60","25","female","right","76","18","38","0","12","","","50","38"
"21567","","","survey-multi-choice","10","85810","0.0-10.0","13kb03","Thu Oct 27 2022 07:35:33 GMT+0200 (CEST)","2022","10","27","7","35","33","dlg05","Sleeping, Resting","Inner voice","60","25","female","right","76","18","38","0","12","{""Sleep"":""0"",""Eat"":""12""}","[0,1]","",""
