"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10016","0.0-0.0","cl8qpu","Sat Sep 10 2022 13:55:51 GMT+0200 (CEST)","2022","9","10","13","55","51","dlg05","Housework","Unsymbolized thinking","78","25","female","right","70","60","60","4","0","","","",""
"8200.000000000002","","","survey-text","1","18238","0.0-1.0","cl8qpu","Sat Sep 10 2022 13:55:51 GMT+0200 (CEST)","2022","9","10","13","55","51","dlg05","Housework","Unsymbolized thinking","78","25","female","right","70","60","60","4","0","{""Q0"":""dlg05""}","","",""
"11911","","","survey-multi-choice","2","30159","0.0-2.0","cl8qpu","Sat Sep 10 2022 13:55:51 GMT+0200 (CEST)","2022","9","10","13","55","51","dlg05","Housework","Unsymbolized thinking","78","25","female","right","70","60","60","4","0","{""Activity"":""Housework""}","[0]","",""
"8474","","","survey-multi-choice","3","38638","0.0-3.0","cl8qpu","Sat Sep 10 2022 13:55:51 GMT+0200 (CEST)","2022","9","10","13","55","51","dlg05","Housework","Unsymbolized thinking","78","25","female","right","70","60","60","4","0","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"4719","","","survey-multi-choice","4","43368","0.0-4.0","cl8qpu","Sat Sep 10 2022 13:55:51 GMT+0200 (CEST)","2022","9","10","13","55","51","dlg05","Housework","Unsymbolized thinking","78","25","female","right","70","60","60","4","0","{""HeartRate"":""78""}","[0]","",""
"2987","","","survey-text","5","46368","0.0-5.0","cl8qpu","Sat Sep 10 2022 13:55:51 GMT+0200 (CEST)","2022","9","10","13","55","51","dlg05","Housework","Unsymbolized thinking","78","25","female","right","70","60","60","4","0","{""Q0"":""25""}","","",""
"4149","","","survey-multi-choice","6","50521","0.0-6.0","cl8qpu","Sat Sep 10 2022 13:55:51 GMT+0200 (CEST)","2022","9","10","13","55","51","dlg05","Housework","Unsymbolized thinking","78","25","female","right","70","60","60","4","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"6915.999999999993","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","57445","0.0-7.0","cl8qpu","Sat Sep 10 2022 13:55:51 GMT+0200 (CEST)","2022","9","10","13","55","51","dlg05","Housework","Unsymbolized thinking","78","25","female","right","70","60","60","4","0","","","50","70"
"10906","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","68356","0.0-8.0","cl8qpu","Sat Sep 10 2022 13:55:51 GMT+0200 (CEST)","2022","9","10","13","55","51","dlg05","Housework","Unsymbolized thinking","78","25","female","right","70","60","60","4","0","","","50","60"
"4446","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","72806","0.0-9.0","cl8qpu","Sat Sep 10 2022 13:55:51 GMT+0200 (CEST)","2022","9","10","13","55","51","dlg05","Housework","Unsymbolized thinking","78","25","female","right","70","60","60","4","0","","","50","60"
"13182.999999999985","","","survey-multi-choice","10","85998","0.0-10.0","cl8qpu","Sat Sep 10 2022 13:55:51 GMT+0200 (CEST)","2022","9","10","13","55","51","dlg05","Housework","Unsymbolized thinking","78","25","female","right","70","60","60","4","0","{""Sleep"":""4"",""Eat"":""0""}","[0,1]","",""
