"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10023","0.0-0.0","eomvkz","Tue Oct 04 2022 14:04:48 GMT+0200 (CEST)","2022","10","4","14","4","48","dlg05","Listening to music","Unsymbolized thinking","75","25","female","right","75","58","71","6","1","","","",""
"5893","","","survey-text","1","15945","0.0-1.0","eomvkz","Tue Oct 04 2022 14:04:48 GMT+0200 (CEST)","2022","10","4","14","4","48","dlg05","Listening to music","Unsymbolized thinking","75","25","female","right","75","58","71","6","1","{""Q0"":""dlg05""}","","",""
"13441","","","survey-multi-choice","2","29392","0.0-2.0","eomvkz","Tue Oct 04 2022 14:04:48 GMT+0200 (CEST)","2022","10","4","14","4","48","dlg05","Listening to music","Unsymbolized thinking","75","25","female","right","75","58","71","6","1","{""Activity"":""Listening to music""}","[0]","",""
"3960","","","survey-multi-choice","3","33354","0.0-3.0","eomvkz","Tue Oct 04 2022 14:04:48 GMT+0200 (CEST)","2022","10","4","14","4","48","dlg05","Listening to music","Unsymbolized thinking","75","25","female","right","75","58","71","6","1","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"36922.00000000001","","","survey-multi-choice","4","70289","0.0-4.0","eomvkz","Tue Oct 04 2022 14:04:48 GMT+0200 (CEST)","2022","10","4","14","4","48","dlg05","Listening to music","Unsymbolized thinking","75","25","female","right","75","58","71","6","1","{""HeartRate"":""75""}","[0]","",""
"2411","","","survey-text","5","72715","0.0-5.0","eomvkz","Tue Oct 04 2022 14:04:48 GMT+0200 (CEST)","2022","10","4","14","4","48","dlg05","Listening to music","Unsymbolized thinking","75","25","female","right","75","58","71","6","1","{""Q0"":""25""}","","",""
"2506","","","survey-multi-choice","6","75226","0.0-6.0","eomvkz","Tue Oct 04 2022 14:04:48 GMT+0200 (CEST)","2022","10","4","14","4","48","dlg05","Listening to music","Unsymbolized thinking","75","25","female","right","75","58","71","6","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4180","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","79416","0.0-7.0","eomvkz","Tue Oct 04 2022 14:04:48 GMT+0200 (CEST)","2022","10","4","14","4","48","dlg05","Listening to music","Unsymbolized thinking","75","25","female","right","75","58","71","6","1","","","50","75"
"3352.9999999999854","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","82775","0.0-8.0","eomvkz","Tue Oct 04 2022 14:04:48 GMT+0200 (CEST)","2022","10","4","14","4","48","dlg05","Listening to music","Unsymbolized thinking","75","25","female","right","75","58","71","6","1","","","50","58"
"2312","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","85093","0.0-9.0","eomvkz","Tue Oct 04 2022 14:04:48 GMT+0200 (CEST)","2022","10","4","14","4","48","dlg05","Listening to music","Unsymbolized thinking","75","25","female","right","75","58","71","6","1","","","50","71"
"10502","","","survey-multi-choice","10","95605","0.0-10.0","eomvkz","Tue Oct 04 2022 14:04:48 GMT+0200 (CEST)","2022","10","4","14","4","48","dlg05","Listening to music","Unsymbolized thinking","75","25","female","right","75","58","71","6","1","{""Sleep"":""6"",""Eat"":""1""}","[0,1]","",""
