"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10021","0.0-0.0","p5oenq","Tue Sep 13 2022 14:12:05 GMT+0200 (CEST)","2022","9","13","14","12","5","dlg05","Working, Studying","Unsymbolized thinking","69","25","female","right","73","42","50","6","1","","","",""
"8641","","","survey-text","1","18700","0.0-1.0","p5oenq","Tue Sep 13 2022 14:12:05 GMT+0200 (CEST)","2022","9","13","14","12","5","dlg05","Working, Studying","Unsymbolized thinking","69","25","female","right","73","42","50","6","1","{""Q0"":""dlg05""}","","",""
"3131","","","survey-multi-choice","2","21840","0.0-2.0","p5oenq","Tue Sep 13 2022 14:12:05 GMT+0200 (CEST)","2022","9","13","14","12","5","dlg05","Working, Studying","Unsymbolized thinking","69","25","female","right","73","42","50","6","1","{""Activity"":""Working, Studying""}","[0]","",""
"4669.000000000004","","","survey-multi-choice","3","26514","0.0-3.0","p5oenq","Tue Sep 13 2022 14:12:05 GMT+0200 (CEST)","2022","9","13","14","12","5","dlg05","Working, Studying","Unsymbolized thinking","69","25","female","right","73","42","50","6","1","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"5668","","","survey-multi-choice","4","32193","0.0-4.0","p5oenq","Tue Sep 13 2022 14:12:05 GMT+0200 (CEST)","2022","9","13","14","12","5","dlg05","Working, Studying","Unsymbolized thinking","69","25","female","right","73","42","50","6","1","{""HeartRate"":""69""}","[0]","",""
"2565","","","survey-text","5","34766","0.0-5.0","p5oenq","Tue Sep 13 2022 14:12:05 GMT+0200 (CEST)","2022","9","13","14","12","5","dlg05","Working, Studying","Unsymbolized thinking","69","25","female","right","73","42","50","6","1","{""Q0"":""25""}","","",""
"2483","","","survey-multi-choice","6","37250","0.0-6.0","p5oenq","Tue Sep 13 2022 14:12:05 GMT+0200 (CEST)","2022","9","13","14","12","5","dlg05","Working, Studying","Unsymbolized thinking","69","25","female","right","73","42","50","6","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4288.999999999993","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","41548","0.0-7.0","p5oenq","Tue Sep 13 2022 14:12:05 GMT+0200 (CEST)","2022","9","13","14","12","5","dlg05","Working, Studying","Unsymbolized thinking","69","25","female","right","73","42","50","6","1","","","50","73"
"3761.0000000000073","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","45315","0.0-8.0","p5oenq","Tue Sep 13 2022 14:12:05 GMT+0200 (CEST)","2022","9","13","14","12","5","dlg05","Working, Studying","Unsymbolized thinking","69","25","female","right","73","42","50","6","1","","","50","42"
"448","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","45763","0.0-9.0","p5oenq","Tue Sep 13 2022 14:12:05 GMT+0200 (CEST)","2022","9","13","14","12","5","dlg05","Working, Studying","Unsymbolized thinking","69","25","female","right","73","42","50","6","1","","","50","50"
"12997","","","survey-multi-choice","10","58766","0.0-10.0","p5oenq","Tue Sep 13 2022 14:12:05 GMT+0200 (CEST)","2022","9","13","14","12","5","dlg05","Working, Studying","Unsymbolized thinking","69","25","female","right","73","42","50","6","1","{""Sleep"":""6"",""Eat"":""1""}","[0,1]","",""
