"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10022","0.0-0.0","r5345q","Tue Nov 15 2022 10:47:26 GMT+0100 (CET)","2022","11","15","10","47","26","dlg05","Chatting","Inner voice","90","25","female","right","68","40","40","3","3","","","",""
"65537.00000000001","","","survey-text","1","75597","0.0-1.0","r5345q","Tue Nov 15 2022 10:47:26 GMT+0100 (CET)","2022","11","15","10","47","26","dlg05","Chatting","Inner voice","90","25","female","right","68","40","40","3","3","{""Q0"":""dlg05""}","","",""
"4260","","","survey-multi-choice","2","79868","0.0-2.0","r5345q","Tue Nov 15 2022 10:47:26 GMT+0100 (CET)","2022","11","15","10","47","26","dlg05","Chatting","Inner voice","90","25","female","right","68","40","40","3","3","{""Activity"":""Chatting""}","[0]","",""
"4797","","","survey-multi-choice","3","84670","0.0-3.0","r5345q","Tue Nov 15 2022 10:47:26 GMT+0100 (CET)","2022","11","15","10","47","26","dlg05","Chatting","Inner voice","90","25","female","right","68","40","40","3","3","{""MentalActivity"":""Inner voice""}","[0]","",""
"3952","","","survey-multi-choice","4","88638","0.0-4.0","r5345q","Tue Nov 15 2022 10:47:26 GMT+0100 (CET)","2022","11","15","10","47","26","dlg05","Chatting","Inner voice","90","25","female","right","68","40","40","3","3","{""HeartRate"":""90""}","[0]","",""
"2782","","","survey-text","5","91433","0.0-5.0","r5345q","Tue Nov 15 2022 10:47:26 GMT+0100 (CET)","2022","11","15","10","47","26","dlg05","Chatting","Inner voice","90","25","female","right","68","40","40","3","3","{""Q0"":""25""}","","",""
"3518","","","survey-multi-choice","6","94954","0.0-6.0","r5345q","Tue Nov 15 2022 10:47:26 GMT+0100 (CET)","2022","11","15","10","47","26","dlg05","Chatting","Inner voice","90","25","female","right","68","40","40","3","3","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3425","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","98387","0.0-7.0","r5345q","Tue Nov 15 2022 10:47:26 GMT+0100 (CET)","2022","11","15","10","47","26","dlg05","Chatting","Inner voice","90","25","female","right","68","40","40","3","3","","","50","68"
"2918","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","101308","0.0-8.0","r5345q","Tue Nov 15 2022 10:47:26 GMT+0100 (CET)","2022","11","15","10","47","26","dlg05","Chatting","Inner voice","90","25","female","right","68","40","40","3","3","","","50","40"
"3204","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","104518","0.0-9.0","r5345q","Tue Nov 15 2022 10:47:26 GMT+0100 (CET)","2022","11","15","10","47","26","dlg05","Chatting","Inner voice","90","25","female","right","68","40","40","3","3","","","50","40"
"36321","","","survey-multi-choice","10","140843","0.0-10.0","r5345q","Tue Nov 15 2022 10:47:26 GMT+0100 (CET)","2022","11","15","10","47","26","dlg05","Chatting","Inner voice","90","25","female","right","68","40","40","3","3","{""Sleep"":""3"",""Eat"":""3""}","[0,1]","",""
