"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10015","0.0-0.0","s4vhbl","Thu Sep 15 2022 20:04:42 GMT+0200 (CEST)","2022","9","15","20","4","42","dlg05","Being on the Internet","Inner voice","69","25","female","right","71","44","30","12","1","","","",""
"7421.000000000004","","","survey-text","1","17455","0.0-1.0","s4vhbl","Thu Sep 15 2022 20:04:42 GMT+0200 (CEST)","2022","9","15","20","4","42","dlg05","Being on the Internet","Inner voice","69","25","female","right","71","44","30","12","1","{""Q0"":""dlg05""}","","",""
"15188","","","survey-multi-choice","2","32648","0.0-2.0","s4vhbl","Thu Sep 15 2022 20:04:42 GMT+0200 (CEST)","2022","9","15","20","4","42","dlg05","Being on the Internet","Inner voice","69","25","female","right","71","44","30","12","1","{""Activity"":""Being on the Internet""}","[0]","",""
"5208","","","survey-multi-choice","3","37859","0.0-3.0","s4vhbl","Thu Sep 15 2022 20:04:42 GMT+0200 (CEST)","2022","9","15","20","4","42","dlg05","Being on the Internet","Inner voice","69","25","female","right","71","44","30","12","1","{""MentalActivity"":""Inner voice""}","[0]","",""
"5547","","","survey-multi-choice","4","43417","0.0-4.0","s4vhbl","Thu Sep 15 2022 20:04:42 GMT+0200 (CEST)","2022","9","15","20","4","42","dlg05","Being on the Internet","Inner voice","69","25","female","right","71","44","30","12","1","{""HeartRate"":""69""}","[0]","",""
"5022","","","survey-text","5","48453","0.0-5.0","s4vhbl","Thu Sep 15 2022 20:04:42 GMT+0200 (CEST)","2022","9","15","20","4","42","dlg05","Being on the Internet","Inner voice","69","25","female","right","71","44","30","12","1","{""Q0"":""25""}","","",""
"2397","","","survey-multi-choice","6","50853","0.0-6.0","s4vhbl","Thu Sep 15 2022 20:04:42 GMT+0200 (CEST)","2022","9","15","20","4","42","dlg05","Being on the Internet","Inner voice","69","25","female","right","71","44","30","12","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"9875","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","60737","0.0-7.0","s4vhbl","Thu Sep 15 2022 20:04:42 GMT+0200 (CEST)","2022","9","15","20","4","42","dlg05","Being on the Internet","Inner voice","69","25","female","right","71","44","30","12","1","","","50","71"
"3372","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","64111","0.0-8.0","s4vhbl","Thu Sep 15 2022 20:04:42 GMT+0200 (CEST)","2022","9","15","20","4","42","dlg05","Being on the Internet","Inner voice","69","25","female","right","71","44","30","12","1","","","50","44"
"3011","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","67124","0.0-9.0","s4vhbl","Thu Sep 15 2022 20:04:42 GMT+0200 (CEST)","2022","9","15","20","4","42","dlg05","Being on the Internet","Inner voice","69","25","female","right","71","44","30","12","1","","","50","30"
"11675","","","survey-multi-choice","10","78806","0.0-10.0","s4vhbl","Thu Sep 15 2022 20:04:42 GMT+0200 (CEST)","2022","9","15","20","4","42","dlg05","Being on the Internet","Inner voice","69","25","female","right","71","44","30","12","1","{""Sleep"":""12"",""Eat"":""1""}","[0,1]","",""
