"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10027","0.0-0.0","sc44t1","Thu Sep 22 2022 21:52:16 GMT+0200 (CEST)","2022","9","22","21","52","16","dlg05","Eating","Inner voice","72","25","female","right","72","37","94","11","0","","","",""
"6428","","","survey-text","1","16479","0.0-1.0","sc44t1","Thu Sep 22 2022 21:52:16 GMT+0200 (CEST)","2022","9","22","21","52","16","dlg05","Eating","Inner voice","72","25","female","right","72","37","94","11","0","{""Q0"":""dlg05""}","","",""
"17690.000000000007","","","survey-multi-choice","2","34177","0.0-2.0","sc44t1","Thu Sep 22 2022 21:52:16 GMT+0200 (CEST)","2022","9","22","21","52","16","dlg05","Eating","Inner voice","72","25","female","right","72","37","94","11","0","{""Activity"":""Eating""}","[0]","",""
"8373.000000000007","","","survey-multi-choice","3","42552","0.0-3.0","sc44t1","Thu Sep 22 2022 21:52:16 GMT+0200 (CEST)","2022","9","22","21","52","16","dlg05","Eating","Inner voice","72","25","female","right","72","37","94","11","0","{""MentalActivity"":""Inner voice""}","[0]","",""
"3186","","","survey-multi-choice","4","45758","0.0-4.0","sc44t1","Thu Sep 22 2022 21:52:16 GMT+0200 (CEST)","2022","9","22","21","52","16","dlg05","Eating","Inner voice","72","25","female","right","72","37","94","11","0","{""HeartRate"":""72""}","[0]","",""
"2478","","","survey-text","5","48246","0.0-5.0","sc44t1","Thu Sep 22 2022 21:52:16 GMT+0200 (CEST)","2022","9","22","21","52","16","dlg05","Eating","Inner voice","72","25","female","right","72","37","94","11","0","{""Q0"":""25""}","","",""
"2280","","","survey-multi-choice","6","50530","0.0-6.0","sc44t1","Thu Sep 22 2022 21:52:16 GMT+0200 (CEST)","2022","9","22","21","52","16","dlg05","Eating","Inner voice","72","25","female","right","72","37","94","11","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3866","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","54405","0.0-7.0","sc44t1","Thu Sep 22 2022 21:52:16 GMT+0200 (CEST)","2022","9","22","21","52","16","dlg05","Eating","Inner voice","72","25","female","right","72","37","94","11","0","","","50","72"
"6058","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","60468","0.0-8.0","sc44t1","Thu Sep 22 2022 21:52:16 GMT+0200 (CEST)","2022","9","22","21","52","16","dlg05","Eating","Inner voice","72","25","female","right","72","37","94","11","0","","","50","37"
"2644","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","63117","0.0-9.0","sc44t1","Thu Sep 22 2022 21:52:16 GMT+0200 (CEST)","2022","9","22","21","52","16","dlg05","Eating","Inner voice","72","25","female","right","72","37","94","11","0","","","50","94"
"29337","","","survey-multi-choice","10","92464","0.0-10.0","sc44t1","Thu Sep 22 2022 21:52:16 GMT+0200 (CEST)","2022","9","22","21","52","16","dlg05","Eating","Inner voice","72","25","female","right","72","37","94","11","0","{""Sleep"":""11"",""Eat"":""0""}","[0,1]","",""
