"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10025","0.0-0.0","z9yn6w","Sat Nov 12 2022 14:24:32 GMT+0100 (CET)","2022","11","12","14","24","32","dlg05","Chatting","Inner voice","63","25","female","right","85","32","24","4","3","","","",""
"8032","","","survey-text","1","18090","0.0-1.0","z9yn6w","Sat Nov 12 2022 14:24:32 GMT+0100 (CET)","2022","11","12","14","24","32","dlg05","Chatting","Inner voice","63","25","female","right","85","32","24","4","3","{""Q0"":""dlg05""}","","",""
"74496","","","survey-multi-choice","2","92597","0.0-2.0","z9yn6w","Sat Nov 12 2022 14:24:32 GMT+0100 (CET)","2022","11","12","14","24","32","dlg05","Chatting","Inner voice","63","25","female","right","85","32","24","4","3","{""Activity"":""Chatting""}","[0]","",""
"5333","","","survey-multi-choice","3","97936","0.0-3.0","z9yn6w","Sat Nov 12 2022 14:24:32 GMT+0100 (CET)","2022","11","12","14","24","32","dlg05","Chatting","Inner voice","63","25","female","right","85","32","24","4","3","{""MentalActivity"":""Inner voice""}","[0]","",""
"2940","","","survey-multi-choice","4","100888","0.0-4.0","z9yn6w","Sat Nov 12 2022 14:24:32 GMT+0100 (CET)","2022","11","12","14","24","32","dlg05","Chatting","Inner voice","63","25","female","right","85","32","24","4","3","{""HeartRate"":""63""}","[0]","",""
"2718","","","survey-text","5","103622","0.0-5.0","z9yn6w","Sat Nov 12 2022 14:24:32 GMT+0100 (CET)","2022","11","12","14","24","32","dlg05","Chatting","Inner voice","63","25","female","right","85","32","24","4","3","{""Q0"":""25""}","","",""
"2198.9999999999854","","","survey-multi-choice","6","105824","0.0-6.0","z9yn6w","Sat Nov 12 2022 14:24:32 GMT+0100 (CET)","2022","11","12","14","24","32","dlg05","Chatting","Inner voice","63","25","female","right","85","32","24","4","3","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"2879","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","108715","0.0-7.0","z9yn6w","Sat Nov 12 2022 14:24:32 GMT+0100 (CET)","2022","11","12","14","24","32","dlg05","Chatting","Inner voice","63","25","female","right","85","32","24","4","3","","","50","85"
"2175","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","110895","0.0-8.0","z9yn6w","Sat Nov 12 2022 14:24:32 GMT+0100 (CET)","2022","11","12","14","24","32","dlg05","Chatting","Inner voice","63","25","female","right","85","32","24","4","3","","","50","32"
"1676","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","112576","0.0-9.0","z9yn6w","Sat Nov 12 2022 14:24:32 GMT+0100 (CET)","2022","11","12","14","24","32","dlg05","Chatting","Inner voice","63","25","female","right","85","32","24","4","3","","","50","24"
"14195","","","survey-multi-choice","10","126781","0.0-10.0","z9yn6w","Sat Nov 12 2022 14:24:32 GMT+0100 (CET)","2022","11","12","14","24","32","dlg05","Chatting","Inner voice","63","25","female","right","85","32","24","4","3","{""Sleep"":""4"",""Eat"":""3""}","[0,1]","",""
