"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10023","0.0-0.0","49u15a","Fri Nov 11 2022 10:34:25 GMT+0100 (Central European Standard Time)","2022","11","11","10","34","25","eeg339","Working, Studying","Unsymbolized thinking","72","22","male","right","73","43","57","2","1","","","",""
"10248.39999999106","","","survey-text","1","20306","0.0-1.0","49u15a","Fri Nov 11 2022 10:34:25 GMT+0100 (Central European Standard Time)","2022","11","11","10","34","25","eeg339","Working, Studying","Unsymbolized thinking","72","22","male","right","73","43","57","2","1","{""Q0"":""eeg339""}","","",""
"6575.5999999940395","","","survey-multi-choice","2","26891","0.0-2.0","49u15a","Fri Nov 11 2022 10:34:25 GMT+0100 (Central European Standard Time)","2022","11","11","10","34","25","eeg339","Working, Studying","Unsymbolized thinking","72","22","male","right","73","43","57","2","1","{""Activity"":""Working, Studying""}","[0]","",""
"21095.90000000596","","","survey-multi-choice","3","47998","0.0-3.0","49u15a","Fri Nov 11 2022 10:34:25 GMT+0100 (Central European Standard Time)","2022","11","11","10","34","25","eeg339","Working, Studying","Unsymbolized thinking","72","22","male","right","73","43","57","2","1","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"46261.79999999702","","","survey-multi-choice","4","94286","0.0-4.0","49u15a","Fri Nov 11 2022 10:34:25 GMT+0100 (Central European Standard Time)","2022","11","11","10","34","25","eeg339","Working, Studying","Unsymbolized thinking","72","22","male","right","73","43","57","2","1","{""HeartRate"":""72""}","[0]","",""
"3624.7000000029802","","","survey-text","5","97926","0.0-5.0","49u15a","Fri Nov 11 2022 10:34:25 GMT+0100 (Central European Standard Time)","2022","11","11","10","34","25","eeg339","Working, Studying","Unsymbolized thinking","72","22","male","right","73","43","57","2","1","{""Q0"":""22""}","","",""
"3052","","","survey-multi-choice","6","100988","0.0-6.0","49u15a","Fri Nov 11 2022 10:34:25 GMT+0100 (Central European Standard Time)","2022","11","11","10","34","25","eeg339","Working, Studying","Unsymbolized thinking","72","22","male","right","73","43","57","2","1","{""Gender"":""male"",""Hand"":""right""}","[0,1]","",""
"8122.0999999940395","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","109122","0.0-7.0","49u15a","Fri Nov 11 2022 10:34:25 GMT+0100 (Central European Standard Time)","2022","11","11","10","34","25","eeg339","Working, Studying","Unsymbolized thinking","72","22","male","right","73","43","57","2","1","","","50","73"
"18639","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","127768","0.0-8.0","49u15a","Fri Nov 11 2022 10:34:25 GMT+0100 (Central European Standard Time)","2022","11","11","10","34","25","eeg339","Working, Studying","Unsymbolized thinking","72","22","male","right","73","43","57","2","1","","","50","43"
"7608.20000000298","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","135386","0.0-9.0","49u15a","Fri Nov 11 2022 10:34:25 GMT+0100 (Central European Standard Time)","2022","11","11","10","34","25","eeg339","Working, Studying","Unsymbolized thinking","72","22","male","right","73","43","57","2","1","","","50","57"
"16225.40000000596","","","survey-multi-choice","10","151626","0.0-10.0","49u15a","Fri Nov 11 2022 10:34:25 GMT+0100 (Central European Standard Time)","2022","11","11","10","34","25","eeg339","Working, Studying","Unsymbolized thinking","72","22","male","right","73","43","57","2","1","{""Sleep"":""2"",""Eat"":""1""}","[0,1]","",""
