"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10031","0.0-0.0","nb3crd","Wed Nov 02 2022 22:21:11 GMT+0100 (Centraleuropæisk normaltid)","2022","11","2","22","21","11","hej12","Watching TV","Inner voice","60","25","female","right","68","9","94","15","2","","","",""
"8987","","","survey-text","1","19047","0.0-1.0","nb3crd","Wed Nov 02 2022 22:21:11 GMT+0100 (Centraleuropæisk normaltid)","2022","11","2","22","21","11","hej12","Watching TV","Inner voice","60","25","female","right","68","9","94","15","2","{""Q0"":""hej12""}","","",""
"12751","","","survey-multi-choice","2","31803","0.0-2.0","nb3crd","Wed Nov 02 2022 22:21:11 GMT+0100 (Centraleuropæisk normaltid)","2022","11","2","22","21","11","hej12","Watching TV","Inner voice","60","25","female","right","68","9","94","15","2","{""Activity"":""Watching TV""}","[0]","",""
"3745","","","survey-multi-choice","3","35550","0.0-3.0","nb3crd","Wed Nov 02 2022 22:21:11 GMT+0100 (Centraleuropæisk normaltid)","2022","11","2","22","21","11","hej12","Watching TV","Inner voice","60","25","female","right","68","9","94","15","2","{""MentalActivity"":""Inner voice""}","[0]","",""
"42115.99999999999","","","survey-multi-choice","4","77671","0.0-4.0","nb3crd","Wed Nov 02 2022 22:21:11 GMT+0100 (Centraleuropæisk normaltid)","2022","11","2","22","21","11","hej12","Watching TV","Inner voice","60","25","female","right","68","9","94","15","2","{""HeartRate"":""60""}","[0]","",""
"3914","","","survey-text","5","81596","0.0-5.0","nb3crd","Wed Nov 02 2022 22:21:11 GMT+0100 (Centraleuropæisk normaltid)","2022","11","2","22","21","11","hej12","Watching TV","Inner voice","60","25","female","right","68","9","94","15","2","{""Q0"":""25""}","","",""
"4793","","","survey-multi-choice","6","86392","0.0-6.0","nb3crd","Wed Nov 02 2022 22:21:11 GMT+0100 (Centraleuropæisk normaltid)","2022","11","2","22","21","11","hej12","Watching TV","Inner voice","60","25","female","right","68","9","94","15","2","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"2324.9999999999854","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","88728","0.0-7.0","nb3crd","Wed Nov 02 2022 22:21:11 GMT+0100 (Centraleuropæisk normaltid)","2022","11","2","22","21","11","hej12","Watching TV","Inner voice","60","25","female","right","68","9","94","15","2","","","50","68"
"4327.000000000015","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","93057","0.0-8.0","nb3crd","Wed Nov 02 2022 22:21:11 GMT+0100 (Centraleuropæisk normaltid)","2022","11","2","22","21","11","hej12","Watching TV","Inner voice","60","25","female","right","68","9","94","15","2","","","50","9"
"4185","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","97245","0.0-9.0","nb3crd","Wed Nov 02 2022 22:21:11 GMT+0100 (Centraleuropæisk normaltid)","2022","11","2","22","21","11","hej12","Watching TV","Inner voice","60","25","female","right","68","9","94","15","2","","","50","94"
"11196","","","survey-multi-choice","10","108446","0.0-10.0","nb3crd","Wed Nov 02 2022 22:21:11 GMT+0100 (Centraleuropæisk normaltid)","2022","11","2","22","21","11","hej12","Watching TV","Inner voice","60","25","female","right","68","9","94","15","2","{""Sleep"":""15"",""Eat"":""2""}","[0,1]","",""
