"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10010","0.0-0.0","pmq9rr","Fri Oct 14 2022 21:38:19 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","21","38","19","hej12","Watching TV","Unsymbolized thinking","82","25","female","right","70","26","41","16","3","","","",""
"4990","","","survey-text","1","15027","0.0-1.0","pmq9rr","Fri Oct 14 2022 21:38:19 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","21","38","19","hej12","Watching TV","Unsymbolized thinking","82","25","female","right","70","26","41","16","3","{""Q0"":""hej12""}","","",""
"3582","","","survey-multi-choice","2","18613","0.0-2.0","pmq9rr","Fri Oct 14 2022 21:38:19 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","21","38","19","hej12","Watching TV","Unsymbolized thinking","82","25","female","right","70","26","41","16","3","{""Activity"":""Watching TV""}","[0]","",""
"14103","","","survey-multi-choice","3","32718","0.0-3.0","pmq9rr","Fri Oct 14 2022 21:38:19 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","21","38","19","hej12","Watching TV","Unsymbolized thinking","82","25","female","right","70","26","41","16","3","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"10944","","","survey-multi-choice","4","43670","0.0-4.0","pmq9rr","Fri Oct 14 2022 21:38:19 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","21","38","19","hej12","Watching TV","Unsymbolized thinking","82","25","female","right","70","26","41","16","3","{""HeartRate"":""82""}","[0]","",""
"3172.9999999999927","","","survey-text","5","46853","0.0-5.0","pmq9rr","Fri Oct 14 2022 21:38:19 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","21","38","19","hej12","Watching TV","Unsymbolized thinking","82","25","female","right","70","26","41","16","3","{""Q0"":""25""}","","",""
"3278","","","survey-multi-choice","6","50133","0.0-6.0","pmq9rr","Fri Oct 14 2022 21:38:19 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","21","38","19","hej12","Watching TV","Unsymbolized thinking","82","25","female","right","70","26","41","16","3","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3492","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","53632","0.0-7.0","pmq9rr","Fri Oct 14 2022 21:38:19 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","21","38","19","hej12","Watching TV","Unsymbolized thinking","82","25","female","right","70","26","41","16","3","","","50","70"
"4849","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","58483","0.0-8.0","pmq9rr","Fri Oct 14 2022 21:38:19 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","21","38","19","hej12","Watching TV","Unsymbolized thinking","82","25","female","right","70","26","41","16","3","","","50","26"
"6951","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","65438","0.0-9.0","pmq9rr","Fri Oct 14 2022 21:38:19 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","21","38","19","hej12","Watching TV","Unsymbolized thinking","82","25","female","right","70","26","41","16","3","","","50","41"
"19542.000000000015","","","survey-multi-choice","10","84986","0.0-10.0","pmq9rr","Fri Oct 14 2022 21:38:19 GMT+0200 (Centraleuropæisk sommertid)","2022","10","14","21","38","19","hej12","Watching TV","Unsymbolized thinking","82","25","female","right","70","26","41","16","3","{""Sleep"":""16"",""Eat"":""3""}","[0,1]","",""
