"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10010","0.0-0.0","yvydv9","Sun Nov 13 2022 15:01:30 GMT+0100 (Centraleuropæisk normaltid)","2022","11","13","15","1","30","hej12","Being on the Internet","Inner voice","54","25","female","right","50","36","95","6","0","","","",""
"4429.999999999998","","","survey-text","1","14481","0.0-1.0","yvydv9","Sun Nov 13 2022 15:01:30 GMT+0100 (Centraleuropæisk normaltid)","2022","11","13","15","1","30","hej12","Being on the Internet","Inner voice","54","25","female","right","50","36","95","6","0","{""Q0"":""hej12""}","","",""
"33022","","","survey-multi-choice","2","47509","0.0-2.0","yvydv9","Sun Nov 13 2022 15:01:30 GMT+0100 (Centraleuropæisk normaltid)","2022","11","13","15","1","30","hej12","Being on the Internet","Inner voice","54","25","female","right","50","36","95","6","0","{""Activity"":""Being on the Internet""}","[0]","",""
"5418","","","survey-multi-choice","3","52929","0.0-3.0","yvydv9","Sun Nov 13 2022 15:01:30 GMT+0100 (Centraleuropæisk normaltid)","2022","11","13","15","1","30","hej12","Being on the Internet","Inner voice","54","25","female","right","50","36","95","6","0","{""MentalActivity"":""Inner voice""}","[0]","",""
"46243","","","survey-multi-choice","4","99181","0.0-4.0","yvydv9","Sun Nov 13 2022 15:01:30 GMT+0100 (Centraleuropæisk normaltid)","2022","11","13","15","1","30","hej12","Being on the Internet","Inner voice","54","25","female","right","50","36","95","6","0","{""HeartRate"":""54""}","[0]","",""
"3317.0000000000146","","","survey-text","5","102507","0.0-5.0","yvydv9","Sun Nov 13 2022 15:01:30 GMT+0100 (Centraleuropæisk normaltid)","2022","11","13","15","1","30","hej12","Being on the Internet","Inner voice","54","25","female","right","50","36","95","6","0","{""Q0"":""25""}","","",""
"2614.0000000000146","","","survey-multi-choice","6","105123","0.0-6.0","yvydv9","Sun Nov 13 2022 15:01:30 GMT+0100 (Centraleuropæisk normaltid)","2022","11","13","15","1","30","hej12","Being on the Internet","Inner voice","54","25","female","right","50","36","95","6","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3955","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","109083","0.0-7.0","yvydv9","Sun Nov 13 2022 15:01:30 GMT+0100 (Centraleuropæisk normaltid)","2022","11","13","15","1","30","hej12","Being on the Internet","Inner voice","54","25","female","right","50","36","95","6","0","","","50","50"
"5409","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","114494","0.0-8.0","yvydv9","Sun Nov 13 2022 15:01:30 GMT+0100 (Centraleuropæisk normaltid)","2022","11","13","15","1","30","hej12","Being on the Internet","Inner voice","54","25","female","right","50","36","95","6","0","","","50","36"
"6671.000000000015","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","121168","0.0-9.0","yvydv9","Sun Nov 13 2022 15:01:30 GMT+0100 (Centraleuropæisk normaltid)","2022","11","13","15","1","30","hej12","Being on the Internet","Inner voice","54","25","female","right","50","36","95","6","0","","","50","95"
"20356","","","survey-multi-choice","10","141530","0.0-10.0","yvydv9","Sun Nov 13 2022 15:01:30 GMT+0100 (Centraleuropæisk normaltid)","2022","11","13","15","1","30","hej12","Being on the Internet","Inner voice","54","25","female","right","50","36","95","6","0","{""Sleep"":""6"",""Eat"":""0""}","[0,1]","",""
