"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10226","0.0-0.0","4hceat","Wed Oct 05 2022 22:03:02 GMT+0200 (Central European Summer Time)","2022","10","5","22","3","2","jqi11","Texting, Emailing, Social Networking","Feelings","81","28","female","right","100","50","100","7","2","","","",""
"63961.299999952316","","","survey-text","1","74220","0.0-1.0","4hceat","Wed Oct 05 2022 22:03:02 GMT+0200 (Central European Summer Time)","2022","10","5","22","3","2","jqi11","Texting, Emailing, Social Networking","Feelings","81","28","female","right","100","50","100","7","2","{""Q0"":""jqi11""}","","",""
"32204.699999809265","","","survey-multi-choice","2","106442","0.0-2.0","4hceat","Wed Oct 05 2022 22:03:02 GMT+0200 (Central European Summer Time)","2022","10","5","22","3","2","jqi11","Texting, Emailing, Social Networking","Feelings","81","28","female","right","100","50","100","7","2","{""Activity"":""Texting, Emailing, Social Networking""}","[0]","",""
"6005.599999904633","","","survey-multi-choice","3","112460","0.0-3.0","4hceat","Wed Oct 05 2022 22:03:02 GMT+0200 (Central European Summer Time)","2022","10","5","22","3","2","jqi11","Texting, Emailing, Social Networking","Feelings","81","28","female","right","100","50","100","7","2","{""MentalActivity"":""Feelings""}","[0]","",""
"5804.5","","","survey-multi-choice","4","118302","0.0-4.0","4hceat","Wed Oct 05 2022 22:03:02 GMT+0200 (Central European Summer Time)","2022","10","5","22","3","2","jqi11","Texting, Emailing, Social Networking","Feelings","81","28","female","right","100","50","100","7","2","{""HeartRate"":""81""}","[0]","",""
"4251.700000047684","","","survey-text","5","122565","0.0-5.0","4hceat","Wed Oct 05 2022 22:03:02 GMT+0200 (Central European Summer Time)","2022","10","5","22","3","2","jqi11","Texting, Emailing, Social Networking","Feelings","81","28","female","right","100","50","100","7","2","{""Q0"":""28""}","","",""
"4307.700000047684","","","survey-multi-choice","6","126885","0.0-6.0","4hceat","Wed Oct 05 2022 22:03:02 GMT+0200 (Central European Summer Time)","2022","10","5","22","3","2","jqi11","Texting, Emailing, Social Networking","Feelings","81","28","female","right","100","50","100","7","2","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4644.5","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","131544","0.0-7.0","4hceat","Wed Oct 05 2022 22:03:02 GMT+0200 (Central European Summer Time)","2022","10","5","22","3","2","jqi11","Texting, Emailing, Social Networking","Feelings","81","28","female","right","100","50","100","7","2","","","50","100"
"9621","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","141179","0.0-8.0","4hceat","Wed Oct 05 2022 22:03:02 GMT+0200 (Central European Summer Time)","2022","10","5","22","3","2","jqi11","Texting, Emailing, Social Networking","Feelings","81","28","female","right","100","50","100","7","2","","","50","50"
"2978.2999999523163","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","144170","0.0-9.0","4hceat","Wed Oct 05 2022 22:03:02 GMT+0200 (Central European Summer Time)","2022","10","5","22","3","2","jqi11","Texting, Emailing, Social Networking","Feelings","81","28","female","right","100","50","100","7","2","","","50","100"
"61685.90000009537","","","survey-multi-choice","10","205885","0.0-10.0","4hceat","Wed Oct 05 2022 22:03:02 GMT+0200 (Central European Summer Time)","2022","10","5","22","3","2","jqi11","Texting, Emailing, Social Networking","Feelings","81","28","female","right","100","50","100","7","2","{""Sleep"":""7"",""Eat"":""2""}","[0,1]","",""
