"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10788","0.0-0.0","m9pllh","Fri Sep 23 2022 19:42:30 GMT+0200 (Central European Summer Time)","2022","9","23","19","42","30","jqi11","Other","Unsymbolized thinking","87","28","female","right","88","68","100","7","2","","","",""
"48782.799999952316","","","survey-text","1","59595","0.0-1.0","m9pllh","Fri Sep 23 2022 19:42:30 GMT+0200 (Central European Summer Time)","2022","9","23","19","42","30","jqi11","Other","Unsymbolized thinking","87","28","female","right","88","68","100","7","2","{""Q0"":""jqi11""}","","",""
"23265.400000095367","","","survey-multi-choice","2","82880","0.0-2.0","m9pllh","Fri Sep 23 2022 19:42:30 GMT+0200 (Central European Summer Time)","2022","9","23","19","42","30","jqi11","Other","Unsymbolized thinking","87","28","female","right","88","68","100","7","2","{""Activity"":""Other""}","[0]","",""
"9557.100000143051","","","survey-multi-choice","3","92450","0.0-3.0","m9pllh","Fri Sep 23 2022 19:42:30 GMT+0200 (Central European Summer Time)","2022","9","23","19","42","30","jqi11","Other","Unsymbolized thinking","87","28","female","right","88","68","100","7","2","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"18339.900000095367","","","survey-multi-choice","4","110823","0.0-4.0","m9pllh","Fri Sep 23 2022 19:42:30 GMT+0200 (Central European Summer Time)","2022","9","23","19","42","30","jqi11","Other","Unsymbolized thinking","87","28","female","right","88","68","100","7","2","{""HeartRate"":""87""}","[0]","",""
"3625","","","survey-text","5","114459","0.0-5.0","m9pllh","Fri Sep 23 2022 19:42:30 GMT+0200 (Central European Summer Time)","2022","9","23","19","42","30","jqi11","Other","Unsymbolized thinking","87","28","female","right","88","68","100","7","2","{""Q0"":""28""}","","",""
"4264.900000095367","","","survey-multi-choice","6","118736","0.0-6.0","m9pllh","Fri Sep 23 2022 19:42:30 GMT+0200 (Central European Summer Time)","2022","9","23","19","42","30","jqi11","Other","Unsymbolized thinking","87","28","female","right","88","68","100","7","2","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"5191.700000047684","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","123944","0.0-7.0","m9pllh","Fri Sep 23 2022 19:42:30 GMT+0200 (Central European Summer Time)","2022","9","23","19","42","30","jqi11","Other","Unsymbolized thinking","87","28","female","right","88","68","100","7","2","","","50","88"
"5081.700000047684","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","129035","0.0-8.0","m9pllh","Fri Sep 23 2022 19:42:30 GMT+0200 (Central European Summer Time)","2022","9","23","19","42","30","jqi11","Other","Unsymbolized thinking","87","28","female","right","88","68","100","7","2","","","50","68"
"5562.399999856949","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","134610","0.0-9.0","m9pllh","Fri Sep 23 2022 19:42:30 GMT+0200 (Central European Summer Time)","2022","9","23","19","42","30","jqi11","Other","Unsymbolized thinking","87","28","female","right","88","68","100","7","2","","","50","100"
"26622","","","survey-multi-choice","10","161268","0.0-10.0","m9pllh","Fri Sep 23 2022 19:42:30 GMT+0200 (Central European Summer Time)","2022","9","23","19","42","30","jqi11","Other","Unsymbolized thinking","87","28","female","right","88","68","100","7","2","{""Sleep"":""7"",""Eat"":""2""}","[0,1]","",""
