"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10014","0.0-0.0","mwlw9m","Sun Oct 09 2022 17:21:09 GMT+0200 (Central European Summer Time)","2022","10","9","17","21","9","jqi11","Sleeping, Resting","Sensory awareness","73","28","female","right","74","94","100","9","1","","","",""
"9024.800000190735","","","survey-text","1","19071","0.0-1.0","mwlw9m","Sun Oct 09 2022 17:21:09 GMT+0200 (Central European Summer Time)","2022","10","9","17","21","9","jqi11","Sleeping, Resting","Sensory awareness","73","28","female","right","74","94","100","9","1","{""Q0"":""jqi11""}","","",""
"77858.90000009537","","","survey-multi-choice","2","96949","0.0-2.0","mwlw9m","Sun Oct 09 2022 17:21:09 GMT+0200 (Central European Summer Time)","2022","10","9","17","21","9","jqi11","Sleeping, Resting","Sensory awareness","73","28","female","right","74","94","100","9","1","{""Activity"":""Sleeping, Resting""}","[0]","",""
"12337.5","","","survey-multi-choice","3","109299","0.0-3.0","mwlw9m","Sun Oct 09 2022 17:21:09 GMT+0200 (Central European Summer Time)","2022","10","9","17","21","9","jqi11","Sleeping, Resting","Sensory awareness","73","28","female","right","74","94","100","9","1","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"22407.700000047684","","","survey-multi-choice","4","131747","0.0-4.0","mwlw9m","Sun Oct 09 2022 17:21:09 GMT+0200 (Central European Summer Time)","2022","10","9","17","21","9","jqi11","Sleeping, Resting","Sensory awareness","73","28","female","right","74","94","100","9","1","{""HeartRate"":""73""}","[0]","",""
"6487.200000047684","","","survey-text","5","138246","0.0-5.0","mwlw9m","Sun Oct 09 2022 17:21:09 GMT+0200 (Central European Summer Time)","2022","10","9","17","21","9","jqi11","Sleeping, Resting","Sensory awareness","73","28","female","right","74","94","100","9","1","{""Q0"":""28""}","","",""
"4119.5","","","survey-multi-choice","6","142378","0.0-6.0","mwlw9m","Sun Oct 09 2022 17:21:09 GMT+0200 (Central European Summer Time)","2022","10","9","17","21","9","jqi11","Sleeping, Resting","Sensory awareness","73","28","female","right","74","94","100","9","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"12248","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","154639","0.0-7.0","mwlw9m","Sun Oct 09 2022 17:21:09 GMT+0200 (Central European Summer Time)","2022","10","9","17","21","9","jqi11","Sleeping, Resting","Sensory awareness","73","28","female","right","74","94","100","9","1","","","50","74"
"8179.299999952316","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","162827","0.0-8.0","mwlw9m","Sun Oct 09 2022 17:21:09 GMT+0200 (Central European Summer Time)","2022","10","9","17","21","9","jqi11","Sleeping, Resting","Sensory awareness","73","28","female","right","74","94","100","9","1","","","50","94"
"8090.599999904633","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","170931","0.0-9.0","mwlw9m","Sun Oct 09 2022 17:21:09 GMT+0200 (Central European Summer Time)","2022","10","9","17","21","9","jqi11","Sleeping, Resting","Sensory awareness","73","28","female","right","74","94","100","9","1","","","50","100"
"59707.59999990463","","","survey-multi-choice","10","230671","0.0-10.0","mwlw9m","Sun Oct 09 2022 17:21:09 GMT+0200 (Central European Summer Time)","2022","10","9","17","21","9","jqi11","Sleeping, Resting","Sensory awareness","73","28","female","right","74","94","100","9","1","{""Sleep"":""9"",""Eat"":""1""}","[0,1]","",""
