"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10013","0.0-0.0","q5o65w","Tue Oct 04 2022 22:39:58 GMT+0200 (Central European Summer Time)","2022","10","4","22","39","58","jqi11","Working, Studying","Unsymbolized thinking","75","28","female","right","100","10","100","15","2","","","",""
"70223.60000014305","","","survey-text","1","80274","0.0-1.0","q5o65w","Tue Oct 04 2022 22:39:58 GMT+0200 (Central European Summer Time)","2022","10","4","22","39","58","jqi11","Working, Studying","Unsymbolized thinking","75","28","female","right","100","10","100","15","2","{""Q0"":""jqi11""}","","",""
"9109.700000047684","","","survey-multi-choice","2","89401","0.0-2.0","q5o65w","Tue Oct 04 2022 22:39:58 GMT+0200 (Central European Summer Time)","2022","10","4","22","39","58","jqi11","Working, Studying","Unsymbolized thinking","75","28","female","right","100","10","100","15","2","{""Activity"":""Working, Studying""}","[0]","",""
"29167.299999952316","","","survey-multi-choice","3","118580","0.0-3.0","q5o65w","Tue Oct 04 2022 22:39:58 GMT+0200 (Central European Summer Time)","2022","10","4","22","39","58","jqi11","Working, Studying","Unsymbolized thinking","75","28","female","right","100","10","100","15","2","{""MentalActivity"":""Unsymbolized thinking""}","[0]","",""
"6466.200000047684","","","survey-multi-choice","4","125089","0.0-4.0","q5o65w","Tue Oct 04 2022 22:39:58 GMT+0200 (Central European Summer Time)","2022","10","4","22","39","58","jqi11","Working, Studying","Unsymbolized thinking","75","28","female","right","100","10","100","15","2","{""HeartRate"":""75""}","[0]","",""
"4499.100000143051","","","survey-text","5","129601","0.0-5.0","q5o65w","Tue Oct 04 2022 22:39:58 GMT+0200 (Central European Summer Time)","2022","10","4","22","39","58","jqi11","Working, Studying","Unsymbolized thinking","75","28","female","right","100","10","100","15","2","{""Q0"":""28""}","","",""
"4756.200000047684","","","survey-multi-choice","6","134370","0.0-6.0","q5o65w","Tue Oct 04 2022 22:39:58 GMT+0200 (Central European Summer Time)","2022","10","4","22","39","58","jqi11","Working, Studying","Unsymbolized thinking","75","28","female","right","100","10","100","15","2","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"6420","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","140807","0.0-7.0","q5o65w","Tue Oct 04 2022 22:39:58 GMT+0200 (Central European Summer Time)","2022","10","4","22","39","58","jqi11","Working, Studying","Unsymbolized thinking","75","28","female","right","100","10","100","15","2","","","50","100"
"11802.599999904633","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","152619","0.0-8.0","q5o65w","Tue Oct 04 2022 22:39:58 GMT+0200 (Central European Summer Time)","2022","10","4","22","39","58","jqi11","Working, Studying","Unsymbolized thinking","75","28","female","right","100","10","100","15","2","","","50","10"
"3741.7999999523163","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","156375","0.0-9.0","q5o65w","Tue Oct 04 2022 22:39:58 GMT+0200 (Central European Summer Time)","2022","10","4","22","39","58","jqi11","Working, Studying","Unsymbolized thinking","75","28","female","right","100","10","100","15","2","","","50","100"
"103787.79999995232","","","survey-multi-choice","10","260196","0.0-10.0","q5o65w","Tue Oct 04 2022 22:39:58 GMT+0200 (Central European Summer Time)","2022","10","4","22","39","58","jqi11","Working, Studying","Unsymbolized thinking","75","28","female","right","100","10","100","15","2","{""Sleep"":""15"",""Eat"":""2""}","[0,1]","",""
