"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10017","0.0-0.0","49oufc","Thu Nov 17 2022 10:07:54 GMT+0100 (Centraleuropæisk normaltid)","2022","11","17","10","7","54","kau00","Being on the Internet","Inner voice","84","23","female","right","63","58","24","0","14","","","",""
"5340.000000000002","","","survey-text","1","15398","0.0-1.0","49oufc","Thu Nov 17 2022 10:07:54 GMT+0100 (Centraleuropæisk normaltid)","2022","11","17","10","7","54","kau00","Being on the Internet","Inner voice","84","23","female","right","63","58","24","0","14","{""Q0"":""kau00""}","","",""
"11604","","","survey-multi-choice","2","27007","0.0-2.0","49oufc","Thu Nov 17 2022 10:07:54 GMT+0100 (Centraleuropæisk normaltid)","2022","11","17","10","7","54","kau00","Being on the Internet","Inner voice","84","23","female","right","63","58","24","0","14","{""Activity"":""Being on the Internet""}","[0]","",""
"2585.9999999999964","","","survey-multi-choice","3","29597","0.0-3.0","49oufc","Thu Nov 17 2022 10:07:54 GMT+0100 (Centraleuropæisk normaltid)","2022","11","17","10","7","54","kau00","Being on the Internet","Inner voice","84","23","female","right","63","58","24","0","14","{""MentalActivity"":""Inner voice""}","[0]","",""
"124585","","","survey-multi-choice","4","154193","0.0-4.0","49oufc","Thu Nov 17 2022 10:07:54 GMT+0100 (Centraleuropæisk normaltid)","2022","11","17","10","7","54","kau00","Being on the Internet","Inner voice","84","23","female","right","63","58","24","0","14","{""HeartRate"":""84""}","[0]","",""
"2391","","","survey-text","5","156607","0.0-5.0","49oufc","Thu Nov 17 2022 10:07:54 GMT+0100 (Centraleuropæisk normaltid)","2022","11","17","10","7","54","kau00","Being on the Internet","Inner voice","84","23","female","right","63","58","24","0","14","{""Q0"":""23""}","","",""
"3864","","","survey-multi-choice","6","160473","0.0-6.0","49oufc","Thu Nov 17 2022 10:07:54 GMT+0100 (Centraleuropæisk normaltid)","2022","11","17","10","7","54","kau00","Being on the Internet","Inner voice","84","23","female","right","63","58","24","0","14","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4869","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","165354","0.0-7.0","49oufc","Thu Nov 17 2022 10:07:54 GMT+0100 (Centraleuropæisk normaltid)","2022","11","17","10","7","54","kau00","Being on the Internet","Inner voice","84","23","female","right","63","58","24","0","14","","","50","63"
"4774.999999999971","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","170132","0.0-8.0","49oufc","Thu Nov 17 2022 10:07:54 GMT+0100 (Centraleuropæisk normaltid)","2022","11","17","10","7","54","kau00","Being on the Internet","Inner voice","84","23","female","right","63","58","24","0","14","","","50","58"
"5347.000000000029","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","175481","0.0-9.0","49oufc","Thu Nov 17 2022 10:07:54 GMT+0100 (Centraleuropæisk normaltid)","2022","11","17","10","7","54","kau00","Being on the Internet","Inner voice","84","23","female","right","63","58","24","0","14","","","50","24"
"17207","","","survey-multi-choice","10","192693","0.0-10.0","49oufc","Thu Nov 17 2022 10:07:54 GMT+0100 (Centraleuropæisk normaltid)","2022","11","17","10","7","54","kau00","Being on the Internet","Inner voice","84","23","female","right","63","58","24","0","14","{""Sleep"":""0"",""Eat"":""14""}","[0,1]","",""
