"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10022","0.0-0.0","4kj4we","Thu Sep 22 2022 21:57:37 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","57","37","kau00","Leisure","Inner voice","120","23","female","right","75","79","40","14","0","","","",""
"4889","","","survey-text","1","14949","0.0-1.0","4kj4we","Thu Sep 22 2022 21:57:37 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","57","37","kau00","Leisure","Inner voice","120","23","female","right","75","79","40","14","0","{""Q0"":""kau00""}","","",""
"22914","","","survey-multi-choice","2","37868","0.0-2.0","4kj4we","Thu Sep 22 2022 21:57:37 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","57","37","kau00","Leisure","Inner voice","120","23","female","right","75","79","40","14","0","{""Activity"":""Leisure""}","[0]","",""
"3113.0000000000073","","","survey-multi-choice","3","40984","0.0-3.0","4kj4we","Thu Sep 22 2022 21:57:37 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","57","37","kau00","Leisure","Inner voice","120","23","female","right","75","79","40","14","0","{""MentalActivity"":""Inner voice""}","[0]","",""
"85220.00000000001","","","survey-multi-choice","4","126215","0.0-4.0","4kj4we","Thu Sep 22 2022 21:57:37 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","57","37","kau00","Leisure","Inner voice","120","23","female","right","75","79","40","14","0","{""HeartRate"":""120""}","[0]","",""
"2500","","","survey-text","5","128755","0.0-5.0","4kj4we","Thu Sep 22 2022 21:57:37 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","57","37","kau00","Leisure","Inner voice","120","23","female","right","75","79","40","14","0","{""Q0"":""23""}","","",""
"4582","","","survey-multi-choice","6","133343","0.0-6.0","4kj4we","Thu Sep 22 2022 21:57:37 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","57","37","kau00","Leisure","Inner voice","120","23","female","right","75","79","40","14","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"2735","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","136089","0.0-7.0","4kj4we","Thu Sep 22 2022 21:57:37 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","57","37","kau00","Leisure","Inner voice","120","23","female","right","75","79","40","14","0","","","50","75"
"3240","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","139331","0.0-8.0","4kj4we","Thu Sep 22 2022 21:57:37 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","57","37","kau00","Leisure","Inner voice","120","23","female","right","75","79","40","14","0","","","50","79"
"4916","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","144249","0.0-9.0","4kj4we","Thu Sep 22 2022 21:57:37 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","57","37","kau00","Leisure","Inner voice","120","23","female","right","75","79","40","14","0","","","50","40"
"16910","","","survey-multi-choice","10","161165","0.0-10.0","4kj4we","Thu Sep 22 2022 21:57:37 GMT+0200 (Centraleuropæisk sommertid)","2022","9","22","21","57","37","kau00","Leisure","Inner voice","120","23","female","right","75","79","40","14","0","{""Sleep"":""14"",""Eat"":""0""}","[0,1]","",""
