"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10015","0.0-0.0","6pbwmq","Mon Oct 17 2022 18:50:30 GMT+0200 (Centraleuropæisk sommertid)","2022","10","17","18","50","30","kau00","Watching TV","Inner voice","81","23","female","right","75","63","100","10","0","","","",""
"5196.000000000002","","","survey-text","1","15251","0.0-1.0","6pbwmq","Mon Oct 17 2022 18:50:30 GMT+0200 (Centraleuropæisk sommertid)","2022","10","17","18","50","30","kau00","Watching TV","Inner voice","81","23","female","right","75","63","100","10","0","{""Q0"":""kau00""}","","",""
"5275","","","survey-multi-choice","2","20531","0.0-2.0","6pbwmq","Mon Oct 17 2022 18:50:30 GMT+0200 (Centraleuropæisk sommertid)","2022","10","17","18","50","30","kau00","Watching TV","Inner voice","81","23","female","right","75","63","100","10","0","{""Activity"":""Watching TV""}","[0]","",""
"3217","","","survey-multi-choice","3","23752","0.0-3.0","6pbwmq","Mon Oct 17 2022 18:50:30 GMT+0200 (Centraleuropæisk sommertid)","2022","10","17","18","50","30","kau00","Watching TV","Inner voice","81","23","female","right","75","63","100","10","0","{""MentalActivity"":""Inner voice""}","[0]","",""
"76328","","","survey-multi-choice","4","100087","0.0-4.0","6pbwmq","Mon Oct 17 2022 18:50:30 GMT+0200 (Centraleuropæisk sommertid)","2022","10","17","18","50","30","kau00","Watching TV","Inner voice","81","23","female","right","75","63","100","10","0","{""HeartRate"":""81""}","[0]","",""
"2276","","","survey-text","5","102375","0.0-5.0","6pbwmq","Mon Oct 17 2022 18:50:30 GMT+0200 (Centraleuropæisk sommertid)","2022","10","17","18","50","30","kau00","Watching TV","Inner voice","81","23","female","right","75","63","100","10","0","{""Q0"":""23""}","","",""
"4761","","","survey-multi-choice","6","107140","0.0-6.0","6pbwmq","Mon Oct 17 2022 18:50:30 GMT+0200 (Centraleuropæisk sommertid)","2022","10","17","18","50","30","kau00","Watching TV","Inner voice","81","23","female","right","75","63","100","10","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3239","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","110386","0.0-7.0","6pbwmq","Mon Oct 17 2022 18:50:30 GMT+0200 (Centraleuropæisk sommertid)","2022","10","17","18","50","30","kau00","Watching TV","Inner voice","81","23","female","right","75","63","100","10","0","","","50","75"
"3112","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","113500","0.0-8.0","6pbwmq","Mon Oct 17 2022 18:50:30 GMT+0200 (Centraleuropæisk sommertid)","2022","10","17","18","50","30","kau00","Watching TV","Inner voice","81","23","female","right","75","63","100","10","0","","","50","63"
"2547","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","116050","0.0-9.0","6pbwmq","Mon Oct 17 2022 18:50:30 GMT+0200 (Centraleuropæisk sommertid)","2022","10","17","18","50","30","kau00","Watching TV","Inner voice","81","23","female","right","75","63","100","10","0","","","50","100"
"20493","","","survey-multi-choice","10","136549","0.0-10.0","6pbwmq","Mon Oct 17 2022 18:50:30 GMT+0200 (Centraleuropæisk sommertid)","2022","10","17","18","50","30","kau00","Watching TV","Inner voice","81","23","female","right","75","63","100","10","0","{""Sleep"":""10"",""Eat"":""0""}","[0,1]","",""
