"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10107","0.0-0.0","7vhhbo","Fri Sep 09 2022 09:03:22 GMT+0200 (CEST)","2022","9","9","9","3","22","kau00","Texting, Emailing, Social Networking","Inner voice","81","23","female","right","65","95","91","1","0","","","",""
"13359","","","survey-text","1","23501","0.0-1.0","7vhhbo","Fri Sep 09 2022 09:03:22 GMT+0200 (CEST)","2022","9","9","9","3","22","kau00","Texting, Emailing, Social Networking","Inner voice","81","23","female","right","65","95","91","1","0","{""Q0"":""kau00""}","","",""
"13951","","","survey-multi-choice","2","37458","0.0-2.0","7vhhbo","Fri Sep 09 2022 09:03:22 GMT+0200 (CEST)","2022","9","9","9","3","22","kau00","Texting, Emailing, Social Networking","Inner voice","81","23","female","right","65","95","91","1","0","{""Activity"":""Texting, Emailing, Social Networking""}","[0]","",""
"14469","","","survey-multi-choice","3","51930","0.0-3.0","7vhhbo","Fri Sep 09 2022 09:03:22 GMT+0200 (CEST)","2022","9","9","9","3","22","kau00","Texting, Emailing, Social Networking","Inner voice","81","23","female","right","65","95","91","1","0","{""MentalActivity"":""Inner voice""}","[0]","",""
"40099","","","survey-multi-choice","4","92038","0.0-4.0","7vhhbo","Fri Sep 09 2022 09:03:22 GMT+0200 (CEST)","2022","9","9","9","3","22","kau00","Texting, Emailing, Social Networking","Inner voice","81","23","female","right","65","95","91","1","0","{""HeartRate"":""81""}","[0]","",""
"4319","","","survey-text","5","96368","0.0-5.0","7vhhbo","Fri Sep 09 2022 09:03:22 GMT+0200 (CEST)","2022","9","9","9","3","22","kau00","Texting, Emailing, Social Networking","Inner voice","81","23","female","right","65","95","91","1","0","{""Q0"":""23""}","","",""
"3662","","","survey-multi-choice","6","100034","0.0-6.0","7vhhbo","Fri Sep 09 2022 09:03:22 GMT+0200 (CEST)","2022","9","9","9","3","22","kau00","Texting, Emailing, Social Networking","Inner voice","81","23","female","right","65","95","91","1","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"4240.999999999985","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","104281","0.0-7.0","7vhhbo","Fri Sep 09 2022 09:03:22 GMT+0200 (CEST)","2022","9","9","9","3","22","kau00","Texting, Emailing, Social Networking","Inner voice","81","23","female","right","65","95","91","1","0","","","50","65"
"6426","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","110710","0.0-8.0","7vhhbo","Fri Sep 09 2022 09:03:22 GMT+0200 (CEST)","2022","9","9","9","3","22","kau00","Texting, Emailing, Social Networking","Inner voice","81","23","female","right","65","95","91","1","0","","","50","95"
"6086","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","116799","0.0-9.0","7vhhbo","Fri Sep 09 2022 09:03:22 GMT+0200 (CEST)","2022","9","9","9","3","22","kau00","Texting, Emailing, Social Networking","Inner voice","81","23","female","right","65","95","91","1","0","","","50","91"
"7887","","","survey-multi-choice","10","124693","0.0-10.0","7vhhbo","Fri Sep 09 2022 09:03:22 GMT+0200 (CEST)","2022","9","9","9","3","22","kau00","Texting, Emailing, Social Networking","Inner voice","81","23","female","right","65","95","91","1","0","{""Sleep"":""1"",""Eat"":""0""}","[0,1]","",""
