"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10145","0.0-0.0","8qe5mz","Sun Oct 23 2022 13:41:01 GMT+0200 (Centraleuropæisk sommertid)","2022","10","23","13","41","1","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","64","63","66","4","1","","","",""
"4684","","","survey-text","1","14873","0.0-1.0","8qe5mz","Sun Oct 23 2022 13:41:01 GMT+0200 (Centraleuropæisk sommertid)","2022","10","23","13","41","1","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","64","63","66","4","1","{""Q0"":""kau00""}","","",""
"3210.999999999998","","","survey-multi-choice","2","18096","0.0-2.0","8qe5mz","Sun Oct 23 2022 13:41:01 GMT+0200 (Centraleuropæisk sommertid)","2022","10","23","13","41","1","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","64","63","66","4","1","{""Activity"":""Showering, Getting Ready""}","[0]","",""
"4725","","","survey-multi-choice","3","22825","0.0-3.0","8qe5mz","Sun Oct 23 2022 13:41:01 GMT+0200 (Centraleuropæisk sommertid)","2022","10","23","13","41","1","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","64","63","66","4","1","{""MentalActivity"":""Inner voice""}","[0]","",""
"42567","","","survey-multi-choice","4","65401","0.0-4.0","8qe5mz","Sun Oct 23 2022 13:41:01 GMT+0200 (Centraleuropæisk sommertid)","2022","10","23","13","41","1","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","64","63","66","4","1","{""HeartRate"":""78""}","[0]","",""
"2086","","","survey-text","5","67501","0.0-5.0","8qe5mz","Sun Oct 23 2022 13:41:01 GMT+0200 (Centraleuropæisk sommertid)","2022","10","23","13","41","1","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","64","63","66","4","1","{""Q0"":""23""}","","",""
"4981","","","survey-multi-choice","6","72485","0.0-6.0","8qe5mz","Sun Oct 23 2022 13:41:01 GMT+0200 (Centraleuropæisk sommertid)","2022","10","23","13","41","1","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","64","63","66","4","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3126","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","75618","0.0-7.0","8qe5mz","Sun Oct 23 2022 13:41:01 GMT+0200 (Centraleuropæisk sommertid)","2022","10","23","13","41","1","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","64","63","66","4","1","","","50","64"
"2377","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","77997","0.0-8.0","8qe5mz","Sun Oct 23 2022 13:41:01 GMT+0200 (Centraleuropæisk sommertid)","2022","10","23","13","41","1","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","64","63","66","4","1","","","50","63"
"6650","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","84650","0.0-9.0","8qe5mz","Sun Oct 23 2022 13:41:01 GMT+0200 (Centraleuropæisk sommertid)","2022","10","23","13","41","1","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","64","63","66","4","1","","","50","66"
"8023","","","survey-multi-choice","10","92679","0.0-10.0","8qe5mz","Sun Oct 23 2022 13:41:01 GMT+0200 (Centraleuropæisk sommertid)","2022","10","23","13","41","1","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","64","63","66","4","1","{""Sleep"":""4"",""Eat"":""1""}","[0,1]","",""
