"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10013","0.0-0.0","9haanj","Sun Nov 06 2022 18:19:25 GMT+0100 (Centraleuropæisk normaltid)","2022","11","6","18","19","25","kau00","Eating","Inner voice","84","23","female","right","67","61","71","9","0","","","",""
"9166","","","survey-text","1","19213","0.0-1.0","9haanj","Sun Nov 06 2022 18:19:25 GMT+0100 (Centraleuropæisk normaltid)","2022","11","6","18","19","25","kau00","Eating","Inner voice","84","23","female","right","67","61","71","9","0","{""Q0"":""kau00""}","","",""
"8929","","","survey-multi-choice","2","28148","0.0-2.0","9haanj","Sun Nov 06 2022 18:19:25 GMT+0100 (Centraleuropæisk normaltid)","2022","11","6","18","19","25","kau00","Eating","Inner voice","84","23","female","right","67","61","71","9","0","{""Activity"":""Eating""}","[0]","",""
"2476","","","survey-multi-choice","3","30626","0.0-3.0","9haanj","Sun Nov 06 2022 18:19:25 GMT+0100 (Centraleuropæisk normaltid)","2022","11","6","18","19","25","kau00","Eating","Inner voice","84","23","female","right","67","61","71","9","0","{""MentalActivity"":""Inner voice""}","[0]","",""
"37728","","","survey-multi-choice","4","68357","0.0-4.0","9haanj","Sun Nov 06 2022 18:19:25 GMT+0100 (Centraleuropæisk normaltid)","2022","11","6","18","19","25","kau00","Eating","Inner voice","84","23","female","right","67","61","71","9","0","{""HeartRate"":""84""}","[0]","",""
"2232","","","survey-text","5","70596","0.0-5.0","9haanj","Sun Nov 06 2022 18:19:25 GMT+0100 (Centraleuropæisk normaltid)","2022","11","6","18","19","25","kau00","Eating","Inner voice","84","23","female","right","67","61","71","9","0","{""Q0"":""23""}","","",""
"2841","","","survey-multi-choice","6","73440","0.0-6.0","9haanj","Sun Nov 06 2022 18:19:25 GMT+0100 (Centraleuropæisk normaltid)","2022","11","6","18","19","25","kau00","Eating","Inner voice","84","23","female","right","67","61","71","9","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3520.9999999999854","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","76969","0.0-7.0","9haanj","Sun Nov 06 2022 18:19:25 GMT+0100 (Centraleuropæisk normaltid)","2022","11","6","18","19","25","kau00","Eating","Inner voice","84","23","female","right","67","61","71","9","0","","","50","67"
"4878","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","81849","0.0-8.0","9haanj","Sun Nov 06 2022 18:19:25 GMT+0100 (Centraleuropæisk normaltid)","2022","11","6","18","19","25","kau00","Eating","Inner voice","84","23","female","right","67","61","71","9","0","","","50","61"
"3281","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","85133","0.0-9.0","9haanj","Sun Nov 06 2022 18:19:25 GMT+0100 (Centraleuropæisk normaltid)","2022","11","6","18","19","25","kau00","Eating","Inner voice","84","23","female","right","67","61","71","9","0","","","50","71"
"12927","","","survey-multi-choice","10","98066","0.0-10.0","9haanj","Sun Nov 06 2022 18:19:25 GMT+0100 (Centraleuropæisk normaltid)","2022","11","6","18","19","25","kau00","Eating","Inner voice","84","23","female","right","67","61","71","9","0","{""Sleep"":""9"",""Eat"":""0""}","[0,1]","",""
