"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10014","0.0-0.0","jj0622","Wed Sep 14 2022 13:33:39 GMT+0200 (Centraleuropæisk sommertid)","2022","9","14","13","33","39","kau00","Working, Studying","Inner voice","78","23","female","right","59","81","64","6","1","","","",""
"4616.999999999998","","","survey-text","1","14667","0.0-1.0","jj0622","Wed Sep 14 2022 13:33:39 GMT+0200 (Centraleuropæisk sommertid)","2022","9","14","13","33","39","kau00","Working, Studying","Inner voice","78","23","female","right","59","81","64","6","1","{""Q0"":""kau00""}","","",""
"2950","","","survey-multi-choice","2","17624","0.0-2.0","jj0622","Wed Sep 14 2022 13:33:39 GMT+0200 (Centraleuropæisk sommertid)","2022","9","14","13","33","39","kau00","Working, Studying","Inner voice","78","23","female","right","59","81","64","6","1","{""Activity"":""Working, Studying""}","[0]","",""
"268261","","","survey-multi-choice","3","285887","0.0-3.0","jj0622","Wed Sep 14 2022 13:33:39 GMT+0200 (Centraleuropæisk sommertid)","2022","9","14","13","33","39","kau00","Working, Studying","Inner voice","78","23","female","right","59","81","64","6","1","{""MentalActivity"":""Inner voice""}","[0]","",""
"41107","","","survey-multi-choice","4","327002","0.0-4.0","jj0622","Wed Sep 14 2022 13:33:39 GMT+0200 (Centraleuropæisk sommertid)","2022","9","14","13","33","39","kau00","Working, Studying","Inner voice","78","23","female","right","59","81","64","6","1","{""HeartRate"":""78""}","[0]","",""
"2947","","","survey-text","5","329960","0.0-5.0","jj0622","Wed Sep 14 2022 13:33:39 GMT+0200 (Centraleuropæisk sommertid)","2022","9","14","13","33","39","kau00","Working, Studying","Inner voice","78","23","female","right","59","81","64","6","1","{""Q0"":""23""}","","",""
"2730","","","survey-multi-choice","6","332693","0.0-6.0","jj0622","Wed Sep 14 2022 13:33:39 GMT+0200 (Centraleuropæisk sommertid)","2022","9","14","13","33","39","kau00","Working, Studying","Inner voice","78","23","female","right","59","81","64","6","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"6603.000000000058","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","339303","0.0-7.0","jj0622","Wed Sep 14 2022 13:33:39 GMT+0200 (Centraleuropæisk sommertid)","2022","9","14","13","33","39","kau00","Working, Studying","Inner voice","78","23","female","right","59","81","64","6","1","","","50","59"
"3727","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","343033","0.0-8.0","jj0622","Wed Sep 14 2022 13:33:39 GMT+0200 (Centraleuropæisk sommertid)","2022","9","14","13","33","39","kau00","Working, Studying","Inner voice","78","23","female","right","59","81","64","6","1","","","50","81"
"3049","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","346086","0.0-9.0","jj0622","Wed Sep 14 2022 13:33:39 GMT+0200 (Centraleuropæisk sommertid)","2022","9","14","13","33","39","kau00","Working, Studying","Inner voice","78","23","female","right","59","81","64","6","1","","","50","64"
"8875","","","survey-multi-choice","10","354967","0.0-10.0","jj0622","Wed Sep 14 2022 13:33:39 GMT+0200 (Centraleuropæisk sommertid)","2022","9","14","13","33","39","kau00","Working, Studying","Inner voice","78","23","female","right","59","81","64","6","1","{""Sleep"":""6"",""Eat"":""1""}","[0,1]","",""
