"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10012","0.0-0.0","kg9xhc","Mon Sep 12 2022 20:43:21 GMT+0200 (CEST)","2022","9","12","20","43","21","kau00","Listening to music","Inner voice","87","23","female","right","70","5","93","14","1","","","",""
"6107","","","survey-text","1","16147","0.0-1.0","kg9xhc","Mon Sep 12 2022 20:43:21 GMT+0200 (CEST)","2022","9","12","20","43","21","kau00","Listening to music","Inner voice","87","23","female","right","70","5","93","14","1","{""Q0"":""kau00""}","","",""
"12887.000000000004","","","survey-multi-choice","2","29039","0.0-2.0","kg9xhc","Mon Sep 12 2022 20:43:21 GMT+0200 (CEST)","2022","9","12","20","43","21","kau00","Listening to music","Inner voice","87","23","female","right","70","5","93","14","1","{""Activity"":""Listening to music""}","[0]","",""
"5246.000000000004","","","survey-multi-choice","3","34288","0.0-3.0","kg9xhc","Mon Sep 12 2022 20:43:21 GMT+0200 (CEST)","2022","9","12","20","43","21","kau00","Listening to music","Inner voice","87","23","female","right","70","5","93","14","1","{""MentalActivity"":""Inner voice""}","[0]","",""
"38977","","","survey-multi-choice","4","73273","0.0-4.0","kg9xhc","Mon Sep 12 2022 20:43:21 GMT+0200 (CEST)","2022","9","12","20","43","21","kau00","Listening to music","Inner voice","87","23","female","right","70","5","93","14","1","{""HeartRate"":""87""}","[0]","",""
"2828","","","survey-text","5","76110","0.0-5.0","kg9xhc","Mon Sep 12 2022 20:43:21 GMT+0200 (CEST)","2022","9","12","20","43","21","kau00","Listening to music","Inner voice","87","23","female","right","70","5","93","14","1","{""Q0"":""23""}","","",""
"4586","","","survey-multi-choice","6","80699","0.0-6.0","kg9xhc","Mon Sep 12 2022 20:43:21 GMT+0200 (CEST)","2022","9","12","20","43","21","kau00","Listening to music","Inner voice","87","23","female","right","70","5","93","14","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"5184","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","85888","0.0-7.0","kg9xhc","Mon Sep 12 2022 20:43:21 GMT+0200 (CEST)","2022","9","12","20","43","21","kau00","Listening to music","Inner voice","87","23","female","right","70","5","93","14","1","","","50","70"
"4144","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","90034","0.0-8.0","kg9xhc","Mon Sep 12 2022 20:43:21 GMT+0200 (CEST)","2022","9","12","20","43","21","kau00","Listening to music","Inner voice","87","23","female","right","70","5","93","14","1","","","50","5"
"6148","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","96185","0.0-9.0","kg9xhc","Mon Sep 12 2022 20:43:21 GMT+0200 (CEST)","2022","9","12","20","43","21","kau00","Listening to music","Inner voice","87","23","female","right","70","5","93","14","1","","","50","93"
"26082","","","survey-multi-choice","10","122273","0.0-10.0","kg9xhc","Mon Sep 12 2022 20:43:21 GMT+0200 (CEST)","2022","9","12","20","43","21","kau00","Listening to music","Inner voice","87","23","female","right","70","5","93","14","1","{""Sleep"":""14"",""Eat"":""1""}","[0,1]","",""
