"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10007","0.0-0.0","mfbcbr","Tue Sep 27 2022 10:47:24 GMT+0200 (Centraleuropæisk sommertid)","2022","9","27","10","47","24","kau00","Working, Studying","Inner voice","90","23","female","right","71","73","95","3","2","","","",""
"13443","","","survey-text","1","23484","0.0-1.0","mfbcbr","Tue Sep 27 2022 10:47:24 GMT+0200 (Centraleuropæisk sommertid)","2022","9","27","10","47","24","kau00","Working, Studying","Inner voice","90","23","female","right","71","73","95","3","2","{""Q0"":""kau00""}","","",""
"7027","","","survey-multi-choice","2","30516","0.0-2.0","mfbcbr","Tue Sep 27 2022 10:47:24 GMT+0200 (Centraleuropæisk sommertid)","2022","9","27","10","47","24","kau00","Working, Studying","Inner voice","90","23","female","right","71","73","95","3","2","{""Activity"":""Working, Studying""}","[0]","",""
"3404.0000000000073","","","survey-multi-choice","3","33923","0.0-3.0","mfbcbr","Tue Sep 27 2022 10:47:24 GMT+0200 (Centraleuropæisk sommertid)","2022","9","27","10","47","24","kau00","Working, Studying","Inner voice","90","23","female","right","71","73","95","3","2","{""MentalActivity"":""Inner voice""}","[0]","",""
"60959","","","survey-multi-choice","4","94892","0.0-4.0","mfbcbr","Tue Sep 27 2022 10:47:24 GMT+0200 (Centraleuropæisk sommertid)","2022","9","27","10","47","24","kau00","Working, Studying","Inner voice","90","23","female","right","71","73","95","3","2","{""HeartRate"":""90""}","[0]","",""
"2390","","","survey-text","5","97295","0.0-5.0","mfbcbr","Tue Sep 27 2022 10:47:24 GMT+0200 (Centraleuropæisk sommertid)","2022","9","27","10","47","24","kau00","Working, Studying","Inner voice","90","23","female","right","71","73","95","3","2","{""Q0"":""23""}","","",""
"2914","","","survey-multi-choice","6","100212","0.0-6.0","mfbcbr","Tue Sep 27 2022 10:47:24 GMT+0200 (Centraleuropæisk sommertid)","2022","9","27","10","47","24","kau00","Working, Studying","Inner voice","90","23","female","right","71","73","95","3","2","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"2503","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","102722","0.0-7.0","mfbcbr","Tue Sep 27 2022 10:47:24 GMT+0200 (Centraleuropæisk sommertid)","2022","9","27","10","47","24","kau00","Working, Studying","Inner voice","90","23","female","right","71","73","95","3","2","","","50","71"
"4763","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","107487","0.0-8.0","mfbcbr","Tue Sep 27 2022 10:47:24 GMT+0200 (Centraleuropæisk sommertid)","2022","9","27","10","47","24","kau00","Working, Studying","Inner voice","90","23","female","right","71","73","95","3","2","","","50","73"
"4135","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","111626","0.0-9.0","mfbcbr","Tue Sep 27 2022 10:47:24 GMT+0200 (Centraleuropæisk sommertid)","2022","9","27","10","47","24","kau00","Working, Studying","Inner voice","90","23","female","right","71","73","95","3","2","","","50","95"
"16342","","","survey-multi-choice","10","127975","0.0-10.0","mfbcbr","Tue Sep 27 2022 10:47:24 GMT+0200 (Centraleuropæisk sommertid)","2022","9","27","10","47","24","kau00","Working, Studying","Inner voice","90","23","female","right","71","73","95","3","2","{""Sleep"":""3"",""Eat"":""2""}","[0,1]","",""
