"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10019","0.0-0.0","qd6y4t","Tue Oct 04 2022 14:02:23 GMT+0200 (Centraleuropæisk sommertid)","2022","10","4","14","2","23","kau00","Shopping","Inner voice","108","23","female","right","40","57","71","5","2","","","",""
"5508.000000000002","","","survey-text","1","15567","0.0-1.0","qd6y4t","Tue Oct 04 2022 14:02:23 GMT+0200 (Centraleuropæisk sommertid)","2022","10","4","14","2","23","kau00","Shopping","Inner voice","108","23","female","right","40","57","71","5","2","{""Q0"":""kau00""}","","",""
"5825","","","survey-multi-choice","2","21397","0.0-2.0","qd6y4t","Tue Oct 04 2022 14:02:23 GMT+0200 (Centraleuropæisk sommertid)","2022","10","4","14","2","23","kau00","Shopping","Inner voice","108","23","female","right","40","57","71","5","2","{""Activity"":""Shopping""}","[0]","",""
"2740","","","survey-multi-choice","3","24140","0.0-3.0","qd6y4t","Tue Oct 04 2022 14:02:23 GMT+0200 (Centraleuropæisk sommertid)","2022","10","4","14","2","23","kau00","Shopping","Inner voice","108","23","female","right","40","57","71","5","2","{""MentalActivity"":""Inner voice""}","[0]","",""
"47089","","","survey-multi-choice","4","71238","0.0-4.0","qd6y4t","Tue Oct 04 2022 14:02:23 GMT+0200 (Centraleuropæisk sommertid)","2022","10","4","14","2","23","kau00","Shopping","Inner voice","108","23","female","right","40","57","71","5","2","{""HeartRate"":""108""}","[0]","",""
"2296","","","survey-text","5","73545","0.0-5.0","qd6y4t","Tue Oct 04 2022 14:02:23 GMT+0200 (Centraleuropæisk sommertid)","2022","10","4","14","2","23","kau00","Shopping","Inner voice","108","23","female","right","40","57","71","5","2","{""Q0"":""23""}","","",""
"2347","","","survey-multi-choice","6","75895","0.0-6.0","qd6y4t","Tue Oct 04 2022 14:02:23 GMT+0200 (Centraleuropæisk sommertid)","2022","10","4","14","2","23","kau00","Shopping","Inner voice","108","23","female","right","40","57","71","5","2","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"2705.0000000000146","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","78607","0.0-7.0","qd6y4t","Tue Oct 04 2022 14:02:23 GMT+0200 (Centraleuropæisk sommertid)","2022","10","4","14","2","23","kau00","Shopping","Inner voice","108","23","female","right","40","57","71","5","2","","","50","40"
"3878","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","82488","0.0-8.0","qd6y4t","Tue Oct 04 2022 14:02:23 GMT+0200 (Centraleuropæisk sommertid)","2022","10","4","14","2","23","kau00","Shopping","Inner voice","108","23","female","right","40","57","71","5","2","","","50","57"
"2244.9999999999854","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","84736","0.0-9.0","qd6y4t","Tue Oct 04 2022 14:02:23 GMT+0200 (Centraleuropæisk sommertid)","2022","10","4","14","2","23","kau00","Shopping","Inner voice","108","23","female","right","40","57","71","5","2","","","50","71"
"22777.999999999985","","","survey-multi-choice","10","107520","0.0-10.0","qd6y4t","Tue Oct 04 2022 14:02:23 GMT+0200 (Centraleuropæisk sommertid)","2022","10","4","14","2","23","kau00","Shopping","Inner voice","108","23","female","right","40","57","71","5","2","{""Sleep"":""5"",""Eat"":""2""}","[0,1]","",""
