"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10011","0.0-0.0","qouoof","Sat Oct 08 2022 19:36:15 GMT+0200 (Centraleuropæisk sommertid)","2022","10","8","19","36","15","kau00","Watching TV","Feelings","87","23","female","right","42","45","98","10","0","","","",""
"20006","","","survey-text","1","30034","0.0-1.0","qouoof","Sat Oct 08 2022 19:36:15 GMT+0200 (Centraleuropæisk sommertid)","2022","10","8","19","36","15","kau00","Watching TV","Feelings","87","23","female","right","42","45","98","10","0","{""Q0"":""kau00""}","","",""
"4150","","","survey-multi-choice","2","34190","0.0-2.0","qouoof","Sat Oct 08 2022 19:36:15 GMT+0200 (Centraleuropæisk sommertid)","2022","10","8","19","36","15","kau00","Watching TV","Feelings","87","23","female","right","42","45","98","10","0","{""Activity"":""Watching TV""}","[0]","",""
"8307","","","survey-multi-choice","3","42500","0.0-3.0","qouoof","Sat Oct 08 2022 19:36:15 GMT+0200 (Centraleuropæisk sommertid)","2022","10","8","19","36","15","kau00","Watching TV","Feelings","87","23","female","right","42","45","98","10","0","{""MentalActivity"":""Feelings""}","[0]","",""
"61224","","","survey-multi-choice","4","103731","0.0-4.0","qouoof","Sat Oct 08 2022 19:36:15 GMT+0200 (Centraleuropæisk sommertid)","2022","10","8","19","36","15","kau00","Watching TV","Feelings","87","23","female","right","42","45","98","10","0","{""HeartRate"":""87""}","[0]","",""
"3493.0000000000146","","","survey-text","5","107235","0.0-5.0","qouoof","Sat Oct 08 2022 19:36:15 GMT+0200 (Centraleuropæisk sommertid)","2022","10","8","19","36","15","kau00","Watching TV","Feelings","87","23","female","right","42","45","98","10","0","{""Q0"":""23""}","","",""
"3417","","","survey-multi-choice","6","110654","0.0-6.0","qouoof","Sat Oct 08 2022 19:36:15 GMT+0200 (Centraleuropæisk sommertid)","2022","10","8","19","36","15","kau00","Watching TV","Feelings","87","23","female","right","42","45","98","10","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"11389","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","122048","0.0-7.0","qouoof","Sat Oct 08 2022 19:36:15 GMT+0200 (Centraleuropæisk sommertid)","2022","10","8","19","36","15","kau00","Watching TV","Feelings","87","23","female","right","42","45","98","10","0","","","50","42"
"3379","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","125430","0.0-8.0","qouoof","Sat Oct 08 2022 19:36:15 GMT+0200 (Centraleuropæisk sommertid)","2022","10","8","19","36","15","kau00","Watching TV","Feelings","87","23","female","right","42","45","98","10","0","","","50","45"
"3515","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","128947","0.0-9.0","qouoof","Sat Oct 08 2022 19:36:15 GMT+0200 (Centraleuropæisk sommertid)","2022","10","8","19","36","15","kau00","Watching TV","Feelings","87","23","female","right","42","45","98","10","0","","","50","98"
"16031.999999999985","","","survey-multi-choice","10","144982","0.0-10.0","qouoof","Sat Oct 08 2022 19:36:15 GMT+0200 (Centraleuropæisk sommertid)","2022","10","8","19","36","15","kau00","Watching TV","Feelings","87","23","female","right","42","45","98","10","0","{""Sleep"":""10"",""Eat"":""0""}","[0,1]","",""
