"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10014","0.0-0.0","rrungs","Mon Sep 19 2022 23:09:48 GMT+0200 (Centraleuropæisk sommertid)","2022","9","19","23","9","48","kau00","Being on the Internet","Inner voice","90","23","female","right","56","34","77","16","4","","","",""
"5710","","","survey-text","1","15767","0.0-1.0","rrungs","Mon Sep 19 2022 23:09:48 GMT+0200 (Centraleuropæisk sommertid)","2022","9","19","23","9","48","kau00","Being on the Internet","Inner voice","90","23","female","right","56","34","77","16","4","{""Q0"":""kau00""}","","",""
"21154.000000000007","","","survey-multi-choice","2","36928","0.0-2.0","rrungs","Mon Sep 19 2022 23:09:48 GMT+0200 (Centraleuropæisk sommertid)","2022","9","19","23","9","48","kau00","Being on the Internet","Inner voice","90","23","female","right","56","34","77","16","4","{""Activity"":""Being on the Internet""}","[0]","",""
"4618.000000000007","","","survey-multi-choice","3","41549","0.0-3.0","rrungs","Mon Sep 19 2022 23:09:48 GMT+0200 (Centraleuropæisk sommertid)","2022","9","19","23","9","48","kau00","Being on the Internet","Inner voice","90","23","female","right","56","34","77","16","4","{""MentalActivity"":""Inner voice""}","[0]","",""
"52309","","","survey-multi-choice","4","93865","0.0-4.0","rrungs","Mon Sep 19 2022 23:09:48 GMT+0200 (Centraleuropæisk sommertid)","2022","9","19","23","9","48","kau00","Being on the Internet","Inner voice","90","23","female","right","56","34","77","16","4","{""HeartRate"":""90""}","[0]","",""
"2692","","","survey-text","5","96568","0.0-5.0","rrungs","Mon Sep 19 2022 23:09:48 GMT+0200 (Centraleuropæisk sommertid)","2022","9","19","23","9","48","kau00","Being on the Internet","Inner voice","90","23","female","right","56","34","77","16","4","{""Q0"":""23""}","","",""
"3348","","","survey-multi-choice","6","99920","0.0-6.0","rrungs","Mon Sep 19 2022 23:09:48 GMT+0200 (Centraleuropæisk sommertid)","2022","9","19","23","9","48","kau00","Being on the Internet","Inner voice","90","23","female","right","56","34","77","16","4","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"9623.000000000015","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","109550","0.0-7.0","rrungs","Mon Sep 19 2022 23:09:48 GMT+0200 (Centraleuropæisk sommertid)","2022","9","19","23","9","48","kau00","Being on the Internet","Inner voice","90","23","female","right","56","34","77","16","4","","","50","56"
"3543.9999999999854","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","113096","0.0-8.0","rrungs","Mon Sep 19 2022 23:09:48 GMT+0200 (Centraleuropæisk sommertid)","2022","9","19","23","9","48","kau00","Being on the Internet","Inner voice","90","23","female","right","56","34","77","16","4","","","50","34"
"3097","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","116196","0.0-9.0","rrungs","Mon Sep 19 2022 23:09:48 GMT+0200 (Centraleuropæisk sommertid)","2022","9","19","23","9","48","kau00","Being on the Internet","Inner voice","90","23","female","right","56","34","77","16","4","","","50","77"
"32795","","","survey-multi-choice","10","148996","0.0-10.0","rrungs","Mon Sep 19 2022 23:09:48 GMT+0200 (Centraleuropæisk sommertid)","2022","9","19","23","9","48","kau00","Being on the Internet","Inner voice","90","23","female","right","56","34","77","16","4","{""Sleep"":""16"",""Eat"":""4""}","[0,1]","",""
