"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10009","0.0-0.0","sxdm5n","Sun Oct 16 2022 18:01:29 GMT+0200 (Centraleuropæisk sommertid)","2022","10","16","18","1","29","kau00","Eating","Inner voice","90","23","female","right","85","74","98","9","0","","","",""
"4141.000000000002","","","survey-text","1","14173","0.0-1.0","sxdm5n","Sun Oct 16 2022 18:01:29 GMT+0200 (Centraleuropæisk sommertid)","2022","10","16","18","1","29","kau00","Eating","Inner voice","90","23","female","right","85","74","98","9","0","{""Q0"":""kau00""}","","",""
"27135","","","survey-multi-choice","2","41313","0.0-2.0","sxdm5n","Sun Oct 16 2022 18:01:29 GMT+0200 (Centraleuropæisk sommertid)","2022","10","16","18","1","29","kau00","Eating","Inner voice","90","23","female","right","85","74","98","9","0","{""Activity"":""Eating""}","[0]","",""
"2270","","","survey-multi-choice","3","43587","0.0-3.0","sxdm5n","Sun Oct 16 2022 18:01:29 GMT+0200 (Centraleuropæisk sommertid)","2022","10","16","18","1","29","kau00","Eating","Inner voice","90","23","female","right","85","74","98","9","0","{""MentalActivity"":""Inner voice""}","[0]","",""
"31179","","","survey-multi-choice","4","74775","0.0-4.0","sxdm5n","Sun Oct 16 2022 18:01:29 GMT+0200 (Centraleuropæisk sommertid)","2022","10","16","18","1","29","kau00","Eating","Inner voice","90","23","female","right","85","74","98","9","0","{""HeartRate"":""90""}","[0]","",""
"2418","","","survey-text","5","77204","0.0-5.0","sxdm5n","Sun Oct 16 2022 18:01:29 GMT+0200 (Centraleuropæisk sommertid)","2022","10","16","18","1","29","kau00","Eating","Inner voice","90","23","female","right","85","74","98","9","0","{""Q0"":""23""}","","",""
"2466.0000000000146","","","survey-multi-choice","6","79673","0.0-6.0","sxdm5n","Sun Oct 16 2022 18:01:29 GMT+0200 (Centraleuropæisk sommertid)","2022","10","16","18","1","29","kau00","Eating","Inner voice","90","23","female","right","85","74","98","9","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"2336.9999999999854","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","82017","0.0-7.0","sxdm5n","Sun Oct 16 2022 18:01:29 GMT+0200 (Centraleuropæisk sommertid)","2022","10","16","18","1","29","kau00","Eating","Inner voice","90","23","female","right","85","74","98","9","0","","","50","85"
"3246","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","85265","0.0-8.0","sxdm5n","Sun Oct 16 2022 18:01:29 GMT+0200 (Centraleuropæisk sommertid)","2022","10","16","18","1","29","kau00","Eating","Inner voice","90","23","female","right","85","74","98","9","0","","","50","74"
"1898","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","87165","0.0-9.0","sxdm5n","Sun Oct 16 2022 18:01:29 GMT+0200 (Centraleuropæisk sommertid)","2022","10","16","18","1","29","kau00","Eating","Inner voice","90","23","female","right","85","74","98","9","0","","","50","98"
"12561","","","survey-multi-choice","10","99732","0.0-10.0","sxdm5n","Sun Oct 16 2022 18:01:29 GMT+0200 (Centraleuropæisk sommertid)","2022","10","16","18","1","29","kau00","Eating","Inner voice","90","23","female","right","85","74","98","9","0","{""Sleep"":""9"",""Eat"":""0""}","[0,1]","",""
