"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10012","0.0-0.0","ubagvm","Tue Oct 11 2022 22:26:50 GMT+0200 (Centraleuropæisk sommertid)","2022","10","11","22","26","50","kau00","Showering, Getting Ready","Inner voice","69","23","female","right","63","45","46","14","3","","","",""
"5263","","","survey-text","1","15317","0.0-1.0","ubagvm","Tue Oct 11 2022 22:26:50 GMT+0200 (Centraleuropæisk sommertid)","2022","10","11","22","26","50","kau00","Showering, Getting Ready","Inner voice","69","23","female","right","63","45","46","14","3","{""Q0"":""kau00""}","","",""
"18307","","","survey-multi-choice","2","33631","0.0-2.0","ubagvm","Tue Oct 11 2022 22:26:50 GMT+0200 (Centraleuropæisk sommertid)","2022","10","11","22","26","50","kau00","Showering, Getting Ready","Inner voice","69","23","female","right","63","45","46","14","3","{""Activity"":""Showering, Getting Ready""}","[0]","",""
"2870","","","survey-multi-choice","3","36503","0.0-3.0","ubagvm","Tue Oct 11 2022 22:26:50 GMT+0200 (Centraleuropæisk sommertid)","2022","10","11","22","26","50","kau00","Showering, Getting Ready","Inner voice","69","23","female","right","63","45","46","14","3","{""MentalActivity"":""Inner voice""}","[0]","",""
"49092","","","survey-multi-choice","4","85604","0.0-4.0","ubagvm","Tue Oct 11 2022 22:26:50 GMT+0200 (Centraleuropæisk sommertid)","2022","10","11","22","26","50","kau00","Showering, Getting Ready","Inner voice","69","23","female","right","63","45","46","14","3","{""HeartRate"":""69""}","[0]","",""
"3707","","","survey-text","5","89321","0.0-5.0","ubagvm","Tue Oct 11 2022 22:26:50 GMT+0200 (Centraleuropæisk sommertid)","2022","10","11","22","26","50","kau00","Showering, Getting Ready","Inner voice","69","23","female","right","63","45","46","14","3","{""Q0"":""23""}","","",""
"3465","","","survey-multi-choice","6","92790","0.0-6.0","ubagvm","Tue Oct 11 2022 22:26:50 GMT+0200 (Centraleuropæisk sommertid)","2022","10","11","22","26","50","kau00","Showering, Getting Ready","Inner voice","69","23","female","right","63","45","46","14","3","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3706","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","96503","0.0-7.0","ubagvm","Tue Oct 11 2022 22:26:50 GMT+0200 (Centraleuropæisk sommertid)","2022","10","11","22","26","50","kau00","Showering, Getting Ready","Inner voice","69","23","female","right","63","45","46","14","3","","","50","63"
"5211","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","101716","0.0-8.0","ubagvm","Tue Oct 11 2022 22:26:50 GMT+0200 (Centraleuropæisk sommertid)","2022","10","11","22","26","50","kau00","Showering, Getting Ready","Inner voice","69","23","female","right","63","45","46","14","3","","","50","45"
"6414","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","108133","0.0-9.0","ubagvm","Tue Oct 11 2022 22:26:50 GMT+0200 (Centraleuropæisk sommertid)","2022","10","11","22","26","50","kau00","Showering, Getting Ready","Inner voice","69","23","female","right","63","45","46","14","3","","","50","46"
"28123.999999999985","","","survey-multi-choice","10","136263","0.0-10.0","ubagvm","Tue Oct 11 2022 22:26:50 GMT+0200 (Centraleuropæisk sommertid)","2022","10","11","22","26","50","kau00","Showering, Getting Ready","Inner voice","69","23","female","right","63","45","46","14","3","{""Sleep"":""14"",""Eat"":""3""}","[0,1]","",""
