"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10012","0.0-0.0","ur6b3p","Thu Sep 08 2022 21:32:25 GMT+0200 (CEST)","2022","9","8","21","32","25","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","37","7","67","14","3","","","",""
"4920","","","survey-text","1","14963","0.0-1.0","ur6b3p","Thu Sep 08 2022 21:32:25 GMT+0200 (CEST)","2022","9","8","21","32","25","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","37","7","67","14","3","{""Q0"":""kau00""}","","",""
"26752","","","survey-multi-choice","2","41720","0.0-2.0","ur6b3p","Thu Sep 08 2022 21:32:25 GMT+0200 (CEST)","2022","9","8","21","32","25","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","37","7","67","14","3","{""Activity"":""Showering, Getting Ready""}","[0]","",""
"5049","","","survey-multi-choice","3","46772","0.0-3.0","ur6b3p","Thu Sep 08 2022 21:32:25 GMT+0200 (CEST)","2022","9","8","21","32","25","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","37","7","67","14","3","{""MentalActivity"":""Inner voice""}","[0]","",""
"42434","","","survey-multi-choice","4","89216","0.0-4.0","ur6b3p","Thu Sep 08 2022 21:32:25 GMT+0200 (CEST)","2022","9","8","21","32","25","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","37","7","67","14","3","{""HeartRate"":""78""}","[0]","",""
"3379","","","survey-text","5","92607","0.0-5.0","ur6b3p","Thu Sep 08 2022 21:32:25 GMT+0200 (CEST)","2022","9","8","21","32","25","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","37","7","67","14","3","{""Q0"":""23""}","","",""
"3216","","","survey-multi-choice","6","95825","0.0-6.0","ur6b3p","Thu Sep 08 2022 21:32:25 GMT+0200 (CEST)","2022","9","8","21","32","25","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","37","7","67","14","3","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"8372","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","104205","0.0-7.0","ur6b3p","Thu Sep 08 2022 21:32:25 GMT+0200 (CEST)","2022","9","8","21","32","25","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","37","7","67","14","3","","","50","37"
"3999","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","108206","0.0-8.0","ur6b3p","Thu Sep 08 2022 21:32:25 GMT+0200 (CEST)","2022","9","8","21","32","25","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","37","7","67","14","3","","","50","7"
"14026","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","122236","0.0-9.0","ur6b3p","Thu Sep 08 2022 21:32:25 GMT+0200 (CEST)","2022","9","8","21","32","25","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","37","7","67","14","3","","","50","67"
"23544","","","survey-multi-choice","10","145786","0.0-10.0","ur6b3p","Thu Sep 08 2022 21:32:25 GMT+0200 (CEST)","2022","9","8","21","32","25","kau00","Showering, Getting Ready","Inner voice","78","23","female","right","37","7","67","14","3","{""Sleep"":""14"",""Eat"":""3""}","[0,1]","",""
