"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10015","0.0-0.0","vg49u9","Mon Sep 12 2022 07:53:31 GMT+0200 (CEST)","2022","9","12","7","53","31","kau00","Showering, Getting Ready","Inner voice","90","23","female","right","27","70","96","1","0","","","",""
"7484","","","survey-text","1","17527","0.0-1.0","vg49u9","Mon Sep 12 2022 07:53:31 GMT+0200 (CEST)","2022","9","12","7","53","31","kau00","Showering, Getting Ready","Inner voice","90","23","female","right","27","70","96","1","0","{""Q0"":""kau00""}","","",""
"7195","","","survey-multi-choice","2","24729","0.0-2.0","vg49u9","Mon Sep 12 2022 07:53:31 GMT+0200 (CEST)","2022","9","12","7","53","31","kau00","Showering, Getting Ready","Inner voice","90","23","female","right","27","70","96","1","0","{""Activity"":""Showering, Getting Ready""}","[0]","",""
"2788","","","survey-multi-choice","3","27520","0.0-3.0","vg49u9","Mon Sep 12 2022 07:53:31 GMT+0200 (CEST)","2022","9","12","7","53","31","kau00","Showering, Getting Ready","Inner voice","90","23","female","right","27","70","96","1","0","{""MentalActivity"":""Inner voice""}","[0]","",""
"31722.000000000007","","","survey-multi-choice","4","59252","0.0-4.0","vg49u9","Mon Sep 12 2022 07:53:31 GMT+0200 (CEST)","2022","9","12","7","53","31","kau00","Showering, Getting Ready","Inner voice","90","23","female","right","27","70","96","1","0","{""HeartRate"":""90""}","[0]","",""
"2524","","","survey-text","5","61786","0.0-5.0","vg49u9","Mon Sep 12 2022 07:53:31 GMT+0200 (CEST)","2022","9","12","7","53","31","kau00","Showering, Getting Ready","Inner voice","90","23","female","right","27","70","96","1","0","{""Q0"":""23""}","","",""
"5448","","","survey-multi-choice","6","67236","0.0-6.0","vg49u9","Mon Sep 12 2022 07:53:31 GMT+0200 (CEST)","2022","9","12","7","53","31","kau00","Showering, Getting Ready","Inner voice","90","23","female","right","27","70","96","1","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3107","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","70349","0.0-7.0","vg49u9","Mon Sep 12 2022 07:53:31 GMT+0200 (CEST)","2022","9","12","7","53","31","kau00","Showering, Getting Ready","Inner voice","90","23","female","right","27","70","96","1","0","","","50","27"
"3127","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","73479","0.0-8.0","vg49u9","Mon Sep 12 2022 07:53:31 GMT+0200 (CEST)","2022","9","12","7","53","31","kau00","Showering, Getting Ready","Inner voice","90","23","female","right","27","70","96","1","0","","","50","70"
"3201","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","76683","0.0-9.0","vg49u9","Mon Sep 12 2022 07:53:31 GMT+0200 (CEST)","2022","9","12","7","53","31","kau00","Showering, Getting Ready","Inner voice","90","23","female","right","27","70","96","1","0","","","50","96"
"5344.000000000015","","","survey-multi-choice","10","82033","0.0-10.0","vg49u9","Mon Sep 12 2022 07:53:31 GMT+0200 (CEST)","2022","9","12","7","53","31","kau00","Showering, Getting Ready","Inner voice","90","23","female","right","27","70","96","1","0","{""Sleep"":""1"",""Eat"":""0""}","[0,1]","",""
