"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10013","0.0-0.0","wvztjy","Thu Oct 13 2022 19:06:39 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","19","6","39","kau00","Eating","Inner voice","81","23","female","right","60","41","100","10","0","","","",""
"6912","","","survey-text","1","16960","0.0-1.0","wvztjy","Thu Oct 13 2022 19:06:39 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","19","6","39","kau00","Eating","Inner voice","81","23","female","right","60","41","100","10","0","{""Q0"":""kau00""}","","",""
"5863","","","survey-multi-choice","2","22830","0.0-2.0","wvztjy","Thu Oct 13 2022 19:06:39 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","19","6","39","kau00","Eating","Inner voice","81","23","female","right","60","41","100","10","0","{""Activity"":""Eating""}","[0]","",""
"3235","","","survey-multi-choice","3","26067","0.0-3.0","wvztjy","Thu Oct 13 2022 19:06:39 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","19","6","39","kau00","Eating","Inner voice","81","23","female","right","60","41","100","10","0","{""MentalActivity"":""Inner voice""}","[0]","",""
"43061","","","survey-multi-choice","4","69137","0.0-4.0","wvztjy","Thu Oct 13 2022 19:06:39 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","19","6","39","kau00","Eating","Inner voice","81","23","female","right","60","41","100","10","0","{""HeartRate"":""81""}","[0]","",""
"6873","","","survey-text","5","76019","0.0-5.0","wvztjy","Thu Oct 13 2022 19:06:39 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","19","6","39","kau00","Eating","Inner voice","81","23","female","right","60","41","100","10","0","{""Q0"":""23""}","","",""
"5683","","","survey-multi-choice","6","81705","0.0-6.0","wvztjy","Thu Oct 13 2022 19:06:39 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","19","6","39","kau00","Eating","Inner voice","81","23","female","right","60","41","100","10","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"2404","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","84115","0.0-7.0","wvztjy","Thu Oct 13 2022 19:06:39 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","19","6","39","kau00","Eating","Inner voice","81","23","female","right","60","41","100","10","0","","","50","60"
"2563","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","86681","0.0-8.0","wvztjy","Thu Oct 13 2022 19:06:39 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","19","6","39","kau00","Eating","Inner voice","81","23","female","right","60","41","100","10","0","","","50","41"
"3731","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","90415","0.0-9.0","wvztjy","Thu Oct 13 2022 19:06:39 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","19","6","39","kau00","Eating","Inner voice","81","23","female","right","60","41","100","10","0","","","50","100"
"9562","","","survey-multi-choice","10","99982","0.0-10.0","wvztjy","Thu Oct 13 2022 19:06:39 GMT+0200 (Centraleuropæisk sommertid)","2022","10","13","19","6","39","kau00","Eating","Inner voice","81","23","female","right","60","41","100","10","0","{""Sleep"":""10"",""Eat"":""0""}","[0,1]","",""
