"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10013","0.0-0.0","5sb3qn","Sat Sep 10 2022 14:31:32 GMT+0200 (CEST)","2022","9","10","14","31","32","lex70","Other","Sensory awareness","66","21","female","right","67","63","43","7","1","","","",""
"6711","","","survey-text","1","16744","0.0-1.0","5sb3qn","Sat Sep 10 2022 14:31:32 GMT+0200 (CEST)","2022","9","10","14","31","32","lex70","Other","Sensory awareness","66","21","female","right","67","63","43","7","1","{""Q0"":""lex70""}","","",""
"21210","","","survey-multi-choice","2","37958","0.0-2.0","5sb3qn","Sat Sep 10 2022 14:31:32 GMT+0200 (CEST)","2022","9","10","14","31","32","lex70","Other","Sensory awareness","66","21","female","right","67","63","43","7","1","{""Activity"":""Other""}","[0]","",""
"7224","","","survey-multi-choice","3","45187","0.0-3.0","5sb3qn","Sat Sep 10 2022 14:31:32 GMT+0200 (CEST)","2022","9","10","14","31","32","lex70","Other","Sensory awareness","66","21","female","right","67","63","43","7","1","{""MentalActivity"":""Sensory awareness""}","[0]","",""
"51419","","","survey-multi-choice","4","96621","0.0-4.0","5sb3qn","Sat Sep 10 2022 14:31:32 GMT+0200 (CEST)","2022","9","10","14","31","32","lex70","Other","Sensory awareness","66","21","female","right","67","63","43","7","1","{""HeartRate"":""66""}","[0]","",""
"3063","","","survey-text","5","99709","0.0-5.0","5sb3qn","Sat Sep 10 2022 14:31:32 GMT+0200 (CEST)","2022","9","10","14","31","32","lex70","Other","Sensory awareness","66","21","female","right","67","63","43","7","1","{""Q0"":""21""}","","",""
"4259","","","survey-multi-choice","6","103972","0.0-6.0","5sb3qn","Sat Sep 10 2022 14:31:32 GMT+0200 (CEST)","2022","9","10","14","31","32","lex70","Other","Sensory awareness","66","21","female","right","67","63","43","7","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"6982","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","110967","0.0-7.0","5sb3qn","Sat Sep 10 2022 14:31:32 GMT+0200 (CEST)","2022","9","10","14","31","32","lex70","Other","Sensory awareness","66","21","female","right","67","63","43","7","1","","","50","67"
"4604","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","115576","0.0-8.0","5sb3qn","Sat Sep 10 2022 14:31:32 GMT+0200 (CEST)","2022","9","10","14","31","32","lex70","Other","Sensory awareness","66","21","female","right","67","63","43","7","1","","","50","63"
"4374","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","119955","0.0-9.0","5sb3qn","Sat Sep 10 2022 14:31:32 GMT+0200 (CEST)","2022","9","10","14","31","32","lex70","Other","Sensory awareness","66","21","female","right","67","63","43","7","1","","","50","43"
"18708","","","survey-multi-choice","10","138668","0.0-10.0","5sb3qn","Sat Sep 10 2022 14:31:32 GMT+0200 (CEST)","2022","9","10","14","31","32","lex70","Other","Sensory awareness","66","21","female","right","67","63","43","7","1","{""Sleep"":""7"",""Eat"":""1""}","[0,1]","",""
