"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10010","0.0-0.0","0lbgju","Mon Oct 17 2022 15:37:11 GMT+0200 (CEST)","2022","10","17","15","37","11","pid10","Listening to music","Feelings","66","23","female","right","59","57","75","8","0","","","",""
"4774.000000000002","","","survey-text","1","14799","0.0-1.0","0lbgju","Mon Oct 17 2022 15:37:11 GMT+0200 (CEST)","2022","10","17","15","37","11","pid10","Listening to music","Feelings","66","23","female","right","59","57","75","8","0","{""Q0"":""pid10""}","","",""
"7028.000000000002","","","survey-multi-choice","2","21830","0.0-2.0","0lbgju","Mon Oct 17 2022 15:37:11 GMT+0200 (CEST)","2022","10","17","15","37","11","pid10","Listening to music","Feelings","66","23","female","right","59","57","75","8","0","{""Activity"":""Listening to music""}","[0]","",""
"7146.000000000004","","","survey-multi-choice","3","28979","0.0-3.0","0lbgju","Mon Oct 17 2022 15:37:11 GMT+0200 (CEST)","2022","10","17","15","37","11","pid10","Listening to music","Feelings","66","23","female","right","59","57","75","8","0","{""MentalActivity"":""Feelings""}","[0]","",""
"5247","","","survey-multi-choice","4","34233","0.0-4.0","0lbgju","Mon Oct 17 2022 15:37:11 GMT+0200 (CEST)","2022","10","17","15","37","11","pid10","Listening to music","Feelings","66","23","female","right","59","57","75","8","0","{""HeartRate"":""66""}","[0]","",""
"2527","","","survey-text","5","36768","0.0-5.0","0lbgju","Mon Oct 17 2022 15:37:11 GMT+0200 (CEST)","2022","10","17","15","37","11","pid10","Listening to music","Feelings","66","23","female","right","59","57","75","8","0","{""Q0"":""23""}","","",""
"4181","","","survey-multi-choice","6","40951","0.0-6.0","0lbgju","Mon Oct 17 2022 15:37:11 GMT+0200 (CEST)","2022","10","17","15","37","11","pid10","Listening to music","Feelings","66","23","female","right","59","57","75","8","0","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"3894","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","44849","0.0-7.0","0lbgju","Mon Oct 17 2022 15:37:11 GMT+0200 (CEST)","2022","10","17","15","37","11","pid10","Listening to music","Feelings","66","23","female","right","59","57","75","8","0","","","50","59"
"3712","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","48564","0.0-8.0","0lbgju","Mon Oct 17 2022 15:37:11 GMT+0200 (CEST)","2022","10","17","15","37","11","pid10","Listening to music","Feelings","66","23","female","right","59","57","75","8","0","","","50","57"
"3082","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","51649","0.0-9.0","0lbgju","Mon Oct 17 2022 15:37:11 GMT+0200 (CEST)","2022","10","17","15","37","11","pid10","Listening to music","Feelings","66","23","female","right","59","57","75","8","0","","","50","75"
"12016","","","survey-multi-choice","10","63671","0.0-10.0","0lbgju","Mon Oct 17 2022 15:37:11 GMT+0200 (CEST)","2022","10","17","15","37","11","pid10","Listening to music","Feelings","66","23","female","right","59","57","75","8","0","{""Sleep"":""8"",""Eat"":""0""}","[0,1]","",""
