"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","Activity","MentalActivity","HeartRate","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"null","<p>Welcome to this 1 min. survey on daily rhythms, body and mood.</p><p>You will be asked to report your heart-rate</p><p>and given some questions about yourself.</p><p>Take the test when prompted and/or at different times of the day/night.</p><p>Please make a personal ID (three letters+ two numbers, e.g. ept23).</p><p>Write it down and use this ID whenever taking the test.</p>","null","html-keyboard-response","0","10007","0.0-0.0","e99uje","Wed Sep 14 2022 11:48:22 GMT+0200 (CEST)","2022","9","14","11","48","22","pid10","Working, Studying","Inner voice","66","23","female","right","67","72","60","4","1","","","",""
"6290","","","survey-text","1","16312","0.0-1.0","e99uje","Wed Sep 14 2022 11:48:22 GMT+0200 (CEST)","2022","9","14","11","48","22","pid10","Working, Studying","Inner voice","66","23","female","right","67","72","60","4","1","{""Q0"":""pid10""}","","",""
"3754","","","survey-multi-choice","2","20069","0.0-2.0","e99uje","Wed Sep 14 2022 11:48:22 GMT+0200 (CEST)","2022","9","14","11","48","22","pid10","Working, Studying","Inner voice","66","23","female","right","67","72","60","4","1","{""Activity"":""Working, Studying""}","[0]","",""
"3202","","","survey-multi-choice","3","23273","0.0-3.0","e99uje","Wed Sep 14 2022 11:48:22 GMT+0200 (CEST)","2022","9","14","11","48","22","pid10","Working, Studying","Inner voice","66","23","female","right","67","72","60","4","1","{""MentalActivity"":""Inner voice""}","[0]","",""
"5728","","","survey-multi-choice","4","29008","0.0-4.0","e99uje","Wed Sep 14 2022 11:48:22 GMT+0200 (CEST)","2022","9","14","11","48","22","pid10","Working, Studying","Inner voice","66","23","female","right","67","72","60","4","1","{""HeartRate"":""66""}","[0]","",""
"3553","","","survey-text","5","32569","0.0-5.0","e99uje","Wed Sep 14 2022 11:48:22 GMT+0200 (CEST)","2022","9","14","11","48","22","pid10","Working, Studying","Inner voice","66","23","female","right","67","72","60","4","1","{""Q0"":""23""}","","",""
"2812","","","survey-multi-choice","6","35383","0.0-6.0","e99uje","Wed Sep 14 2022 11:48:22 GMT+0200 (CEST)","2022","9","14","11","48","22","pid10","Working, Studying","Inner voice","66","23","female","right","67","72","60","4","1","{""Gender"":""female"",""Hand"":""right""}","[0,1]","",""
"5036","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","7","40424","0.0-7.0","e99uje","Wed Sep 14 2022 11:48:22 GMT+0200 (CEST)","2022","9","14","11","48","22","pid10","Working, Studying","Inner voice","66","23","female","right","67","72","60","4","1","","","50","67"
"3395","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","8","43822","0.0-8.0","e99uje","Wed Sep 14 2022 11:48:22 GMT+0200 (CEST)","2022","9","14","11","48","22","pid10","Working, Studying","Inner voice","66","23","female","right","67","72","60","4","1","","","50","72"
"7857","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","9","51682","0.0-9.0","e99uje","Wed Sep 14 2022 11:48:22 GMT+0200 (CEST)","2022","9","14","11","48","22","pid10","Working, Studying","Inner voice","66","23","female","right","67","72","60","4","1","","","50","60"
"20369.999999999993","","","survey-multi-choice","10","72057","0.0-10.0","e99uje","Wed Sep 14 2022 11:48:22 GMT+0200 (CEST)","2022","9","14","11","48","22","pid10","Working, Studying","Inner voice","66","23","female","right","67","72","60","4","1","{""Sleep"":""4"",""Eat"":""1""}","[0,1]","",""
